target,ligand_id,seed,exhaustiveness,status,reason,n_modes_written,log_path,pose_dir,vina_mode1
4JT6,PM48_23,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_23.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_23,-8.222
4JT6,PM48_24,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_24.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_24,-7.017
4JT6,PM48_25,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_25.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_25,-6.559
4JT6,PM48_26,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_26.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_26,-8.892
4JT6,PM48_27,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_27.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_27,-7.991
4JT6,PM48_28,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_28.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_28,-9.655
4JT6,PM48_29,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_29.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_29,-7.693
4JT6,PM48_30,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_30.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_30,-8.319
4JT6,PM48_31,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_31.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_31,-10.079
4JT6,PM48_32,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_32.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_32,-8.236
4JT6,PM48_33,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_33.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_33,-9.387
4JT6,PM48_34,20260727,16,success,vina_wrote_8_modes; log lists phantom mode9 affinity=75.84 (not in pdbqt); reproducible with seed 20260727,8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_34.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_34,-9.846
4JT6,PM48_35,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_35.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_35,-9.964
4JT6,PM48_36,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_36.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_36,-9.673
4JT6,PM48_37,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_37.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_37,-8.118
4JT6,PM48_38,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_38.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_38,-9.316
4JT6,PM48_39,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_39.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_39,-8.144
4JT6,PM48_40,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_40.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_40,-7.53
4JT6,PM48_41,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_41.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_41,-8.96
4JT6,PM48_42,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_42.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_42,-7.558
