panel_id,chembl_id,pref_name,n_confs_in_maegz,chosen_conf_index,sdf_path,pdbqt_path,notes
PM48_01,CHEMBL573339,PI-103,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_01.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_01.pdbqt,first_conf
PM48_02,CHEMBL1236962,OMIPALISIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_02.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_02.pdbqt,first_conf
PM48_03,CHEMBL592445,GEDATOLISIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_03.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_03.pdbqt,first_conf
PM48_04,CHEMBL1879463,DACTOLISIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_04.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_04.pdbqt,first_conf
PM48_05,CHEMBL521851,PICTILISIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_05.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_05.pdbqt,first_conf
PM48_06,CHEMBL1922094,APITOLISIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_06.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_06.pdbqt,first_conf
PM48_07,CHEMBL1765602,TORIN2,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_07.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_07.pdbqt,first_conf
PM48_08,CHEMBL1234354,PF-04691502,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_08.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_08.pdbqt,first_conf
PM48_09,CHEMBL4084907,BIMIRALISIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_09.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_09.pdbqt,first_conf
PM48_10,CHEMBL1256459,TORIN1,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_10.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_10.pdbqt,first_conf
