arm,auroc_dual_vs_rest,top10_dual,top10_hardneg,top10_hardneg_frac,n_dual,n_rest
vina_mean,0.6333333333333333,5,5,0.5,18,30
vina_min,0.6055555555555556,6,4,0.4,18,30
rtm_mean,0.6685185185185185,6,4,0.4,18,30
rtm_min,0.6814814814814815,6,4,0.4,18,30
rtm_min_z,0.6851851851851851,6,4,0.4,18,30
gated_rtm_min,0.6814814814814815,6,4,0.4,18,30
