target,ligand,mode,rtmscore,vina_score
4L23,PM48_44,2,31.26430825780073,-7.763
4L23,PM48_30,7,31.236570425044413,-7.687
4L23,PM48_34,2,31.23346439833438,-8.539
4L23,PM48_21,7,31.181212532514387,-7.482
4L23,PM48_07,4,31.159918583304083,-8.626
4L23,PM48_12,9,31.069411027775317,-6.812
4L23,PM48_18,8,30.98761873642631,-8.08
4L23,PM48_12,5,30.90254359326653,-6.951
4L23,PM48_37,9,30.691660179741543,-7.184
4L23,PM48_07,6,30.583989753690936,-8.511
4L23,PM48_16,8,30.572383667753027,-6.873
4L23,PM48_09,8,30.523464682818467,-6.711
4L23,PM48_31,3,30.43779421408493,-8.252
4L23,PM48_11,2,30.407769617210995,-8.985
4L23,PM48_27,8,30.11331216581375,-7.183
4L23,PM48_11,4,30.08700190038289,-8.61
4L23,PM48_04,9,30.00316268986509,-7.107
4L23,PM48_20,4,29.999726228266585,-7.439
4L23,PM48_44,1,29.96871128424206,-7.881
4L23,PM48_07,8,29.947545669295597,-7.926
4L23,PM48_22,8,29.887208409074148,-7.09
4L23,PM48_29,3,29.8718530670246,-8.12
4L23,PM48_20,5,29.772847293382117,-7.332
4L23,PM48_36,1,29.73123374665637,-8.272
4L23,PM48_41,6,29.564781952369295,-6.67
4L23,PM48_02,2,29.532702145628733,-9.063
4L23,PM48_17,4,29.532486916516,-7.508
4L23,PM48_15,6,29.3982223337802,-7.182
4L23,PM48_40,8,29.35681438421035,-6.015
4L23,PM48_15,3,29.33657961794396,-7.394
4L23,PM48_33,7,29.316551093294287,-6.947
4L23,PM48_27,9,29.314694945083144,-6.934
4L23,PM48_34,1,29.244279229777128,-8.616
4L23,PM48_34,7,28.977023742713403,-7.477
4L23,PM48_41,8,28.892087723313555,-6.419
4L23,PM48_34,3,28.889251999732966,-8.178
4L23,PM48_21,4,28.753820050195515,-7.957
4L23,PM48_15,2,28.74955790631765,-7.523
4L23,PM48_47,3,28.719529503797457,-8.07
4L23,PM48_39,1,28.62609162325562,-8.107
