ligand,class,pref_name,molecule_chembl_id,vina_4L23_mode1,vina_4JT6_mode1,rtm_4L23,rtm_mode_4L23,rtm_4JT6,rtm_mode_4JT6,vina_4L23_hb,vina_4JT6_hb,vina_mean,vina_min,rtm_mean,rtm_min,rtm_4L23_z,rtm_4JT6_z,rtm_min_z,clash_4L23,clash_4JT6,clash_fail,gated_rtm_min
PM48_01,dual,PI-103,CHEMBL573339,-9.237,-9.453,77.23778825989864,1,61.6399163357742,3,9.237,9.453,9.344999999999999,9.237,69.43885229783642,61.6399163357742,1.0153448606114035,1.2104281321830532,1.0153448606114035,0,0,0,61.6399163357742
PM48_02,dual,OMIPALISIB,CHEMBL1236962,-9.18,-10.969,44.95772099170031,7,68.68437134073935,1,9.18,10.969,10.0745,9.18,56.82104616621983,44.95772099170031,-0.676650154011836,1.8006909215425917,-0.676650154011836,0,0,0,44.95772099170031
PM48_03,dual,GEDATOLISIB,CHEMBL592445,-7.506,-6.711,34.9624895284923,1,47.07570295924519,2,7.506,6.711,7.1085,6.711,41.019096243868745,34.9624895284923,-1.200561138002088,-0.009923648955202407,-1.200561138002088,0,0,0,34.9624895284923
PM48_04,dual,DACTOLISIB,CHEMBL1879463,-9.215,-11.045,58.99639495460502,3,49.02758645238258,9,9.215,11.045,10.129999999999999,9.215,54.0119907034938,49.02758645238258,0.05920228891529472,0.15362685911846144,0.05920228891529472,0,0,0,49.02758645238258
PM48_05,dual,PICTILISIB,CHEMBL521851,-8.855,-9.381,80.74225080599463,8,54.2487693974435,1,8.855,9.381,9.118,8.855,67.49551010171906,54.2487693974435,1.1990350960642258,0.5911156367081991,0.5911156367081991,0,0,0,54.2487693974435
PM48_06,dual,APITOLISIB,CHEMBL1922094,-7.926,-9.17,76.54093508481547,2,55.99513556772442,2,7.926,9.17,8.548,7.926,66.26803532626994,55.99513556772442,0.9788185396354034,0.7374456176913409,0.7374456176913409,0,0,0,55.99513556772442
PM48_07,dual,TORIN2,CHEMBL1765602,-9.136,-10.314,61.40965925170185,3,46.23331256676998,3,9.136,10.314,9.725,9.136,53.82148590923592,46.23331256676998,0.18569617524244,-0.08050848517626275,-0.08050848517626275,0,0,0,46.23331256676998
PM48_08,dual,PF-04691502,CHEMBL1234354,-9.09,-8.375,96.14088075280102,1,59.64814979794632,1,9.09,8.375,8.7325,8.375,77.89451527537366,59.64814979794632,2.0061711185994953,1.0435357790425146,1.0435357790425146,0,0,0,59.64814979794632
PM48_09,dual,BIMIRALISIB,CHEMBL4084907,-8.267,-7.103,63.91597116044423,2,50.317912914420326,3,8.267,7.103,7.685,7.103,57.11694203743228,50.317912914420326,0.31706725385418716,0.26174476123154244,0.26174476123154244,0,0,0,50.317912914420326
PM48_10,dual,TORIN1,CHEMBL1256459,-9.548,-11.433,43.43454715668428,7,52.991911705767095,1,9.548,11.433,10.4905,9.548,48.213229431225685,43.43454715668428,-0.7564889757168544,0.4858021204185769,-0.7564889757168544,0,0,0,43.43454715668428
PM48_11,dual,SAPANISERTIB,CHEMBL3545097,-9.283,-9.073,81.65453636231862,6,50.8997467255053,1,9.283,9.073,9.178,9.073,66.27714154391197,50.8997467255053,1.2468535408149184,0.31049726913068376,0.31049726913068376,0,0,0,50.8997467255053
PM48_12,dual,BUPARLISIB,CHEMBL2017974,-8.329,-7.303,66.07736512982643,1,62.71232948733748,3,8.329,7.303,7.816000000000001,7.303,64.39484730858196,62.71232948733748,0.4303590816080374,1.3002868334937197,0.4303590816080374,0,0,0,62.71232948733748
PM48_13,dual,VISTUSERTIB,CHEMBL2336325,-8.756,-8.528,41.237803508188215,1,26.392032667324557,9,8.756,8.528,8.642,8.528,33.81491808775638,26.392032667324557,-0.8716336955459363,-1.7430315915990207,-1.7430315915990207,0,0,0,26.392032667324557
PM48_14,dual,VS-5584,CHEMBL3393066,-8.185,-8.773,65.3185995803189,2,54.1989993294479,1,8.185,8.773,8.479,8.185,59.7587994548834,54.1989993294479,0.3905875558436098,0.5869453468644863,0.3905875558436098,0,0,0,54.1989993294479
PM48_15,dual,PAXALISIB,CHEMBL3813842,-8.07,-9.195,73.35384037668408,1,57.05362878820549,1,8.07,9.195,8.6325,8.07,65.20373458244478,57.05362878820549,0.8117634863578949,0.8261379523572518,0.8117634863578949,0,0,0,57.05362878820549
PM48_16,dual,VOXTALISIB,CHEMBL3545366,-8.644,-7.86,65.23302952461296,1,39.78961488202975,2,8.644,7.86,8.252,7.86,52.511322203321356,39.78961488202975,0.38610230782809135,-0.6204331445719949,-0.6204331445719949,0,0,0,39.78961488202975
PM48_17,dual,SAMOTOLISIB,CHEMBL4297181,-7.882,-8.522,41.57687297190616,5,33.21294167341728,8,7.882,8.522,8.202,7.882,37.39490732266172,33.21294167341728,-0.8538609989324151,-1.171499972323129,-1.171499972323129,0,0,0,33.21294167341728
PM48_18,dual,ZSTK-474,CHEMBL586702,-9.333,-8.496,72.09198441515892,1,55.48104013916507,7,9.333,8.496,8.9145,8.496,63.78651227716199,55.48104013916507,0.7456219266661468,0.6943689848724006,0.6943689848724006,0,0,0,55.48104013916507
PM48_19,A_only,TASELISIB,CHEMBL2387080,-6.422,-6.831,24.642571043749907,8,47.413027692631125,3,6.422,6.831,6.6265,6.422,36.027799368190514,24.642571043749907,-1.7414909471758382,0.0183411689630049,-1.7414909471758382,0,0,0,24.642571043749907
PM48_20,A_only,,CHEMBL3646632,-9.057,-9.101,90.24613126236603,2,60.64939542610173,5,9.057,9.101,9.079,9.057,75.44776334423388,60.64939542610173,1.6971913798833074,1.1274312737106618,1.1274312737106618,0,0,0,60.64939542610173
PM48_21,A_only,,CHEMBL3814414,-8.346,-9.299,75.93059313578856,1,63.912679354298525,1,8.346,9.299,8.8225,8.346,69.92163624504354,63.912679354298525,0.9468267991477258,1.4008654957437294,0.9468267991477258,0,0,0,63.912679354298525
PM48_22,A_only,ALPELISIB,CHEMBL2396661,-7.529,-8.082,29.887208409074148,8,26.201420384261773,8,7.529,8.082,7.8055,7.529,28.04431439666796,26.201420384261773,-1.466587546203754,-1.7590032086804737,-1.7590032086804737,0,0,0,26.201420384261773
PM48_23,A_only,,CHEMBL2058166,-7.866,-8.222,70.8401602587047,2,56.57466303581314,2,7.866,8.222,8.044,7.866,63.70741164725892,56.57466303581314,0.6800061950040207,0.7860048745229077,0.6800061950040207,0,0,0,56.57466303581314
PM48_24,A_only,,CHEMBL2017653,-7.978,-7.017,46.80160487481944,1,28.9604820649636,4,7.978,7.017,7.4975000000000005,7.017,37.88104346989152,28.9604820649636,-0.5800009645333708,-1.527818334546391,-1.527818334546391,0,0,0,28.9604820649636
PM48_25,A_only,SONOLISIB,CHEMBL411907,-6.818,-6.559,27.47640153657125,1,21.17059320819122,7,6.818,6.559,6.6884999999999994,6.559,24.323497372381233,21.17059320819122,-1.5929526239343377,-2.180541862790717,-2.180541862790717,0,0,0,21.17059320819122
PM48_26,A_only,,CHEMBL3646543,-8.611,-8.892,92.75209579542694,4,65.44864079122357,1,8.611,8.892,8.7515,8.611,79.10036829332526,65.44864079122357,1.8285442504189569,1.529565428026503,1.529565428026503,0,0,0,65.44864079122357
PM48_27,A_only,,CHEMBL3646517,-7.924,-7.991,39.869636732490335,2,30.36419103227014,5,7.924,7.991,7.9575,7.924,35.11691388238024,30.36419103227014,-0.9433476527821589,-1.4101999850917686,-1.4101999850917686,0,0,0,30.36419103227014
PM48_28,A_only,,CHEMBL2087493,-8.532,-9.655,76.65678747018342,1,52.84606419217715,3,8.532,9.655,9.093499999999999,8.532,64.75142583118028,52.84606419217715,0.9848910690649777,0.47358139360123264,0.47358139360123264,0,0,0,52.84606419217715
PM48_29,A_only,,CHEMBL3357868,-8.209,-7.693,84.42231159979659,2,33.95041841969488,3,8.209,7.693,7.951,7.693,59.18636500974573,33.95041841969488,1.3919295056355998,-1.109705968239237,-1.109705968239237,0,0,0,33.95041841969488
PM48_30,A_only,AZD-6482,CHEMBL2165191,-8.409,-8.319,46.99018205543808,5,41.13532464132667,3,8.409,8.319,8.364,8.319,44.06275334838237,41.13532464132667,-0.5701164854575544,-0.5076746138366736,-0.5701164854575544,0,0,0,41.13532464132667
PM48_31,A_only,,CHEMBL1086377,-8.677,-10.079,49.39026783156765,2,49.77477579433524,7,8.677,10.079,9.378,8.677,49.58252181295144,49.39026783156765,-0.44431336571374513,0.21623469249234764,-0.44431336571374513,0,0,0,49.39026783156765
PM48_32,A_only,,CHEMBL4072637,-7.579,-8.236,37.5773950332236,5,39.985473920007365,1,7.579,8.236,7.907500000000001,7.579,38.78143447661549,37.5773950332236,-1.0634980073414195,-0.6040218960089113,-1.0634980073414195,0,0,0,37.5773950332236
PM48_33,B_only,,CHEMBL600447,-7.671,-9.387,48.487910195241454,2,49.7216153473036,2,7.671,9.387,8.529,7.671,49.104762771272526,48.487910195241454,-0.4916114276844923,0.21178031898490363,-0.4916114276844923,0,0,0,48.487910195241454
PM48_34,B_only,WYE-132,CHEMBL601661,-8.616,-9.846,31.52695144567529,6,50.56883331669451,1,8.616,9.846,9.231,8.616,41.0478923811849,31.52695144567529,-1.3806386223635108,0.2827696632926934,-1.3806386223635108,0,0,0,31.52695144567529
PM48_35,B_only,OSI-027,CHEMBL3120215,-9.383,-9.964,81.88107678343292,1,49.3444533873399,1,9.383,9.964,9.6735,9.383,65.6127650853864,49.3444533873399,1.2587279046429536,0.18017749515089918,0.18017749515089918,0,0,0,49.3444533873399
PM48_36,B_only,,CHEMBL594793,-8.272,-9.673,35.760564409417135,2,39.64028091998699,1,8.272,9.673,8.9725,8.272,37.70042266470206,35.760564409417135,-1.1587291706582286,-0.6329460048173003,-1.1587291706582286,0,0,0,35.760564409417135
PM48_37,B_only,,CHEMBL573202,-7.817,-8.118,33.91552900398484,3,31.413658236242387,6,7.817,8.118,7.9675,7.817,32.664593620113614,31.413658236242387,-1.2554387184375897,-1.3222639504771105,-1.3222639504771105,0,0,0,31.413658236242387
PM48_38,B_only,,CHEMBL590104,-8.233,-9.316,53.18507580643974,5,57.31621258064796,1,8.233,9.316,8.7745,8.233,55.25064419354385,53.18507580643974,-0.2454043572042823,0.848140142967945,-0.2454043572042823,0,0,0,53.18507580643974
PM48_39,B_only,,CHEMBL1945953,-8.107,-8.144,36.64870943148493,6,48.02802630411431,2,8.107,8.144,8.125499999999999,8.107,42.33836786779962,36.64870943148493,-1.1121760784011494,0.06987259270131373,-1.1121760784011494,0,0,0,36.64870943148493
PM48_40,B_only,,CHEMBL4279703,-7.296,-7.53,48.75090383045425,4,38.01861117695259,8,7.296,7.53,7.413,7.296,43.38475750370342,38.01861117695259,-0.4778263287886148,-0.7688275322411793,-0.7688275322411793,0,0,0,38.01861117695259
