ligand_id,smiles,fragment_status,embed_status,mmff_status,meeko_status,pdbqt_status,n_frags,reason
EH40_11,CCC(=O)Nc1cc2c(Nc3ccc4c(ccn4Cc4ccccc4)c3)ncnc2cc1OC,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_12,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N(C)C,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_13,O=C(/C=C/CN1CCCCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC(F)F,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_14,NNC(=O)c1csc2nc(CN3CCOCC3)c(-c3ccc(Br)cc3)n12,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_15,Cc1ccccc1Nc1ncnn2ccc(CN3CCC(N)CC3)c12,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_16,Clc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1Cl,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_17,CCN(CC)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,single,etkdgv3_ok,ok,ok,ok,1,
EH40_18,COc1cc(-c2ccc3c(c2)Nc2ccc(C(=O)NCc4cccc(F)c4)cc2NC3=O)ccc1O,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_19,Oc1c(Cl)cccc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_20,O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)/C(F)=C/CN1CCOCC1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_21,COC[C@@H]1CCCN1C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_22,Cc1c(C(=O)NCCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,single,etkdgv3_ok,not_converged,ok,ok,1,
