pair,seed,ligand,class,pdb,status,vina_mode1,seconds,reason
EGFR/HER2,20260727,EH120_041,dual,3POZ,ok,-10.332,100.6,
EGFR/HER2,20260727,EH120_042,dual,3POZ,ok,-9.214,25.5,
EGFR/HER2,20260727,EH120_043,dual,3POZ,ok,-8.584,68.6,
EGFR/HER2,20260727,EH120_044,dual,3POZ,ok,-10.584,71.3,
EGFR/HER2,20260727,EH120_045,dual,3POZ,ok,-9.413,51.5,
EGFR/HER2,20260727,EH120_046,dual,3POZ,ok,-9.635,86.4,
EGFR/HER2,20260727,EH120_047,dual,3POZ,ok,-10.019,133.6,
EGFR/HER2,20260727,EH120_048,dual,3POZ,ok,-9.596,27.3,
EGFR/HER2,20260727,EH120_049,dual,3POZ,ok,-10.422,68.0,
EGFR/HER2,20260727,EH120_050,dual,3POZ,ok,-10.996,122.9,
EGFR/HER2,20260727,EH120_051,dual,3POZ,ok,-8.848,24.4,
EGFR/HER2,20260727,EH120_052,dual,3POZ,ok,-10.098,56.8,
EGFR/HER2,20260727,EH120_053,dual,3POZ,ok,-10.107,64.5,
EGFR/HER2,20260727,EH120_054,A_only,3POZ,ok,-7.476,17.9,
EGFR/HER2,20260727,EH120_055,A_only,3POZ,ok,-8.944,25.4,
EGFR/HER2,20260727,EH120_056,A_only,3POZ,ok,-7.936,156.2,
EGFR/HER2,20260727,EH120_057,A_only,3POZ,ok,-8.036,14.2,
EGFR/HER2,20260727,EH120_058,A_only,3POZ,ok,-9.7,67.6,
EGFR/HER2,20260727,EH120_059,A_only,3POZ,ok,-9.57,35.0,
EGFR/HER2,20260727,EH120_060,A_only,3POZ,ok,-8.803,49.2,
EGFR/HER2,20260727,EH120_061,A_only,3POZ,ok,-10.817,114.0,
EGFR/HER2,20260727,EH120_062,A_only,3POZ,ok,-10.379,145.3,
EGFR/HER2,20260727,EH120_063,A_only,3POZ,ok,-9.564,63.1,
EGFR/HER2,20260727,EH120_064,A_only,3POZ,ok,-7.949,36.6,
EGFR/HER2,20260727,EH120_065,A_only,3POZ,ok,-8.491,24.2,
EGFR/HER2,20260727,EH120_066,A_only,3POZ,ok,-8.818,105.3,
EGFR/HER2,20260727,EH120_067,A_only,3POZ,ok,-8.487,22.5,
EGFR/HER2,20260727,EH120_068,A_only,3POZ,ok,-9.201,402.1,
EGFR/HER2,20260727,EH120_069,A_only,3POZ,ok,-8.547,51.6,
EGFR/HER2,20260727,EH120_070,A_only,3POZ,ok,-8.314,25.8,
EGFR/HER2,20260727,EH120_071,A_only,3POZ,ok,-9.742,57.0,
EGFR/HER2,20260727,EH120_072,A_only,3POZ,ok,-11.162,79.2,
EGFR/HER2,20260727,EH120_073,A_only,3POZ,ok,-10.063,89.0,
EGFR/HER2,20260727,EH120_074,A_only,3POZ,ok,-8.307,25.7,
EGFR/HER2,20260727,EH120_075,A_only,3POZ,ok,-7.971,31.6,
EGFR/HER2,20260727,EH120_076,A_only,3POZ,ok,-8.432,18.6,
EGFR/HER2,20260727,EH120_077,A_only,3POZ,ok,-8.614,25.1,
EGFR/HER2,20260727,EH120_078,A_only,3POZ,ok,-10.026,122.8,
EGFR/HER2,20260727,EH120_079,A_only,3POZ,ok,-7.843,26.9,
EGFR/HER2,20260727,EH120_080,B_only,3POZ,ok,-9.826,138.5,
EGFR/HER2,20260727,EH120_081,B_only,3POZ,ok,-10.614,116.9,
EGFR/HER2,20260727,EH120_082,B_only,3POZ,ok,-8.803,139.8,
EGFR/HER2,20260727,EH120_083,B_only,3POZ,ok,-11.17,120.4,
EGFR/HER2,20260727,EH120_084,B_only,3POZ,ok,-10.648,92.4,
EGFR/HER2,20260727,EH120_085,B_only,3POZ,ok,-10.708,93.3,
EGFR/HER2,20260727,EH120_086,B_only,3POZ,ok,-10.433,107.6,
EGFR/HER2,20260727,EH120_087,B_only,3POZ,ok,-10.663,119.8,
EGFR/HER2,20260727,EH120_088,B_only,3POZ,ok,-10.964,92.5,
EGFR/HER2,20260727,EH120_089,B_only,3POZ,ok,-9.012,140.7,
EGFR/HER2,20260727,EH120_090,B_only,3POZ,ok,-9.272,157.4,
EGFR/HER2,20260727,EH120_091,B_only,3POZ,ok,-10.247,74.0,
EGFR/HER2,20260727,EH120_092,B_only,3POZ,ok,-10.737,95.3,
EGFR/HER2,20260727,EH120_093,B_only,3POZ,ok,-10.443,128.1,
EGFR/HER2,20260727,EH120_094,B_only,3POZ,ok,-8.768,44.6,
EGFR/HER2,20260727,EH120_095,B_only,3POZ,ok,-10.181,81.0,
EGFR/HER2,20260727,EH120_096,B_only,3POZ,ok,-10.529,74.9,
EGFR/HER2,20260727,EH120_097,B_only,3POZ,ok,-10.223,67.7,
EGFR/HER2,20260727,EH120_098,B_only,3POZ,ok,-10.152,65.4,
EGFR/HER2,20260727,EH120_099,B_only,3POZ,ok,-10.432,118.4,
EGFR/HER2,20260727,EH120_100,B_only,3POZ,ok,-10.085,73.3,
EGFR/HER2,20260727,EH120_101,B_only,3POZ,ok,-10.733,72.1,
EGFR/HER2,20260727,EH120_102,neither,3POZ,ok,-6.291,26.9,
EGFR/HER2,20260727,EH120_103,neither,3POZ,ok,-8.737,23.0,
EGFR/HER2,20260727,EH120_104,neither,3POZ,ok,-10.203,32.0,
EGFR/HER2,20260727,EH120_105,neither,3POZ,ok,-9.217,22.7,
EGFR/HER2,20260727,EH120_106,neither,3POZ,ok,-9.049,16.2,
EGFR/HER2,20260727,EH120_107,neither,3POZ,ok,-8.309,62.3,
EGFR/HER2,20260727,EH120_108,neither,3POZ,ok,-8.011,57.0,
EGFR/HER2,20260727,EH120_109,neither,3POZ,ok,-4.538,24.9,
EGFR/HER2,20260727,EH120_110,neither,3POZ,ok,-6.666,19.7,
EGFR/HER2,20260727,EH40_01,dual,3POZ,ok,-10.462,0.0,cached
EGFR/HER2,20260727,EH40_02,dual,3POZ,ok,-10.569,0.0,cached
EGFR/HER2,20260727,EH40_03,dual,3POZ,ok,-8.992,0.0,cached
EGFR/HER2,20260727,EH40_04,dual,3POZ,ok,-11.655,270.7,
EGFR/HER2,20260727,EH40_05,dual,3POZ,ok,-10.121,176.0,
EGFR/HER2,20260727,EH40_06,dual,3POZ,ok,-9.799,383.4,
EGFR/HER2,20260727,EH40_07,dual,3POZ,ok,-8.825,66.1,
EGFR/HER2,20260727,EH40_08,dual,3POZ,ok,-9.486,201.1,
EGFR/HER2,20260727,EH40_09,dual,3POZ,ok,-10.645,275.2,
EGFR/HER2,20260727,EH40_10,dual,3POZ,ok,-8.583,171.7,
EGFR/HER2,20260727,EH40_11,dual,3POZ,ok,-9.69,126.0,
EGFR/HER2,20260727,EH40_12,dual,3POZ,ok,-9.8,156.4,
EGFR/HER2,20260727,EH40_13,dual,3POZ,ok,-9.887,171.3,
EGFR/HER2,20260727,EH40_14,dual,3POZ,ok,-7.006,60.0,
EGFR/HER2,20260727,EH40_15,dual,3POZ,ok,-8.68,46.8,
EGFR/HER2,20260727,EH40_16,A_only,3POZ,ok,-10.558,48.3,
EGFR/HER2,20260727,EH40_17,A_only,3POZ,ok,-9.033,92.8,
EGFR/HER2,20260727,EH40_18,A_only,3POZ,ok,-10.912,105.5,
EGFR/HER2,20260727,EH40_19,A_only,3POZ,ok,-8.329,79.3,
EGFR/HER2,20260727,EH40_20,A_only,3POZ,ok,-10.065,195.0,
EGFR/HER2,20260727,EH40_21,A_only,3POZ,ok,-9.125,110.9,
EGFR/HER2,20260727,EH40_22,A_only,3POZ,ok,-10.063,302.2,
