pair,target,pdb,cognate_ligand,protocol,exhaustiveness,seed,status,reason,rmsd_top1,rmsd_top3_min,rmsd_best9_min,pass_top1_lt2,pass_top3_lt2,n_modes
EGFR/HER2,3POZ,3POZ,03P,reconstructed_qc,8,20260727,success,,7.7795,4.9358,0.6802,0,0,9
EGFR/HER2,3RCD,3RCD,03P,reconstructed_qc,8,20260727,success,,1.7294,1.1126,1.1126,1,1,9
