molecule_chembl_id,canonical_smiles,pActivity,n_measurements
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,5.9557142857142855,7
CHEMBL101035,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)cc2)cc1,5.325,2
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,7.548571428571429,7
CHEMBL1077414,Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1cccc(C(N)=O)c1,3.7772835288524167,1
CHEMBL1087421,COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,6.1,1
CHEMBL1088633,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,5.9,1
CHEMBL118258,CN1CCC(O)(c2cn(-c3ccnc(NC4CCCC4)n3)c(-c3cccc(C(F)(F)F)c3)n2)CC1,5.33,1
CHEMBL1189513,O=C1OC(CN2CCOCC2)CN1/N=C/c1ccc([N+](=O)[O-])o1,4.87,1
CHEMBL120185,CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1,7.33,1
CHEMBL121405,OC1(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NC4CCCCC4)c3)o2)CCNCC1,7.52,1
CHEMBL1287858,COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12,4.88,1
CHEMBL1287859,COC(=O)c1cscc1NC(=O)Cc1cccc2ccccc12,5.0,1
CHEMBL1287886,COC(=O)c1n[nH]cc1NC(=O)Cc1cccc2ccccc12,4.57,1
CHEMBL1287887,COC(=O)c1cnccc1NC(=O)Cc1cccc2ccccc12,4.63,1
CHEMBL1287888,O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1nnco1,4.57,1
CHEMBL1287916,O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1nc[nH]n1,5.41,2
CHEMBL1287944,Cc1nnc(-c2sccc2NC(=O)Cc2cccc3ccccc23)o1,4.79,1
CHEMBL1287974,Cc1nc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n[nH]1,5.46,2
CHEMBL1288004,Cc1cc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n[nH]1,5.82,1
CHEMBL1288006,COc1ccc(CC(=O)Nc2ccsc2-n2nccn2)cc1,5.3,2
CHEMBL1288038,COc1ccc(CC(=O)Nc2ccsc2-c2n[nH]c(C(F)(F)F)n2)cc1,4.82,1
CHEMBL1288039,COc1ccc(CC(=O)Nc2ccsc2-c2n[nH]c(N)n2)cc1,5.18,2
CHEMBL1288068,COc1ccc(CC(=O)Nc2ccsc2-c2ncco2)cc1,4.92,1
CHEMBL1288098,COc1ccc(CC(=O)Nc2ccsc2-c2cnccn2)cc1,5.27,2
CHEMBL1288099,O=C(Cc1cccc2ncccc12)Nc1ccsc1-c1nnc[nH]1,5.725,2
CHEMBL1288100,O=C(Cc1cccc2cnccc12)Nc1ccsc1-c1cscn1,5.9350000000000005,2
CHEMBL1288127,COC(=O)c1ncsc1NC(=O)Cc1cccc2cnccc12,5.28,1
CHEMBL1288128,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1nc[nH]n1,5.4399999999999995,2
CHEMBL1288129,Cn1ncnc1-c1ncsc1NC(=O)Cc1cccc2cnccc12,5.21,2
CHEMBL1288156,COC(=O)c1sccc1NC(=O)Cc1ccc(OC)cc1,4.85,1
CHEMBL1288159,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cnccn1,5.5,2
CHEMBL1288160,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cscn1,5.986666666666667,3
CHEMBL1288188,COC(=O)c1sccc1NC(=O)Cc1cccc2ccccc12,4.84,1
CHEMBL1288214,COC(=O)c1sccc1NC(=O)Cc1ccccc1-c1c[nH]nn1,4.46,1
CHEMBL1288215,COC(=O)c1sccc1NC(=O)Cc1cccc2cnccc12,5.51,1
CHEMBL1288216,COC(=O)c1sccc1NC(=O)Cc1cccc2ncccc12,5.52,1
CHEMBL1288243,CC(C)OC(=O)c1sccc1NC(=O)Cc1ccccc1,4.32,1
CHEMBL1288895,COC(=O)c1sccc1NC(=O)Cc1cccs1,4.654999999999999,2
CHEMBL1288930,COC(=O)c1sccc1NC(=O)Cc1ccccc1,4.64,1
CHEMBL1288966,CCOC(=O)c1sccc1NC(=O)Cc1ccccc1,4.33,1
CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,6.0,1
CHEMBL1492532,O=C(Nc1ncc([N+](=O)[O-])s1)c1cccc([N+](=O)[O-])c1,5.11,1
CHEMBL1614820,Cc1csc(NC(=O)CN2C(=O)CCc3ccccc32)c1-c1ncn[nH]1,6.404999999999999,2
CHEMBL1614995,COCCOc1cncc(-c2cc3c(ccc4c5c([nH]c43)CCNC5=O)cn2)c1,6.19,1
CHEMBL162295,C[C@H](Nc1nccc(-c2cc(N3CCOCC3)nnc2-c2cccc(C(F)(F)F)c2)n1)c1ccccc1,5.97,2
CHEMBL1644615,O=c1n(Cc2ccccn2)nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2ccccc2c1,7.03,1
CHEMBL1644616,S=c1[nH]nc(-c2ccncc2)n1-c1ccc2ccccc2c1,5.53,1
CHEMBL1644617,O=c1[nH]nc(-c2ccncc2)n1-c1ccc2ccccc2c1,4.5,1
CHEMBL1644618,O=c1[nH]nc(-c2ccnc(NC3CCCCC3)c2)n1-c1ccc2ccccc2c1,7.16,1
CHEMBL1644619,O=c1[nH]nc(-c2ccnc(NC3CCCOC3)c2)n1-c1ccc2ccccc2c1,6.89,1
CHEMBL1644620,O=c1[nH]nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2ccccc2c1,6.6,1
CHEMBL1644621,O=c1[nH]nc(-c2ccnc(NC3CCCC3)c2)n1-c1ccc2ccccc2c1,6.46,1
CHEMBL1644622,O=c1[nH]nc(-c2ccnc(NC3CCC3)c2)n1-c1ccc2ccccc2c1,6.66,1
CHEMBL1644623,O=c1[nH]nc(-c2ccnc(NC3CC3)c2)n1-c1ccc2ccccc2c1,6.41,1
CHEMBL1644624,O=c1[nH]nc(-c2ccnc(Nc3ccccc3)c2)n1-c1ccc2ccccc2c1,6.33,1
CHEMBL1644625,O=c1[nH]nc(-c2ccnc(Nc3ccccn3)c2)n1-c1ccc2ccccc2c1,6.96,1
CHEMBL1644626,O=c1[nH]nc(-c2ccnc(Nc3cccnc3)c2)n1-c1ccc2ccccc2c1,6.02,1
CHEMBL1644627,O=c1[nH]nc(-c2ccnc(Nc3nccs3)c2)n1-c1ccc2ccccc2c1,6.19,1
CHEMBL1644629,CC(=O)Nc1cc(-c2n[nH]c(=O)n2-c2ccc3ccccc3c2)ccn1,5.82,1
CHEMBL1644630,O=C(Nc1cc(-c2n[nH]c(=O)n2-c2ccc3ccccc3c2)ccn1)C1CC1,6.36,1
CHEMBL1644631,O=C(Nc1cc(-c2n[nH]c(=O)n2-c2ccc3ccccc3c2)ccn1)c1ccccc1,5.36,1
CHEMBL1644632,O=c1[nH]nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2cc(F)ccc2c1,6.72,1
CHEMBL1644633,Nc1ccc2cc(-n3c(-c4ccnc(NC5CCOCC5)c4)n[nH]c3=O)ccc2c1,5.28,1
CHEMBL1644634,O=c1[nH]nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2cc(Br)ccc2c1,6.11,1
CHEMBL1644635,O=c1[nH]nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2cccc(F)c2c1,6.42,1
CHEMBL1644636,Nc1cccc2ccc(-n3c(-c4ccnc(NC5CCOCC5)c4)n[nH]c3=O)cc12,6.24,1
CHEMBL1644637,O=c1[nH]nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2cccc(Cl)c2c1,6.82,1
CHEMBL1644638,O=c1n(CC2CCOCC2)nc(-c2ccnc(NC3CCCCC3)c2)n1-c1ccc2ccccc2c1,7.21,1
CHEMBL1644639,O=c1n(C2CCOCC2)nc(-c2ccnc(NC3CCCCC3)c2)n1-c1ccc2ccccc2c1,7.01,1
CHEMBL1644640,O=c1n(C2CCOC2)nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2ccccc2c1,6.5,1
CHEMBL1644641,O=c1n(-c2ccccn2)nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2ccccc2c1,6.82,1
CHEMBL1644642,O=c1n(Cc2ccncc2)nc(-c2ccnc(NC3CCCCC3)c2)n1-c1ccc2ccccc2c1,7.01,1
CHEMBL1644643,O=c1n(C2CCNCC2)nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2ccccc2c1,6.28,1
CHEMBL1644644,CCN1CCC(n2nc(-c3ccnc(NC4CCOCC4)c3)n(-c3ccc4ccccc4c3)c2=O)CC1,5.7,1
CHEMBL1644645,O=c1n(C2CCN(CC(F)(F)F)CC2)nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2ccccc2c1,6.77,1
CHEMBL1644646,COC(=O)N1CCC(n2nc(-c3ccnc(NC4CCOCC4)c3)n(-c3ccc4ccccc4c3)c2=O)CC1,7.24,1
CHEMBL1681791,COC(=O)c1c(C)csc1NC(=O)Cc1cccc2cnccc12,6.06,1
CHEMBL1681992,COC(=O)c1c(C)csc1NC(=O)Cc1ccc(OC)cc1,5.5,1
CHEMBL1681993,CCc1csc(NC(=O)Cc2ccc(OC)cc2)c1C(=O)OC,4.65,1
CHEMBL1681994,CCOC(=O)c1c(C2CC2)csc1NC(=O)Cc1ccc(OC)cc1,5.2,1
CHEMBL1681996,CCOC(=O)c1c(C#N)csc1NC(=O)Cc1ccc(OC)cc1,6.03,1
CHEMBL1681997,C#Cc1csc(NC(=O)Cc2ccc(OC)cc2)c1C(=O)OCC,4.55,1
CHEMBL1681998,COC(=O)c1c(C)csc1NC(=O)Cc1ccc(-c2ccncc2)cc1,5.74,1
CHEMBL1681999,COC(=O)c1c(C)csc1NC(=O)Cc1ccc(OCCCn2ccnc2)cc1,5.34,1
CHEMBL1682000,COC(=O)c1c(C)csc1NC(=O)Cc1ccc(OCCCN2CCCCC2)cc1,6.21,1
