molecule_chembl_id,canonical_smiles,pActivity,n_measurements
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,5.3,1
CHEMBL1087421,COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,4.0,1
CHEMBL1090089,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21,5.27,1
CHEMBL1092764,CN(C)CCCC(=O)Nc1cc(C(=O)O)cc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,7.0,1
CHEMBL120185,CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1,5.82,1
CHEMBL121405,OC1(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NC4CCCCC4)c3)o2)CCNCC1,6.82,1
CHEMBL1232772,CC(C)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,5.38,1
CHEMBL1233747,COc1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4ccccc4)cn3)c2)cc(OC)c1OC,6.4,2
CHEMBL1233748,COc1cc(NC(=O)c2cccc(-n3ncc4cc(Nc5ccccc5F)ccc43)c2)cc(OC)c1OC,7.14,2
CHEMBL1233749,C#CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,6.85,1
CHEMBL1287858,COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12,5.68,1
CHEMBL1287859,COC(=O)c1cscc1NC(=O)Cc1cccc2ccccc12,6.05,1
CHEMBL1287886,COC(=O)c1n[nH]cc1NC(=O)Cc1cccc2ccccc12,5.68,1
CHEMBL1287887,COC(=O)c1cnccc1NC(=O)Cc1cccc2ccccc12,5.19,1
CHEMBL1287888,O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1nnco1,5.4,2
CHEMBL1287914,O=C(Cc1cccc2ccccc12)Nc1ccsc1-n1ccnc1,4.57,1
CHEMBL1287915,O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1cc[nH]n1,5.4,2
CHEMBL1287916,O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1nc[nH]n1,5.79,2
CHEMBL1287944,Cc1nnc(-c2sccc2NC(=O)Cc2cccc3ccccc23)o1,5.525,2
CHEMBL1287945,Cn1ccc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n1,4.62,1
CHEMBL1287974,Cc1nc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n[nH]1,5.949999999999999,2
CHEMBL1287975,Cc1nc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n(C)n1,4.52,1
CHEMBL1288004,Cc1cc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n[nH]1,5.385,2
CHEMBL1288005,COc1ccc(CC(=O)Nc2ccsc2-n2cncn2)cc1,4.36,1
CHEMBL1288006,COc1ccc(CC(=O)Nc2ccsc2-n2nccn2)cc1,5.6899999999999995,2
CHEMBL1288038,COc1ccc(CC(=O)Nc2ccsc2-c2n[nH]c(C(F)(F)F)n2)cc1,5.385,2
CHEMBL1288039,COc1ccc(CC(=O)Nc2ccsc2-c2n[nH]c(N)n2)cc1,5.699999999999999,2
CHEMBL1288067,COc1ccc(CC(=O)Nc2ccsc2-c2cn(C)cn2)cc1,4.62,1
CHEMBL1288068,COc1ccc(CC(=O)Nc2ccsc2-c2ncco2)cc1,5.98,2
CHEMBL1288069,COc1ccc(CC(=O)Nc2ccsc2-c2c[nH]c(C)n2)cc1,4.63,1
CHEMBL1288098,COc1ccc(CC(=O)Nc2ccsc2-c2cnccn2)cc1,5.63,2
CHEMBL1288099,O=C(Cc1cccc2ncccc12)Nc1ccsc1-c1nnc[nH]1,5.9350000000000005,2
CHEMBL1288100,O=C(Cc1cccc2cnccc12)Nc1ccsc1-c1cscn1,6.074999999999999,2
CHEMBL1288127,COC(=O)c1ncsc1NC(=O)Cc1cccc2cnccc12,5.77,1
CHEMBL1288128,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1nc[nH]n1,5.725,2
CHEMBL1288129,Cn1ncnc1-c1ncsc1NC(=O)Cc1cccc2cnccc12,5.574999999999999,2
CHEMBL1288156,COC(=O)c1sccc1NC(=O)Cc1ccc(OC)cc1,6.1,1
CHEMBL1288157,COC(=O)c1sccc1NC(=O)Cc1ccc(-c2ccncc2)cc1,6.34,1
CHEMBL1288158,COC(=O)c1sccc1NC(=O)Cc1ccc(-n2ccnc2)cc1,6.0,1
CHEMBL1288159,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cnccn1,5.845,2
CHEMBL1288160,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cscn1,7.32,2
CHEMBL1288186,COC(=O)c1sccc1NC(=O)Cc1ccc(C(F)(F)F)cc1,5.7,1
CHEMBL1288187,COC(=O)c1sccc1NC(=O)Cc1ccc2ccccc2c1,6.22,1
CHEMBL1288188,COC(=O)c1sccc1NC(=O)Cc1cccc2ccccc12,6.4,1
CHEMBL1288214,COC(=O)c1sccc1NC(=O)Cc1ccccc1-c1c[nH]nn1,5.16,1
CHEMBL1288215,COC(=O)c1sccc1NC(=O)Cc1cccc2cnccc12,6.57,1
CHEMBL1288216,COC(=O)c1sccc1NC(=O)Cc1cccc2ncccc12,6.52,1
CHEMBL1288243,CC(C)OC(=O)c1sccc1NC(=O)Cc1ccccc1,6.3,1
CHEMBL1288244,COCCNC(=O)c1sccc1NC(=O)Cc1ccccc1,5.64,1
CHEMBL1288895,COC(=O)c1sccc1NC(=O)Cc1cccs1,5.775,2
CHEMBL1288930,COC(=O)c1sccc1NC(=O)Cc1ccccc1,6.16,1
CHEMBL1288931,COC(=O)c1sccc1NC(=O)Cc1ccncc1,5.18,1
CHEMBL1288932,CC(=O)c1sccc1NC(=O)Cc1ccccc1,5.2,1
CHEMBL1288966,CCOC(=O)c1sccc1NC(=O)Cc1ccccc1,6.52,1
CHEMBL1288993,NC(=O)c1sccc1NC(=O)Cc1ccccc1,5.58,1
CHEMBL1420552,CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,6.44,1
CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,3.769551078621726,1
CHEMBL150894,CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,6.35,1
CHEMBL1584161,NC(=O)c1ccsc1NC(=O)Cc1ccc([N+](=O)[O-])cc1,5.54,1
CHEMBL1614820,Cc1csc(NC(=O)CN2C(=O)CCc3ccccc32)c1-c1ncn[nH]1,7.5,1
CHEMBL1644615,O=c1n(Cc2ccccn2)nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2ccccc2c1,6.0,1
CHEMBL1644616,S=c1[nH]nc(-c2ccncc2)n1-c1ccc2ccccc2c1,4.9,1
CHEMBL1644618,O=c1[nH]nc(-c2ccnc(NC3CCCCC3)c2)n1-c1ccc2ccccc2c1,6.0,1
CHEMBL1644619,O=c1[nH]nc(-c2ccnc(NC3CCCOC3)c2)n1-c1ccc2ccccc2c1,6.13,1
CHEMBL1644620,O=c1[nH]nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2ccccc2c1,5.75,1
CHEMBL1644622,O=c1[nH]nc(-c2ccnc(NC3CCC3)c2)n1-c1ccc2ccccc2c1,5.75,1
CHEMBL1644623,O=c1[nH]nc(-c2ccnc(NC3CC3)c2)n1-c1ccc2ccccc2c1,5.41,1
CHEMBL1644624,O=c1[nH]nc(-c2ccnc(Nc3ccccc3)c2)n1-c1ccc2ccccc2c1,5.24,1
CHEMBL1644625,O=c1[nH]nc(-c2ccnc(Nc3ccccn3)c2)n1-c1ccc2ccccc2c1,5.66,1
CHEMBL1644626,O=c1[nH]nc(-c2ccnc(Nc3cccnc3)c2)n1-c1ccc2ccccc2c1,5.48,1
CHEMBL1644629,CC(=O)Nc1cc(-c2n[nH]c(=O)n2-c2ccc3ccccc3c2)ccn1,5.14,1
CHEMBL1644630,O=C(Nc1cc(-c2n[nH]c(=O)n2-c2ccc3ccccc3c2)ccn1)C1CC1,5.34,1
CHEMBL1644632,O=c1[nH]nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2cc(F)ccc2c1,6.13,1
CHEMBL1644633,Nc1ccc2cc(-n3c(-c4ccnc(NC5CCOCC5)c4)n[nH]c3=O)ccc2c1,5.77,1
CHEMBL1644634,O=c1[nH]nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2cc(Br)ccc2c1,5.38,1
CHEMBL1644636,Nc1cccc2ccc(-n3c(-c4ccnc(NC5CCOCC5)c4)n[nH]c3=O)cc12,5.58,1
CHEMBL1644637,O=c1[nH]nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2cccc(Cl)c2c1,6.96,1
