molecule_chembl_id,canonical_smiles,pActivity,n_measurements
CHEMBL1288157,COC(=O)c1sccc1NC(=O)Cc1ccc(-c2ccncc2)cc1,6.16,1
CHEMBL1288158,COC(=O)c1sccc1NC(=O)Cc1ccc(-n2ccnc2)cc1,5.8,1
CHEMBL1288159,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cnccn1,5.8149999999999995,2
CHEMBL1288160,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cscn1,7.11,2
CHEMBL1288186,COC(=O)c1sccc1NC(=O)Cc1ccc(C(F)(F)F)cc1,5.16,1
CHEMBL1288187,COC(=O)c1sccc1NC(=O)Cc1ccc2ccccc2c1,5.41,1
CHEMBL1288188,COC(=O)c1sccc1NC(=O)Cc1cccc2ccccc12,5.82,1
CHEMBL1288214,COC(=O)c1sccc1NC(=O)Cc1ccccc1-c1c[nH]nn1,4.9,1
CHEMBL1288215,COC(=O)c1sccc1NC(=O)Cc1cccc2cnccc12,6.21,1
CHEMBL1288216,COC(=O)c1sccc1NC(=O)Cc1cccc2ncccc12,6.21,1
CHEMBL1288243,CC(C)OC(=O)c1sccc1NC(=O)Cc1ccccc1,5.85,1
CHEMBL1288244,COCCNC(=O)c1sccc1NC(=O)Cc1ccccc1,5.42,1
CHEMBL1288895,COC(=O)c1sccc1NC(=O)Cc1cccs1,5.66,2
CHEMBL1288930,COC(=O)c1sccc1NC(=O)Cc1ccccc1,5.57,1
CHEMBL1288931,COC(=O)c1sccc1NC(=O)Cc1ccncc1,4.76,1
CHEMBL1288932,CC(=O)c1sccc1NC(=O)Cc1ccccc1,4.77,1
CHEMBL1288964,C/C(=N/O)c1sccc1NC(=O)Cc1ccccc1,4.54,1
CHEMBL1288966,CCOC(=O)c1sccc1NC(=O)Cc1ccccc1,6.16,1
CHEMBL1288993,NC(=O)c1sccc1NC(=O)Cc1ccccc1,5.36,1
CHEMBL1301287,O=C1C(c2ccncc2)=C(O)c2ccccc21,5.17,1
CHEMBL1301494,CCOC(=O)CCC(NC(=O)c1ccc(NCN2C(=O)c3ccccc3C2=O)cc1)C(=O)OCC,4.88,1
CHEMBL1303401,O=C(c1ccc(Cn2c(=O)[nH]c3ccccc3c2=O)cc1)N1CCN(c2ccc(F)cc2)CC1,5.08,1
CHEMBL1304910,COc1cccc(C2=NOC(C(=O)NC3CCCCC3)C2)c1,4.46,1
CHEMBL1306899,Cn1c(C(=O)NCc2ccco2)cc2c(O)nc3ccccc3c21,4.5,1
CHEMBL1307032,CCn1cc(C2=NOC(C(=O)Nc3ccccc3C(=O)OC)C2)c(C)n1,5.72,1
CHEMBL1307136,COc1ccc(CC(=O)Nc2nc3ccccc3s2)cc1S(=O)(=O)N1CCOCC1,4.61,1
CHEMBL1307610,COC(=O)c1ccccc1NC(=O)C1CC(c2ccccc2O)=NO1,4.47,1
CHEMBL1307730,NC(=O)c1ccsc1NC(=O)c1ccc(S(=O)(=O)N2CCCCC2)cc1,5.05,1
CHEMBL1308000,C=C(C)COc1ccc(-c2nc(N)ncc2-c2ccc(OC)cc2)c(O)c1,4.53,1
CHEMBL1309187,COc1cccc(C2=NOC(C(=O)Nc3cccc(C(C)=O)c3)C2)c1,4.89,1
CHEMBL1310505,COC(=O)c1cc(Br)c(=O)n(Cc2ccncc2)c1,4.18,1
CHEMBL1313961,COc1ccc(OC)c(Nc2nc(N)nc(-c3cc4ccccc4o3)n2)c1,4.32,1
CHEMBL1319281,O=C(NCc1ccccn1)c1[nH]nc2ccccc12,4.55,1
CHEMBL1320813,O=C(Cn1cnc2ccccc2c1=O)Nc1ccc(-c2nnc3n2CCCCC3)cc1,4.53,1
CHEMBL1323269,O=C1CCCc2nn(-c3ccccc3)c(-c3ccncc3)c21,4.37,1
CHEMBL1324221,C=CCn1c(SCC(=O)Nc2sccc2C(N)=O)nc2sc(C)c(C)c2c1=O,5.1,1
CHEMBL1325688,CC(=O)Nc1ccc(S(=O)(=O)N2CCC(n3cnc4cc(F)ccc43)CC2)cc1,4.49,1
CHEMBL1325960,COC(=O)c1ccsc1NC(=O)C1=COCCO1,5.04,1
CHEMBL1327038,COc1ccc(-c2cnc(N)nc2-c2ccc(OC)cc2O)cc1,4.7,1
CHEMBL1329293,CCOc1ncccc1C(=O)Nc1cccc(C(=O)Nc2cccc(S(=O)(=O)CCO)c2)c1,5.25,1
CHEMBL1329408,Nc1nc(-c2ccccc2)cc(-c2ccccc2O)n1,4.39,1
CHEMBL1333047,O=C1c2ccccc2C(=O)C1c1ccncc1,4.74,1
CHEMBL1336298,C/C(Nc1cccc(F)c1)=C(/C#N)C(N)=O,4.98,1
CHEMBL1336927,Brc1ccc(-c2nn3c(-c4ccco4)nnc3s2)o1,4.24,1
CHEMBL1337188,COC(=O)c1ccccc1NC(=O)COc1ccccc1,4.54,1
CHEMBL1337299,NC(=O)c1c(NC(=O)Cc2cccs2)sc2c1CCC2,4.55,1
CHEMBL1337355,O=C(CCCn1c(=S)[nH]c2ccccc2c1=O)NCc1ccco1,4.31,1
CHEMBL1337775,Brc1ccc2nc3c(n2c1)CCCC3,4.86,1
CHEMBL1339933,CCN(CC)S(=O)(=O)c1ccc2[nH]c(COC(=O)c3[nH]nc4ccccc34)nc2c1,6.4,1
CHEMBL1342633,COc1cccc(NC(=O)CCCn2c(=O)[nH]c3ccccc3c2=O)c1,4.32,1
CHEMBL1343539,Cc1ccc(NC(=O)CCCCCC2NC(=O)NC2C)cc1,5.74,1
CHEMBL1343750,COc1cccc2c(O)c(C(=O)NCc3cccs3)cnc12,4.72,1
CHEMBL1344527,CC(Sc1ccc2ccccc2n1)C(=O)O,5.31,1
CHEMBL1345273,NC(=O)c1cc(Cc2ccccc2)sc1NC(=O)c1ccco1,5.34,1
CHEMBL1345738,COC(=O)c1cc(Br)c(=O)n(Cc2ccc(C(=O)O)cc2)c1,4.55,1
CHEMBL1345922,NC(=O)c1ccsc1NC(=O)C1CCCCC1,4.59,1
CHEMBL1347258,Cc1ccc(S(=O)(=O)NCCCCCC(=O)Nc2nccs2)cc1,4.34,1
CHEMBL1349023,Cc1oc2ccc(OCC(N)=O)cc2c1C(=O)OC(C)C,4.35,1
CHEMBL1349172,N#Cc1c(N)nc(SCc2ccncc2)c(C#N)c1-c1cccs1,4.26,1
CHEMBL1349350,NC(=O)c1ccsc1NC(=O)CSc1nc2ccccc2c(=O)n1CCCO,5.14,1
CHEMBL1349875,COc1cccc(C2=NOC(C(=O)Nc3cccnc3)C2)c1,4.9,1
CHEMBL1351746,CCc1cc(=O)oc2cc(C)cc(O)c12,4.49,1
CHEMBL1352869,CCn1ncc(C2=NOC(C(=O)Nc3ccccc3C(=O)OC)C2)c1C,5.74,1
CHEMBL1358988,CCOC(=O)c1ccccc1NC(=O)CN(c1ccccc1)S(=O)(=O)N(C)C,4.31,1
CHEMBL1359573,Cc1cccc(-n2ncc3c(NCc4cccs4)ncnc32)c1,4.14,1
CHEMBL1359999,O=C(Nc1ccccc1N1CCCC1)c1ccc(Br)o1,4.19,1
CHEMBL1360489,O=C(C1CCC(Cn2c(=S)[nH]c3ccccc3c2=O)CC1)N1CCN(c2ccccc2)CC1,6.03,1
CHEMBL1360631,COc1ccc(COC(=O)c2[nH]nc3ccccc23)cc1F,4.94,1
CHEMBL1362814,CCCc1nc(SCC(=O)Nc2cc(C)on2)c2ccccc2n1,4.08,1
CHEMBL1365941,Cc1ccccc1-n1nc(C)c2cc(C(=O)NCc3cccnc3)sc21,4.97,1
CHEMBL1367073,COc1cc(NC(=O)C2CC(c3cccc(OC)c3OC)=NO2)cc(OC)c1OC,5.38,1
CHEMBL1367188,CCOC(=O)c1cnc2ccc(Cl)cc2c1N1CCN(C)CC1,4.59,1
CHEMBL1368821,c1ccc(Nc2ccccc2Nc2ccccn2)nc1,4.73,1
CHEMBL1369507,NC(=O)c1ccsc1NC(=O)c1ccco1,4.98,1
CHEMBL1370293,CN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1,4.54,1
CHEMBL1370575,COc1cc(C(=O)NCc2cn3ccsc3n2)cc(OC)c1OC,4.28,1
CHEMBL1370652,O=C(CNC(=O)c1ccc(Br)o1)Nc1cccc(-c2cnc3ccccc3n2)c1,4.38,1
CHEMBL1371099,Cc1ccc(Nc2cc(-n3nc(C)cc3C)ncn2)cc1,4.87,1
CHEMBL1371386,c1ccc(-n2ncc3c(NCc4ccco4)ncnc32)cc1,4.21,1
CHEMBL1372085,O=Nc1c2[nH]c3ccccc3[n+]([O-])c-2c2ccccc12,5.47,1
CHEMBL1372214,Cc1cc(C)n(-c2ccc(C(=O)Nc3sccc3C(N)=O)cc2)n1,4.35,1
CHEMBL1372854,Cc1nn(C)cc1CNC(=O)c1cnn2c(C(F)F)cc(C3CC3)nc12,4.57,1
CHEMBL1372889,CCCN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1,5.01,1
CHEMBL1372916,O=C(NCc1nc2cc(Br)c[nH]c-2n1)c1ccccc1,4.42,1
CHEMBL1374054,COc1ccc(Cl)cc1-c1nnc(S)o1,4.79,1
CHEMBL1374204,Cc1ccc(C(=O)C2=C(O)C(=O)N(CCCn3ccnc3)C2c2ccc(OC(C)C)cc2)o1,4.43,1
CHEMBL1374352,CN(c1ccc(C(=O)Nc2nccs2)cc1)S(=O)(=O)c1ccccc1,4.33,1
CHEMBL1375423,CCOc1ccc(C(C)=O)cc1Cn1nc(C(=O)O)c2ccccc2c1=O,4.45,1
CHEMBL1377245,O=C(NCc1cccnc1)c1cccc2c1C(=O)N(C1CCCCC1)C2,4.56,1
CHEMBL1377449,Cc1nc(NCc2ccco2)c(C#N)c2c1COC(C)(C)C2,4.43,1
CHEMBL1379677,O=C1c2ccccc2-c2onc3ccc(NCCCn4ccnc4)c1c23,4.65,1
CHEMBL1379970,CCN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1,4.36,1
CHEMBL1381330,N#Cc1ccc(NC(=O)C2CC(c3ccc(F)cc3)=NO2)cc1,5.1,1
CHEMBL1382723,c1ccc2[nH]c3c4ccccc4nc-3nc2c1,4.86,1
CHEMBL1384896,Cc1ccccc1-n1c(SCc2cc(=O)n3ccccc3n2)nc2nncc-2c1O,4.38,1
CHEMBL1386265,O=C(Nc1ccccc1N1CCOCC1)c1ccc(Br)o1,5.2,1
CHEMBL1391112,CC(C)n1nc(C(=O)OCC(=O)N(C)C2CCS(=O)(=O)C2)c2ccccc2c1=O,4.45,1
CHEMBL1391385,CC1NC(=O)NC1CCCCCC(=O)NCCc1ccccc1,5.2,1
CHEMBL1392612,O=C(CCn1cnc2ccccc2c1=O)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,4.42,1
CHEMBL1392784,COc1ccc(CN/C(C)=C(/C#N)C(N)=O)cc1OC,5.08,1
CHEMBL1392879,CCOC(=O)CSc1nc2c(sc3ccccc32)c(=O)n1CCCN1CCOCC1,4.4,1
CHEMBL1399107,COc1cccc2c(O)c(C/C=C(/C)Cl)c(C)nc12,4.12,1
CHEMBL1400863,COC(=O)c1ccccc1NC(=O)CN1CCN(C(=O)c2ccco2)CC1,4.46,1
CHEMBL1401280,c1ccc(CNc2ncnc3c2cnn3-c2ccccc2)cc1,4.12,1
CHEMBL1401485,O=C(Nc1nncs1)c1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1,4.2,1
CHEMBL1403868,CCCC(=O)Nc1cc(C)c2c(=O)oc3ccccc3c2n1,4.26,1
CHEMBL1412291,O=C(c1ccc(Cn2c(=O)[nH]c3ccccc3c2=O)cc1)N1CCN(c2ccc(Cl)cc2)CC1,4.06,1
CHEMBL1413946,N#CCCSc1ncnc2c1oc1ccccc12,4.56,1
CHEMBL1414184,COC(=O)c1sccc1NC(=O)c1csc(C)c1,4.41,1
CHEMBL1414492,COC(=O)c1ccccc1NC(=O)c1ccc(NS(C)(=O)=O)cc1,4.26,1
CHEMBL1414671,COc1ccc2c(Cl)c(C(N)=O)sc2c1,4.17,1
CHEMBL1416028,CCOc1ccc(CC(=O)Nc2c(C(N)=O)oc3ccccc23)cc1OCC,5.37,1
CHEMBL1416641,CCOc1cc(C2NC(=O)NC(C)=C2C(=O)OCc2ccccc2)ccc1O,4.46,1
CHEMBL1417364,CCCCC(=O)Nc1cccc(NC(=O)c2ccc(Br)o2)c1,4.42,1
CHEMBL1418336,COC(=O)c1ccccc1NC(=O)CSc1nc(N)cc(N)n1,4.93,1
CHEMBL1419933,CN1CCN(c2ccccc2NC(=O)c2ccc(Br)o2)CC1,4.99,1
CHEMBL1420552,CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,5.890000000000001,2
CHEMBL1420829,Cc1ccnc(NC(=O)CCCOc2cc(=O)n(C)c3ccccc23)c1,4.21,1
CHEMBL1421889,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCC(n2cnc3cc(F)ccc32)CC1,4.31,1
CHEMBL1423096,Clc1ccc2[nH]c3c(c2c1)CCc1c[nH]nc1-3,5.67,1
CHEMBL1423507,O=C(CCCCCn1c(SCc2ccncc2)nc2ccccc2c1=O)NCc1ccco1,4.14,1
