name,pains_any,brenk,nih,aggregation_risk_heuristic
SAPITINIB,False,False,False,False
TAS0612,False,True,False,False
CINTIRORGON,False,False,False,False
SEPETAPROST,False,True,False,False
ABIVERTINIB,True,True,True,False
DASATINIB LAURYLSULFATE,False,True,True,False
SYROSINGOPINE,True,True,False,False
DPOC-4088,False,False,False,False
NICOCORTONIDE,False,True,False,False
LGD-6972,False,True,False,True
PPL-100,False,True,False,False
BUDIODARONE,False,True,False,False
DAROVASERTIB,False,False,False,False
ZB-716,False,True,True,False
LASALOCID,False,False,False,False
LY-3200882,False,False,False,False
PIFLUTIXOL,True,False,False,False
ABAPERIDONE,False,True,False,False
CANERTINIB,False,True,True,False
LCL-161,False,False,False,False
ETIOPURPURIN,False,False,True,False
LUBABEGRON,False,False,False,True
LINPERLISIB,False,False,False,False
TOCOFIBRATE,False,True,True,False
JNJ-26483327,False,False,False,False
EBOPIPRANT,False,False,False,False
BRECANAVIR,False,False,False,False
MOSNODENVIR,False,False,False,True
LSZ-102,False,True,False,True
ZONGERTINIB,False,True,True,False
RAFABEGRON,False,False,False,False
ONRADIVIR,False,False,False,False
LY-2874455,False,False,False,False
LAZUVAPAGON,False,False,False,False
RIMONABANT,False,False,False,False
APITOLISIB,False,False,False,False
CAPADENOSON,False,False,False,True
EDICOTINIB,False,False,False,False
XL-418,False,False,False,False
AZD-9574,False,True,False,False
LIRAFUGRATINIB,False,True,True,True
ZIRITAXESTAT,False,False,False,False
SUVADRONABINOL,False,True,False,False
TIAFIBRATE,False,True,True,False
RIFAXIMIN,False,True,False,True
AZACLORZINE,False,False,False,False
BMS-754807,False,True,False,False
RLY-2608,False,False,False,True
MK-3577,False,False,False,True
MANIDIPINE 6300,False,True,False,False
CYC-065,False,False,False,False
ZELICAPAVIR,False,False,False,False
DRAFLAZINE,False,True,False,False
MAPRACORAT,False,False,False,False
RELENOPRIDE,False,True,False,False
GANDOTINIB,False,False,False,False
ENCALERET,False,False,False,False
VEVORISERTIB,False,False,False,True
PADNARSERTIB,False,True,False,True
AZAMULIN,False,False,False,False
NICAFENINE,False,True,False,False
PF-06815345,False,False,False,False
RIFAMYCIN,True,True,False,False
MEBOLAZINE,False,True,False,False
PILARALISIB,False,False,False,False
TAMBICICLIB,False,False,False,False
CEFCANEL DALOXATE,False,False,True,False
UPLARAFENIB,False,True,False,False
ODANACATIB,False,False,True,False
TSN-084,False,False,False,True
GSK-256066,False,False,False,False
SIMUROSERTIB,False,False,False,False
AZD-9898,False,True,True,False
EMPRUMAPIMOD,False,False,False,False
AFIMETORAN,False,False,False,False
ELINZANETANT,False,False,False,False
LUT-014,False,False,False,True
CE-245677,False,False,False,True
FAZAMOREXANT,False,False,False,False
FARGLITAZAR,True,False,False,True
SAPRISARTAN,False,False,False,True
TELAGLENASTAT,False,True,False,False
ERIBAXABAN,False,False,False,False
BILB-1941,True,True,False,True
ASALHYDROMORPHONE,False,True,False,False
RODATRISTAT ETHYL,False,False,False,False
DSP-2230,False,True,False,False
ROCBRUTINIB,False,True,True,False
RUPITASERTIB,False,False,False,False
FONADELPAR,False,False,False,True
AVAGACESTAT,False,False,False,False
KETOCONAZOLE,True,False,False,False
TOZASERTIB,False,False,False,False
VEMIRCOPAN,False,True,False,False
SERALUTINIB,False,False,False,True
NILOTINIB LAURYLSULFATE,False,True,True,True
ATUZABRUTINIB,False,True,True,True
BMS-394136,False,False,False,False
R-348,False,True,False,False
AMCASERTIB,False,True,False,True
BEPAFANT,False,False,False,False
MGB-BP-3,False,False,False,False
CLOFUTRIBEN,False,False,False,False
ANIZATRECTINIB,False,False,False,False
REVAMILAST,False,True,False,False
CAMIZESTRANT,False,False,False,False
TINENGOTINIB,False,False,False,False
RILMAZAFONE,False,False,False,False
GLICARAMIDE,False,False,False,False
TANDUTINIB,False,True,False,False
PLEVITREXED,False,True,False,False
MK-5108,False,False,False,False
VACTOSERTIB,False,False,False,False
LY-3499446,False,True,True,False
MAVELERTINIB,False,True,True,False
MAX-10181,False,True,False,False
CICORTONIDE,False,True,True,False
PARSACLISIB,False,False,False,False
SB-649868,False,False,False,True
GSK2256294,False,False,False,False
LY-3009120,False,False,False,False
PHORBOL MYRISTATE ACETATE,False,True,True,False
AZD-5122,False,False,False,False
DORZAGLIATIN,False,False,False,False
SUZETRIGINE,False,False,False,False
FLUMATINIB,False,False,False,True
SAGOPILONE,False,True,False,False
TAK-901,False,False,False,False
DESOCRIPTINE,False,False,False,False
MOBINITINIB,False,False,False,False
REMINERTANT,False,False,False,True
BRIGIMADLIN,False,False,False,True
LEXIPAFANT,False,False,False,False
RELACATIB,False,False,False,False
LECUFEXOR,False,True,False,True
LINUSTEDASTAT,False,True,True,False
DARIZMETINIB,False,False,False,False
VECABRUTINIB SUCCINATE,False,False,False,False
BAMIRASTINE,False,True,False,True
SY-5609,False,True,False,False
ECASTOLOL,False,True,False,False
ICLEPERTIN,False,False,False,False
ZOLIFLODACIN,False,True,False,False
EXARAFENIB,False,False,False,False
ASP-8302,False,False,False,False
ATACIGUAT,False,False,False,False
GLIFLUMIDE,False,False,False,False
ELSULFAVIRINE,False,False,False,False
QUARFLOXIN,False,False,False,True
IMOCITRELVIR,False,True,False,False
DAGLUTRIL,False,False,False,False
SAR-405838,False,False,False,False
ZEPRUMETOSTAT,False,False,False,False
MAVODELPAR,False,True,False,False
ETALOCIB,False,True,False,True
TEGOPRAZAN,False,False,False,False
CALCIMYCIN,False,False,False,False
BEXOTEGRAST,False,True,False,False
ADOMEGLIVANT,False,False,False,False
SULUKAST,False,True,True,False
TIPELUKAST,False,True,False,False
MIVORILANER,False,True,False,False
TROPIFEXOR,False,False,False,True
