pair,ligand_id,smiles_source,fragment_rule,prep_method,rdkit_version,embed_method,embed_seed,optimization_method,meeko_version,input_pdbqt,direct_evidence,status
EGFR/HER2,EH120_041,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_041.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_042,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_042.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_043,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_043.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_044,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_044.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_045,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_045.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_046,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_046.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_047,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_047.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_048,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_048.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_049,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_049.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_050,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_050.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_051,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_051.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_052,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_052.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_053,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_053.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_054,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_054.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_055,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_055.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_056,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_056.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_057,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_057.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_058,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_058.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_059,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_059.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_060,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_060.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
EGFR/HER2,EH120_061,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,largest_organic,rdkit_etkdgv3_mmff_meeko,2026.03.5_analysis_pin_not_historical_docking_rdkit,ETKDGv3,20260727,MMFF_le_200,0.7.1,data/egfr_her2_uniform_rdkit_v1/ligands_pdbqt/EH120_061.pdbqt,prep_uniform_ligands.py + ligand_prep_status.csv + ligands_pdbqt,CONFIRMED
