compound_id,compound_name,canonical_smiles,chembl_id,in_distill_manifest,source
URAT1_POS_01,lesinurad,O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,CHEMBL3301572,yes,literature_benchmarks.csv / distill_subset_e.csv
URAT1_POS_02,benzbromarone,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,CHEMBL892,yes,literature_benchmarks.csv / distill_subset_e.csv
URAT1_POS_03,verinurad,CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)O,CHEMBL3989871,no,literature_benchmarks.csv / distill_subset_e.csv only
URAT1_POS_04,dotinurad,O=C(c1cc(Cl)c(O)c(Cl)c1)N1CS(=O)(=O)c2ccccc21,CHEMBL4594374,yes,literature_benchmarks.csv / distill_subset_e.csv
