canonical_smiles,scaffold,subset,label_type,source_library,has_bioactivity_label,pActivity,target_arm,benchmark_ref,molecule_chembl_id
O=C(O)c1ccccc1NC(=O)c1cn(Cc2ccccn2)c2ccccc12,O=C(Nc1ccccc1)c1cn(Cc2ccccn2)c2ccccc12,B,scaffold_representative,urat1_curated.csv,True,5.01,URAT1,,CHEMBL5630545
O=C(Nc1ccncc1)c1c(O)[nH]c(=O)[nH]c1=O,O=C(Nc1ccncc1)c1c[nH]c(=O)[nH]c1=O,B,scaffold_representative,urat1_curated.csv,True,5.28,URAT1,,CHEMBL6015210
N#Cc1cc(C(=O)N2CCc3ccccc32)cc(C2CC2)c1O,O=C(c1cccc(C2CC2)c1)N1CCc2ccccc21,B,scaffold_representative,urat1_curated.csv,True,5.06,URAT1,,CHEMBL4796568
N#Cc1cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc(C2CC2)c1O,O=C(c1cccc(C2CC2)c1)N1CS(=O)(=O)c2ccccc21,B,scaffold_representative,urat1_curated.csv,True,4.72,URAT1,,CHEMBL4740995
CC1Cc2ccccc2N1C(=O)c1cc(Cl)c(O)c(Cl)c1,O=C(c1ccccc1)N1CCc2ccccc21,B,scaffold_representative,urat1_curated.csv,True,5.8,URAT1,,CHEMBL5429502
O=C(c1cc(Cl)c(O)c(C(F)(F)F)c1)N1CS(=O)(=O)c2ccccc21,O=C(c1ccccc1)N1CS(=O)(=O)c2ccccc21,B,scaffold_representative,urat1_curated.csv,True,5.58,URAT1,,CHEMBL4748804
N#Cc1cc(C(=O)N2CSc3ccccc32)cc(C(F)(F)F)c1O,O=C(c1ccccc1)N1CSc2ccccc21,B,scaffold_representative,urat1_curated.csv,True,4.88,URAT1,,CHEMBL4744184
CCc1cc2cc(O)cc(C(=O)c3cc(Br)c(O)c(Br)c3)c2o1,O=C(c1ccccc1)c1cccc2ccoc12,B,scaffold_representative,urat1_curated.csv,True,6.54,URAT1,,CHEMBL1767111
CCc1cc2c(C(=O)c3cc(Br)c(O)c(Br)c3)c(O)ccc2o1,O=C(c1ccccc1)c1cccc2occc12,B,scaffold_representative,urat1_curated.csv,True,7.08,URAT1,,CHEMBL1767109
CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,O=C(c1ccccc1)c1ccccc1,B,scaffold_representative,urat1_curated.csv,True,4.96,URAT1,,CHEMBL981
CCc1oc2ccc(OC)cc2c1C(=O)c1cc(Br)c(O)c(Br)c1,O=C(c1ccccc1)c1coc2ccccc12,B,scaffold_representative,urat1_curated.csv,True,7.38,URAT1,,CHEMBL1767106
Cc1c(C)n(C(=O)c2ccc(O)c(C#N)c2)c2ccccc12,O=C(c1ccccc1)n1ccc2ccccc21,B,scaffold_representative,urat1_curated.csv,True,4.97,URAT1,,CHEMBL4781629
O=C(c1cc(Cl)c(O)c(Cl)c1)n1ccc2cccnc21,O=C(c1ccccc1)n1ccc2cccnc21,B,scaffold_representative,urat1_curated.csv,True,6.1,URAT1,,CHEMBL5439993
