canonical_smiles,scaffold,subset,label_type,source_library,has_bioactivity_label,pActivity,target_arm,benchmark_ref,molecule_chembl_id
COc1ccc(OC)c(NC(=O)c2sc3nc4c(cc3c2N)N2CCC4CC2)c1,O=C(Nc1ccccc1)c1cc2cc3c(nc2s1)C1CCN3CC1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(NCCn1nc(C2CC2)cc1C1CC1)NCc1ccc(F)cc1,O=C(NCCn1nc(C2CC2)cc1C1CC1)NCc1ccccc1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(c1ccc(Cl)s1)N1CC(c2nc(-c3ccc[nH]c3=O)no2)C1,O=C(c1cccs1)N1CC(c2nc(-c3ccc[nH]c3=O)no2)C1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cc1ccccc1C(C)NC(=O)CSc1nnnn1C1CC1,O=C(CSc1nnnn1C1CC1)NCc1ccccc1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CCn1ccc(=O)nc1SC(C)C(=O)Nc1cccc(S(=O)(=O)N2CCOCC2)c1,O=C(CSc1nc(=O)cc[nH]1)Nc1cccc(S(=O)(=O)N2CCOCC2)c1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=c1[nH]c2cc3c(cc2cc1CN(Cc1cccs1)C(=S)Nc1ccc(F)cc1)OCO3,O=c1[nH]c2cc3c(cc2cc1CN(Cc1cccs1)C(=S)Nc1ccccc1)OCO3,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CC(C)[C@H](NC(=O)CC[C@@H]1NC(=O)N(c2ccccc2)C1=O)c1nc2ccccc2[nH]1,O=C(CCC1NC(=O)N(c2ccccc2)C1=O)NCc1nc2ccccc2[nH]1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CCCCNC(=O)Cn1c(=O)n(CCCCC(=O)NC2CCCCC2)c(=O)c2ccccc21,O=C(CCCCn1c(=O)[nH]c2ccccc2c1=O)NC1CCCCC1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C1N(Cc2cccc(Cl)c2)C[C@@H](OCC2CC2)C[C@]12CCC[NH+](Cc1ccccn1)C2,O=C1N(Cc2ccccc2)CC(OCC2CC2)CC12CCC[NH+](Cc1ccccn1)C2,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(CN1C(=O)NC2(CCCC2)C1=O)Nc1nc2c(F)cc(F)cc2s1,O=C(CN1C(=O)NC2(CCCC2)C1=O)Nc1nc2ccccc2s1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(CC1NC(=O)c2ccccc2NC1=O)Nc1nc(-c2cccnc2)cs1,O=C(CC1NC(=O)c2ccccc2NC1=O)Nc1nc(-c2cccnc2)cs1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(c1cc(C2CC2)nc2ccccc12)N1CCN(C(=O)C2CC2)CC1,O=C(c1cc(C2CC2)nc2ccccc12)N1CCN(C(=O)C2CC2)CC1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CC(=O)Nc1cc(C2CC2)nn1C1CCS(=O)(=O)C1,O=S1(=O)CCC(n2ccc(C3CC3)n2)C1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CCNC(=O)N1CC2(C1)C[NH+](Cc1ccccc1)CC2c1nc(C2CC2)n[nH]1,c1ccc(C[NH+]2CC(c3nc(C4CC4)n[nH]3)C3(CNC3)C2)cc1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
COc1ccc(C[NH+](C)[C@H]2CC[C@]3(CC2)C[NH2+]Cc2ccccc2O3)cc1OC,c1ccc(C[NH2+]C2CCC3(CC2)C[NH2+]Cc2ccccc2O3)cc1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(c1ccnc(Cc2ccccc2F)c1)N1CCC(Cc2cnc(-c3ncc[nH]3)cn2)CC1,O=C(c1ccnc(Cc2ccccc2)c1)N1CCC(Cc2cnc(-c3ncc[nH]3)cn2)CC1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cc1cccc(NC(=S)NC2CC3CCCC(C2)[NH+]3Cc2cccs2)c1C,S=C(Nc1ccccc1)NC1CC2CCCC(C1)[NH+]2Cc1cccs1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(CCN1C(=O)COc2ccccc21)Nc1cc2c(cc1Br)OCCO2,O=C(CCN1C(=O)COc2ccccc21)Nc1ccc2c(c1)OCCO2,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(c1nccc2ccccc12)N1CCC(Cc2noc(C3CCOCC3)n2)C1,O=C(c1nccc2ccccc12)N1CCC(Cc2noc(C3CCOCC3)n2)C1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CCCCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2CCCN2CCOCC2)c1,O=C(C1=CC(=O)N(CCCN2CCOCC2)C1c1ccccc1)c1ccco1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(NCCOc1ccccc1)c1cn2c(n1)C(c1ccccc1)N(C1CCCC1)CC2,O=C(NCCOc1ccccc1)c1cn2c(n1)C(c1ccccc1)N(C1CCCC1)CC2,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
c1ccc(Cn2cccn2)c(CN2CCC[C@H]2c2nc(-c3ccncc3)no2)c1,c1ccc(Cn2cccn2)c(CN2CCCC2c2nc(-c3ccncc3)no2)c1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cn1c(=O)c2c(nc3n(CC(O)c4ccccc4)c(C45CC6CC(CC(C6)C4)C5)cn23)n(C)c1=O,O=c1[nH]c(=O)c2c(nc3n(CCc4ccccc4)c(C45CC6CC(CC(C6)C4)C5)cn23)[nH]1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CC(C)Cc1cc(C(=O)NCCCc2nc3ccccc3s2)nc(=O)[nH]1,O=C(NCCCc1nc2ccccc2s1)c1cc[nH]c(=O)n1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CN(CC1(O)CCCN(c2ccnc3ccncc23)C1)C(=O)c1ccc(OCCC[NH3+])cc1,O=C(NCC1CCCN(c2ccnc3ccncc23)C1)c1ccccc1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cc1ccc2nc(COC(=O)CCc3nc4ccccc4c(=O)[nH]3)cc(=O)n2c1,O=C(CCc1nc2ccccc2c(=O)[nH]1)OCc1cc(=O)n2ccccc2n1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
COc1ccc(-c2noc(CN3C(=O)NC(C)(C4CC4)C3=O)n2)cc1OC,O=C1NC(C2CC2)C(=O)N1Cc1nc(-c2ccccc2)no1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=c1[nH]c2cc(-c3nc(-c4cccc(Cl)c4)no3)ccc2c(=O)n1CCCc1ccccc1,O=c1[nH]c2cc(-c3nc(-c4ccccc4)no3)ccc2c(=O)n1CCCc1ccccc1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cn1c(=O)[nH]c(=O)c2c1nc(N1CC[NH+](Cc3ccccc3)CC1)n2CCCSc1ncccn1,O=c1[nH]c(=O)c2c(nc(N3CC[NH+](Cc4ccccc4)CC3)n2CCCSc2ncccn2)[nH]1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cc1cccc(C[NH2+][C@H]2C[C@H]3C(=O)N[C@@H](Cc4ccc(O)cc4)C(=O)N3C2)c1,O=C1NC(Cc2ccccc2)C(=O)N2CC([NH2+]Cc3ccccc3)CC12,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CCc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4cccc(C)c4)[nH]c(=O)c32)cc1,O=C1CC(C(=O)Nc2ccccc2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CC[C@@]1(C(=O)N2CCN(C)CC2)C[C@@H]2CC[C@H]1N2C(=O)C1(COC)CCC1,O=C(C1CC2CCC1N2C(=O)C1CCC1)N1CCNCC1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CC(=O)c1ccc(N2CCN(CN3C(=O)NC(C)(c4ccc5c(c4)CCC5)C3=O)CC2)c(F)c1,O=C1NC(c2ccc3c(c2)CCC3)C(=O)N1CN1CCN(c2ccccc2)CC1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cc1ccccc1NC(=O)C1CC(=O)N(c2ccc3c(c2)CCN3C(=O)C2CCC2)C1,O=C(Nc1ccccc1)C1CC(=O)N(c2ccc3c(c2)CCN3C(=O)C2CCC2)C1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CC(C)c1ccc(-c2nc(-c3ccc4c(c3)ncn4CCC(=O)N3CCCC3)no2)cc1,O=C(CCn1cnc2cc(-c3noc(-c4ccccc4)n3)ccc21)N1CCCC1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C1C(=O)N(C2CCN(S(=O)(=O)c3ccc(F)cc3)CC2)CCN1Cc1cccc(F)c1,O=C1C(=O)N(C2CCN(S(=O)(=O)c3ccccc3)CC2)CCN1Cc1ccccc1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cn1c(=O)n(CC[NH+]2CCCCC2)c(=O)c2c1nc1n2CCN1c1ccc(Oc2ccccc2)cc1,O=c1[nH]c2nc3n(c2c(=O)n1CC[NH+]1CCCCC1)CCN3c1ccc(Oc2ccccc2)cc1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
COc1ccc(-n2nc3c(c2NC(=O)C2(c4ccc(Cl)cc4)CCCC2)CS(=O)(=O)C3)cc1,O=C(Nc1c2c(nn1-c1ccccc1)CS(=O)(=O)C2)C1(c2ccccc2)CCCC1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(CSc1nnc(-c2cccs2)n1C1CC1)NC(=O)C1COc2ccccc2O1,O=C(CSc1nnc(-c2cccs2)n1C1CC1)NC(=O)C1COc2ccccc2O1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C1C2N=NN(Cc3nc(-c4cccc(Cl)c4)no3)C2C(=O)N1c1ccc(F)cc1,O=C1C2N=NN(Cc3nc(-c4ccccc4)no3)C2C(=O)N1c1ccccc1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CC1=NN(c2ccccc2)C(=O)C1C(=O)c1ccc(Cl)cc1,O=C(c1ccccc1)C1C=NN(c2ccccc2)C1=O,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
COc1cc(C[NH2+]CCCC2CCCC2)ccc1OCC(O)CN1CCOCC1,c1cc(OCCCN2CCOCC2)ccc1C[NH2+]CCCC1CCCC1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(Cc1noc2ccccc12)NCCn1c(=O)[nH]c2ncccc2c1=O,O=C(Cc1noc2ccccc12)NCCn1c(=O)[nH]c2ncccc2c1=O,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(Cn1c(=O)cnc2ccccc21)NCC1CN(C2CC2)CCO1,O=C(Cn1c(=O)cnc2ccccc21)NCC1CN(C2CC2)CCO1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cn1c(=O)c2c(nc(N3CCN(C(=O)CCc4ccccc4)CC3)n2Cc2ccccc2)n(C)c1=O,O=C(CCc1ccccc1)N1CCN(c2nc3[nH]c(=O)[nH]c(=O)c3n2Cc2ccccc2)CC1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(NCc1nnc2ccccn12)c1cc2c(s1)CCCC2,O=C(NCc1nnc2ccccn12)c1cc2c(s1)CCCC2,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cc1nc2c(CNc3ccc4c(c3)CCCC(=O)N4)cccc2o1,O=C1CCCc2cc(NCc3cccc4ocnc34)ccc2N1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CC(=O)/N=C1\SC2CS(=O)(=O)CC2N1c1ccc(-c2nc3ccc(C)cc3s2)cc1,N=C1SC2CS(=O)(=O)CC2N1c1ccc(-c2nc3ccccc3s2)cc1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CC(C)OCC[NH2+]C1CCc2c(sc3ncn(Cc4cc5ccccc5s4)c(=O)c23)C1,O=c1c2c3c(sc2ncn1Cc1cc2ccccc2s1)CCCC3,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cc1cc2oc(=O)cc(COC(=O)CC3Sc4ccccc4NC3=O)c2cc1C(C)C,O=C(CC1Sc2ccccc2NC1=O)OCc1cc(=O)oc2ccccc12,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
COc1ccccc1C(=O)NCCN1Cc2ccccc2C1=O,O=C(NCCN1Cc2ccccc2C1=O)c1ccccc1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
COc1cccc(CN(C)C(=O)CCn2ncc(=O)c3ccccc32)c1,O=C(CCn1ncc(=O)c2ccccc21)NCc1ccccc1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cn1c2ccccc2c2cc(C(=O)NCc3ccccc3S(=O)(=O)N3CCOCC3)sc21,O=C(NCc1ccccc1S(=O)(=O)N1CCOCC1)c1cc2c([nH]c3ccccc32)s1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
