canonical_smiles,scaffold,subset,label_type,source_library,has_bioactivity_label,pActivity,target_arm,benchmark_ref,molecule_chembl_id
Cc1ccc(Nc2cncc(-c3ccc(C(=O)O)c(O)c3)c2)cc1Cl,c1ccc(Nc2cncc(-c3ccccc3)c2)cc1,C,slc22_fps_neighbor,urat1_curated.csv,True,4.29,URAT1,,CHEMBL5558135
O=S(=O)(O)CC(S)CSSCC(S)S(=O)(=O)O,,C,slc22_fps_neighbor,oat_combined_transfer.csv,True,4.18,OAT1,,CHEMBL2074703
Brc1ccc(Cn2c(Br)nnc2SCc2nnn[n-]2)c2ccccc12.[Na+],c1ccc2c(Cn3cnnc3SCc3nnn[n-]3)cccc2c1,C,slc22_fps_neighbor,urat1_curated.csv,True,5.49,URAT1,,CHEMBL4560122
CCCn1c(=O)c2nc(C34CC5CC(CC3C5)C4)[nH]c2n(CCC)c1=O,O=c1[nH]c(=O)c2nc(C34CC5CC(CC3C5)C4)[nH]c2[nH]1,C,slc22_fps_neighbor,oat_combined_transfer.csv,True,5.11,OAT1,,CHEMBL52333
N#Cc1ccccc1NS(=O)(=O)c1ccccc1C(F)(F)F,O=S(=O)(Nc1ccccc1)c1ccccc1,C,slc22_fps_neighbor,urat1_curated.csv,True,6.21,URAT1,,CHEMBL3935920
O=C(O)/C=C/Cc1cccc2c1OC(c1ccsc1)CC2=O,O=C1CC(c2ccsc2)Oc2ccccc21,C,slc22_fps_neighbor,urat1_curated.csv,True,5.45,URAT1,,CHEMBL5618105
CCCCCCCC(=O)O,,C,slc22_fps_neighbor,oat_combined_transfer.csv,True,5.27,OAT1,,CHEMBL324846
Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1.O.O,O=c1nccc[nH]1,C,slc22_fps_neighbor,oat_combined_transfer.csv,True,4.22,OAT1,,CHEMBL5314375
CN/C(=N\CCSCc1nc[nH]c1C)NC#N,c1c[nH]cn1,C,slc22_fps_neighbor,oat_combined_transfer.csv,True,4.155,OAT3,,CHEMBL30
CC(=O)Oc1c[nH]c2ccccc12,c1ccc2[nH]ccc2c1,C,slc22_fps_neighbor,oat_combined_transfer.csv,True,4.08,OAT1,,CHEMBL2074590
COc1c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,O=c1c2ccccc2oc2ccccc12,C,slc22_fps_neighbor,urat1_curated.csv,True,4.23,URAT1,,CHEMBL323197
Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(Cc3n[nH]c(=S)o3)ccc12,S=c1[nH]nc(Cc2ccc3cnn(Cc4ccccc4)c3c2)o1,C,slc22_fps_neighbor,urat1_curated.csv,True,8.0,URAT1,,CHEMBL3692028
O=C(O)C1(Sc2ccnc3cc(Br)ccc23)CCC1,c1ccc2c(SC3CCC3)ccnc2c1,C,slc22_fps_neighbor,urat1_curated.csv,True,6.89,URAT1,,CHEMBL3745847
O=C(O)Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccnc3)cc21,O=c1[nH]c2ccc(-n3ccnc3)cc2[nH]c1=O,C,slc22_fps_neighbor,oat_combined_transfer.csv,True,5.52,OAT1,,CHEMBL119625
