pair,channel,n,n_dual,n_A,n_B,n_neither,AUROC_D_vs_A_pocketB,AUROC_D_vs_B_pocketA,summary_min,AUROC_mean_D_vs_neither
EGFR/HER2,gnina_cnn_affinity_best_of_9,110,28,38,32,12,0.6475563909774437,0.2142857142857143,0.2142857142857143,0.9375
EGFR/HER2,gnina_cnn_score_best_of_9_sensitivity,110,28,38,32,12,0.40131578947368424,0.3002232142857143,0.3002232142857143,0.6190476190476191
