ligand,target,mode,cnn_affinity
EH120_041,3POZ,mode_06,7.5783829689
EH120_041,3RCD,mode_04,7.7465395927
EH120_042,3POZ,mode_05,7.1244983673
EH120_042,3RCD,mode_04,7.1678643227
EH120_043,3POZ,mode_01,6.4138083458
EH120_043,3RCD,mode_03,5.8600449562
EH120_044,3POZ,mode_08,6.7251763344
EH120_044,3RCD,mode_06,7.0854988098
EH120_045,3POZ,mode_04,8.1061372757
EH120_045,3RCD,mode_03,8.3120250702
EH120_046,3POZ,mode_06,7.7324638367
EH120_046,3RCD,mode_01,7.3706936836
EH120_047,3POZ,mode_01,7.3258681297
EH120_047,3RCD,mode_02,7.5257697105
EH120_048,3POZ,mode_09,6.1311554909
EH120_048,3RCD,mode_07,7.3616471291
EH120_049,3POZ,mode_04,6.9022088051
EH120_049,3RCD,mode_01,7.1469407082
EH120_050,3POZ,mode_05,7.1872620583
EH120_050,3RCD,mode_06,7.9870681763
EH120_051,3POZ,mode_03,6.7204813957
EH120_051,3RCD,mode_03,6.8957915306
EH120_052,3POZ,mode_07,6.8793673515
EH120_052,3RCD,mode_05,7.3317351341
EH120_053,3POZ,mode_08,8.2585477829
EH120_053,3RCD,mode_08,8.5946016312
EH120_054,3POZ,mode_05,5.6457095146
EH120_054,3RCD,mode_04,6.659116745
EH120_055,3POZ,mode_08,6.8984475136
EH120_055,3RCD,mode_05,7.0359153748
EH120_056,3POZ,mode_02,7.3067889214
EH120_056,3RCD,mode_04,7.4822220802
EH120_057,3POZ,mode_07,6.2448120117
EH120_057,3RCD,mode_05,6.8691163063
EH120_058,3POZ,mode_09,6.9518723488
EH120_058,3RCD,mode_08,6.7715849876
EH120_059,3POZ,mode_05,6.2222952843
EH120_059,3RCD,mode_07,7.5527896881
EH120_060,3POZ,mode_03,6.9077377319
EH120_060,3RCD,mode_05,7.7787833214
EH120_061,3POZ,mode_01,8.1772556305
EH120_061,3RCD,mode_01,8.482419014
EH120_062,3POZ,mode_01,8.5216760635
EH120_062,3RCD,mode_01,8.4554624557
EH120_063,3POZ,mode_01,7.4866662025
EH120_063,3RCD,mode_01,7.2889761925
EH120_064,3POZ,mode_02,6.0108032227
EH120_064,3RCD,mode_03,7.0962638855
EH120_065,3POZ,mode_03,5.9424190521
EH120_065,3RCD,mode_03,6.8394393921
EH120_066,3POZ,mode_06,7.4129638672
EH120_066,3RCD,mode_08,6.8988289833
EH120_067,3POZ,mode_02,5.7997131348
EH120_067,3RCD,mode_09,6.1301383972
EH120_068,3POZ,mode_01,8.0024557114
EH120_068,3RCD,mode_06,8.8316602707
EH120_069,3POZ,mode_04,6.3489432335
EH120_069,3RCD,mode_03,6.7167258263
EH120_070,3POZ,mode_01,5.8966994286
EH120_070,3RCD,mode_03,5.7924485207
EH120_071,3POZ,mode_04,7.8668532372
EH120_071,3RCD,mode_01,8.0368757248
EH120_072,3POZ,mode_01,8.0930089951
EH120_072,3RCD,mode_01,8.3674240112
EH120_073,3POZ,mode_07,7.240090847
EH120_073,3RCD,mode_01,7.9854736328
EH120_074,3POZ,mode_08,6.4901747704
EH120_074,3RCD,mode_03,6.8553872108
EH120_075,3POZ,mode_08,6.2583203316
EH120_075,3RCD,mode_02,7.1859755516
EH120_076,3POZ,mode_04,5.6083850861
EH120_076,3RCD,mode_06,6.4047551155
EH120_077,3POZ,mode_01,6.5027427673
EH120_077,3RCD,mode_02,7.5984306335
EH120_078,3POZ,mode_01,6.8708267212
EH120_078,3RCD,mode_02,7.1917347908
EH120_079,3POZ,mode_06,6.5751533508
EH120_079,3RCD,mode_01,7.1099829674
EH120_080,3POZ,mode_04,7.5581021309
EH120_080,3RCD,mode_01,8.3346376419
EH120_081,3POZ,mode_01,8.2328691483
EH120_081,3RCD,mode_02,8.5332994461
EH120_082,3POZ,mode_06,8.248875618
EH120_082,3RCD,mode_04,8.3921070099
EH120_083,3POZ,mode_01,8.6481866837
EH120_083,3RCD,mode_02,8.4825735092
EH120_084,3POZ,mode_01,8.1310119629
EH120_084,3RCD,mode_08,8.374288559
EH120_085,3POZ,mode_01,8.4310407639
EH120_085,3RCD,mode_02,8.670135498
EH120_086,3POZ,mode_01,7.661588192
EH120_086,3RCD,mode_01,8.3376493454
EH120_087,3POZ,mode_01,8.6210241318
EH120_087,3RCD,mode_01,8.3476133347
EH120_088,3POZ,mode_02,8.3565177917
EH120_088,3RCD,mode_02,8.7792863846
EH120_089,3POZ,mode_04,7.7438092232
EH120_089,3RCD,mode_01,8.4548826218
EH120_090,3POZ,mode_02,7.9258613586
EH120_090,3RCD,mode_01,8.5140733719
EH120_091,3POZ,mode_02,7.6520576477
EH120_091,3RCD,mode_01,8.1746683121
EH120_092,3POZ,mode_01,8.5261077881
EH120_092,3RCD,mode_01,8.8837976456
EH120_093,3POZ,mode_01,8.2548923492
EH120_093,3RCD,mode_01,8.6832761765
EH120_094,3POZ,mode_02,7.1016488075
EH120_094,3RCD,mode_02,7.3979420662
EH120_095,3POZ,mode_03,7.9843482971
EH120_095,3RCD,mode_01,8.3480901718
EH120_096,3POZ,mode_01,8.4899749756
EH120_096,3RCD,mode_01,8.7097816467
EH120_097,3POZ,mode_03,8.0043830872
EH120_097,3RCD,mode_01,8.2329645157
EH120_098,3POZ,mode_01,8.2655668259
EH120_098,3RCD,mode_05,8.9946908951
EH120_099,3POZ,mode_08,7.8825392723
EH120_099,3RCD,mode_01,8.1368789673
EH120_100,3POZ,mode_01,8.350025177
EH120_100,3RCD,mode_02,8.571103096
EH120_101,3POZ,mode_01,8.2748603821
