ligand,target,vina_mode,rtmscore
EH40_01,3POZ,4-3,97.28943007648176
EH120_072,3POZ,1-638,91.41405573101854
EH120_061,3POZ,1-539,88.52287988136045
EH120_068,3POZ,4-605,81.24007016195176
EH120_091,3POZ,2-808,79.90251481284965
EH40_23,3POZ,5-202,78.68348134695587
EH40_06,3POZ,8-52,78.64522336151717
EH40_02,3POZ,1-9,77.17629462955679
EH120_068,3POZ,2-603,76.75927853404643
EH120_082,3POZ,1-728,73.69557910074522
EH120_082,3POZ,6-733,73.3869165522003
EH120_071,3POZ,4-632,73.37743668098209
EH120_095,3POZ,3-845,73.1915593431084
EH120_045,3POZ,4-399,72.08937128915231
EH120_090,3POZ,3-800,71.66889643923365
EH120_090,3POZ,2-799,71.58082072296116
EH120_097,3POZ,3-863,71.22619185230593
EH120_045,3POZ,6-401,69.50704389128025
EH120_082,3POZ,4-731,68.47184761091162
EH120_068,3POZ,5-606,66.66245168875267
EH120_083,3POZ,1-736,66.2319568719919
EH40_28,3POZ,1-243,66.12438449283907
EH120_073,3POZ,7-653,65.43594151683529
EH40_07,3POZ,7-60,64.19194385151975
EH120_100,3POZ,1-888,63.43127990907764
EH40_31,3POZ,8-277,63.22642303621598
EH120_081,3POZ,1-719,63.15654169383266
EH120_056,3POZ,8-501,62.03903507698359
EH40_12,3POZ,2-100,61.68873554487402
EH120_072,3POZ,2-639,61.38898544320189
EH40_05,3POZ,8-43,60.99787610996658
EH120_087,3POZ,1-771,59.66813059769872
EH120_053,3POZ,8-475,58.446585027230086
EH120_062,3POZ,4-551,58.024063267086326
EH120_099,3POZ,8-886,57.6358491402093
EH120_061,3POZ,2-540,56.15626283848001
EH120_092,3POZ,1-816,55.67642644136481
EH120_056,3POZ,7-500,55.42792657801164
EH120_081,3POZ,2-720,55.21221692546935
EH120_056,3POZ,6-499,55.03118496222773
EH120_096,3POZ,2-853,54.535512014555216
EH40_01,3POZ,9-8,54.409796673153394
EH120_053,3POZ,7-474,54.39962776155006
EH40_29,3POZ,3-254,54.19050980718884
EH120_057,3POZ,9-511,54.01283713252776
EH120_098,3POZ,1-870,53.59216420438919
EH120_062,3POZ,3-550,53.05093270644225
EH120_096,3POZ,1-852,52.89038894939611
EH40_12,3POZ,4-102,52.40442306526919
EH120_084,3POZ,1-745,52.19264593198484
EH40_11,3POZ,6-95,52.04478113152714
EH120_095,3POZ,8-850,51.61277599544228
EH40_28,3POZ,2-244,51.3075385055184
EH120_068,3POZ,8-609,50.79911236559823
EH40_01,3POZ,7-6,50.258384865912525
EH120_072,3POZ,7-644,50.20967128999713
EH40_05,3POZ,7-42,50.14648584626468
EH40_22,3POZ,1-189,50.09951872608561
EH40_22,3POZ,8-196,49.87363878805943
EH120_056,3POZ,9-502,49.78003292283899
EH40_37,3POZ,1-324,49.53216443214672
EH40_40,3POZ,3-353,49.48170471065359
EH120_088,3POZ,2-781,49.03583745915461
EH120_068,3POZ,3-604,49.01898633293639
EH40_35,3POZ,9-314,48.880285662783365
EH40_08,3POZ,6-68,48.87025979720222
EH40_04,3POZ,3-29,48.77805170841963
EH40_15,3POZ,8-133,48.32516270252207
EH120_091,3POZ,5-811,48.14677768295989
EH40_01,3POZ,2-1,48.065345169605344
EH120_090,3POZ,7-804,47.851623683411226
EH120_083,3POZ,6-741,47.72529860493721
EH120_053,3POZ,2-469,47.669560676468976
EH40_29,3POZ,4-255,47.55401757015429
EH120_086,3POZ,1-763,47.53831703903862
EH120_094,3POZ,2-835,47.49801706941438
EH40_09,3POZ,9-80,47.48564275098991
EH120_063,3POZ,5-561,47.480433999443065
EH120_101,3POZ,1-897,47.25087265213397
EH40_06,3POZ,3-47,46.63254073019048
EH40_35,3POZ,8-313,46.48773985580776
EH40_07,3POZ,8-61,46.32200569768301
EH40_09,3POZ,4-75,46.19367382444504
EH40_04,3POZ,7-33,46.13455784637164
EH40_31,3POZ,6-275,45.968032180436026
EH120_078,3POZ,9-700,45.92273604576605
EH120_085,3POZ,1-754,45.52740439108943
EH120_071,3POZ,3-631,45.5145007932668
EH120_079,3POZ,6-706,45.43518519785172
EH40_39,3POZ,7-348,44.99282568261005
EH120_088,3POZ,1-780,44.91784949895327
EH40_06,3POZ,9-53,44.859375229715205
EH120_096,3POZ,8-859,44.799197949431054
EH40_16,3POZ,7-141,44.759998206983326
EH40_33,3POZ,8-295,44.47154520461828
EH120_083,3POZ,2-737,44.43922349827568
EH120_105,3POZ,8-940,44.27539844165346
EH120_068,3POZ,9-610,43.811575542736605
EH120_053,3POZ,6-473,43.51283080255935
EH40_09,3POZ,6-77,43.40742364068362
EH40_16,3POZ,5-139,43.399618848156656
EH120_078,3POZ,1-692,43.08447500598653
