ligand_id,smiles,scaffold,keep_structural
NP3-146,CC(C)c1cc(Cl)cc(C(C)C)c1NC(=O)NS(=O)(=O)c1cc(C(C)(C)O)co1,O=C(Nc1ccccc1)NS(=O)(=O)c1ccco1,True
MCC950,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,True
CHEMBL4204644,[2H]C([2H])([2H])C(O)(c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1)C([2H])([2H])[2H],O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,True
CHEMBL5219789,CN[C@@H]1COc2c(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cnn2C1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,True
CHEMBL4212407,[2H]C1([2H])CCc2c1cc1c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,True
CHEMBL6143743,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)c1,O=C(Nc1c(-c2ccccc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,True
CHEMBL4209503,[2H]C1([2H])CCc2cc3c(c(NC(=O)NS(=O)(=O)c4cc(C(C)(C)O)co4)c21)C([2H])([2H])CC3,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,True
CHEMBL4216836,[2H]C1([2H])CCc2c1cc1c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC1([2H])[2H],O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,True
CHEMBL6171925,CC(C)(O)c1csc(S(=O)(=O)NC(=O)Nc2c(-c3cccc(Cl)c3Cl)ccc3c2CCC3)c1,O=C(Nc1c(-c2ccccc2)ccc2c1CCC2)NS(=O)(=O)c1cccs1,True
