term,count,pmids,ok,ligand_id,name
LANIFIBRANOR AND (URAT1 OR SLC22A12),0,[],True,REP_00940,LANIFIBRANOR
LANIFIBRANOR AND NLRP3,0,[],True,REP_00940,LANIFIBRANOR
CHEMBL4091374 AND (URAT1 OR NLRP3 OR inflammasome),0,[],True,REP_00940,LANIFIBRANOR
TONAPOFYLLINE AND (URAT1 OR SLC22A12),0,[],True,REP_00950,TONAPOFYLLINE
TONAPOFYLLINE AND NLRP3,0,[],True,REP_00950,TONAPOFYLLINE
CHEMBL414157 AND (URAT1 OR NLRP3 OR inflammasome),0,[],True,REP_00950,TONAPOFYLLINE
CAFICRESTAT AND (URAT1 OR SLC22A12),0,[],True,REP_00992,CAFICRESTAT
CAFICRESTAT AND NLRP3,0,[],True,REP_00992,CAFICRESTAT
CHEMBL4297455 AND (URAT1 OR NLRP3 OR inflammasome),0,[],True,REP_00992,CAFICRESTAT
ADMILPARANT AND (URAT1 OR SLC22A12),0,[],True,REP_01147,ADMILPARANT
ADMILPARANT AND NLRP3,0,[],True,REP_01147,ADMILPARANT
CHEMBL5087506 AND (URAT1 OR NLRP3 OR inflammasome),0,[],True,REP_01147,ADMILPARANT
LINTITRIPT AND (URAT1 OR SLC22A12),0,[],True,REP_05141,LINTITRIPT
LINTITRIPT AND NLRP3,0,[],True,REP_05141,LINTITRIPT
CHEMBL249973 AND (URAT1 OR NLRP3 OR inflammasome),0,[],True,REP_05141,LINTITRIPT
SPIROGLUMIDE AND (URAT1 OR SLC22A12),0,[],True,REP_05302,SPIROGLUMIDE
SPIROGLUMIDE AND NLRP3,0,[],True,REP_05302,SPIROGLUMIDE
CHEMBL283820 AND (URAT1 OR NLRP3 OR inflammasome),0,[],True,REP_05302,SPIROGLUMIDE
CAVOSONSTAT AND (URAT1 OR SLC22A12),0,[],True,REP_06119,CAVOSONSTAT
CAVOSONSTAT AND NLRP3,0,[],True,REP_06119,CAVOSONSTAT
CHEMBL3989910 AND (URAT1 OR NLRP3 OR inflammasome),0,[],True,REP_06119,CAVOSONSTAT
RUNCACIGUAT AND (URAT1 OR SLC22A12),0,[],True,REP_06643,RUNCACIGUAT
RUNCACIGUAT AND NLRP3,0,[],True,REP_06643,RUNCACIGUAT
CHEMBL4650322 AND (URAT1 OR NLRP3 OR inflammasome),0,[],True,REP_06643,RUNCACIGUAT
FULIMETIBANT AND (URAT1 OR SLC22A12),0,[],True,REP_06875,FULIMETIBANT
FULIMETIBANT AND NLRP3,0,[],True,REP_06875,FULIMETIBANT
CHEMBL5095100 AND (URAT1 OR NLRP3 OR inflammasome),0,[],True,REP_06875,FULIMETIBANT
PF-03882845 AND (URAT1 OR SLC22A12),0,[],True,REP_07580,PF-03882845
PF-03882845 AND NLRP3,0,[],True,REP_07580,PF-03882845
CHEMBL1215331 AND (URAT1 OR NLRP3 OR inflammasome),0,[],True,REP_07580,PF-03882845
PSI-697 AND (URAT1 OR SLC22A12),0,[],True,REP_07704,PSI-697
PSI-697 AND NLRP3,0,[],True,REP_07704,PSI-697
CHEMBL219046 AND (URAT1 OR NLRP3 OR inflammasome),0,[],True,REP_07704,PSI-697
CR-3465 AND (URAT1 OR SLC22A12),0,[],True,REP_08210,CR-3465 FREE ACID
CR-3465 AND NLRP3,0,[],True,REP_08210,CR-3465 FREE ACID
CHEMBL5316169 AND (URAT1 OR NLRP3 OR inflammasome),0,[],True,REP_08210,CR-3465 FREE ACID
