smiles,mol_id,pred_pAct_JNK1,pred_pAct_JNK2,pred_pAct_JNK3,p_family,pred_delta_min_computed,sa,qed,final_score
CCNC(=O)[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1,,7.7744217,7.267047,6.2999597,7.7744217,0.50737476,2.9220165382336294,0.4865550913218293,0.7123003713146467
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)c(C)nc32)cs1,,6.2688837,6.8285513,8.093404,8.093404,-1.8245201,2.855347174652925,0.5070438501512778,0.7120257637530867
CCc1n[nH]c(-c2c(Cl)csc2NC(=O)CN2C(=O)CCc3ncccc32)n1,,5.29256,6.185649,7.825943,7.825943,-2.533383,3.096669467739586,0.6647444122211963,0.7117974538991982
CC(C)C(=O)N[C@H]1CC[C@H](Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,,6.698554,6.6673555,6.1233754,6.698554,0.031198502,2.6006281156841755,0.8435614361382225,0.7116047888009054
CC(C)C(=O)N[C@H]1CC[C@@H](Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,,6.698554,6.6673555,6.1233754,6.698554,0.031198502,2.6006281156841755,0.8435614361382225,0.7116047888009054
CC(C)(O)[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCN(C(=O)CC#N)CC5)cccc43)n2)CC1,,7.6412477,7.253432,6.097878,7.6412477,0.38781595,2.995458628219115,0.5295768748026272,0.7108481311313373
CC(C)NC(=O)N[C@H]1CC[C@H](Nc2ncc3ccc(=O)n(C4CCCC4)c3n2)CC1,,6.7732253,7.1723747,6.410122,7.1723747,-0.39914942,2.615581367264129,0.6992193285641077,0.709767041545948
CC(=O)N1CCN(c2cccc3c2c(C(N)=O)cn3-c2ccnc(N[C@H]3CC[C@H](CS(C)(=O)=O)CC3)n2)CC1,,7.8474045,7.341588,6.511959,7.8474045,0.50581646,3.027663426355012,0.45329351096814363,0.7097003815287114
CC(C)n1c(=O)ccc2cnc(N[C@H]3CC[C@H](NC(=O)NC4CCCC4)CC3)nc21,,6.7805896,7.159954,6.4832397,7.159954,-0.3793645,2.639267950448387,0.6992193285641077,0.7089575038238467
CC(=O)N1CC[C@H](NC(=O)c2cc(-n3ncc4cc(Nc5ccccc5Cl)c(F)cc43)cs2)C1,,6.6041856,6.780655,8.370899,8.370899,-1.7667136,3.2452568834058173,0.40763366754447145,0.7085364044171152
CC(=O)N1CCN(c2cccc3c2c(C(N)=O)cn3-c2ccnc(N[C@H]3CC[C@H](O)CC3)n2)CC1,,7.6319127,7.321407,6.6511593,7.6319127,0.31050587,2.8545126781739434,0.5117386976702993,0.7080365023320935
CCOC(=O)[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1,,7.781262,7.256277,6.074314,7.781262,0.52498484,2.9184531129796376,0.4621099391224938,0.7079257911597293
CN(C)C(=O)N1CCC(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)CC1,,6.4850507,7.187861,6.6590686,7.187861,-0.7028103,2.551764467739586,0.7023422076646708,0.7075589101444177
CNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(OC)cc32)cs1,,6.54331,6.6742883,7.950763,7.950763,-1.4074531,2.6367988908165074,0.49122323236285453,0.7073182874510331
CC(=O)N1CCCC(C(=O)Nc2cc(-c3ccnc(Nc4ccccc4)c3)ccn2)C1,,5.730089,6.1735463,7.59144,7.59144,-1.861351,2.7305083129832948,0.6555495605552571,0.707285377839861
CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,,6.371713,7.4453135,7.987822,7.987822,-1.6161089,2.427061288313098,0.4808226398717622,0.7067998255831649
CCOc1nc(C(=O)NCc2cc(OC)ccc2OC)cc(N)c1C#N,,6.779669,6.64355,6.0980344,6.779669,0.13611889,2.3562794894636614,0.7769801429012811,0.7064100502444575
CC(C)(C)Nc1nc(N[C@H]2CC[C@H](O)CC2)ncc1C(N)=O,,6.6768975,7.2396226,5.5550933,7.2396226,-0.56272507,2.598191818725219,0.6702372147209863,0.7063982302546868
CCCN1Cc2cccc(C(=O)NCc3ccccc3)c2C1=O,,6.3082485,5.6561728,4.414833,6.3082485,0.65207577,1.9936733394073993,0.9229064155662643,0.7062219461120012
CNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)cnc32)cs1,,6.386637,6.3471684,7.7449527,7.7449527,-1.3583155,2.6395076433098144,0.5525829265393206,0.7058934643648783
CC(=O)N1CCC(C(=O)Nc2cc(-c3ccnc(Nc4ccccc4)c3)ccn2)CC1,,5.6934853,6.170346,7.463678,7.463678,-1.7701926,2.2537437036023977,0.6555495605552571,0.7044770375483247
CCOC(=O)N1CCC(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)CC1,,6.5077596,7.1696973,6.7186127,7.1696973,-0.6619377,2.4498656643207823,0.6825125264441763,0.7039535928701758
