target,ligand,seed,exhaustiveness,num_modes,energy_range,ligand_pdbqt,receptor,conf,out,log,vina
3POZ,EH40_01,1981948124,8,9,3,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel120_v0/ligands_pdbqt/EH40_01.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/data/egfr_her2_panel40_v0/receptors/3POZ_receptor.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/confs/3POZ_EH40_01.txt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/out/3POZ_EH40_01_out.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/logs/3POZ_EH40_01.log,/home/gwj/miniconda3/bin/vina
3RCD,EH40_01,314086135,8,9,3,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel120_v0/ligands_pdbqt/EH40_01.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/data/egfr_her2_panel40_v0/receptors/3RCD_receptor.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/confs/3RCD_EH40_01.txt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/out/3RCD_EH40_01_out.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/logs/3RCD_EH40_01.log,/home/gwj/miniconda3/bin/vina
3POZ,EH40_02,-1828870451,8,9,3,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel120_v0/ligands_pdbqt/EH40_02.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/data/egfr_her2_panel40_v0/receptors/3POZ_receptor.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/confs/3POZ_EH40_02.txt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/out/3POZ_EH40_02_out.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/logs/3POZ_EH40_02.log,/home/gwj/miniconda3/bin/vina
3RCD,EH40_02,-209736144,8,9,3,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel120_v0/ligands_pdbqt/EH40_02.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/data/egfr_her2_panel40_v0/receptors/3RCD_receptor.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/confs/3RCD_EH40_02.txt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/out/3RCD_EH40_02_out.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/logs/3RCD_EH40_02.log,/home/gwj/miniconda3/bin/vina
3POZ,EH40_03,474979041,8,9,3,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel120_v0/ligands_pdbqt/EH40_03.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/data/egfr_her2_panel40_v0/receptors/3POZ_receptor.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/confs/3POZ_EH40_03.txt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/out/3POZ_EH40_03_out.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/logs/3POZ_EH40_03.log,/home/gwj/miniconda3/bin/vina
3RCD,EH40_03,1499290853,8,9,3,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel120_v0/ligands_pdbqt/EH40_03.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/data/egfr_her2_panel40_v0/receptors/3RCD_receptor.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/confs/3RCD_EH40_03.txt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/out/3RCD_EH40_03_out.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/logs/3RCD_EH40_03.log,/home/gwj/miniconda3/bin/vina
3POZ,EH40_04,876543754,8,9,3,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel120_v0/ligands_pdbqt/EH40_04.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/data/egfr_her2_panel40_v0/receptors/3POZ_receptor.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/confs/3POZ_EH40_04.txt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/out/3POZ_EH40_04_out.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/logs/3POZ_EH40_04.log,/home/gwj/miniconda3/bin/vina
3RCD,EH40_04,-1119830633,8,9,3,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel120_v0/ligands_pdbqt/EH40_04.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/data/egfr_her2_panel40_v0/receptors/3RCD_receptor.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/confs/3RCD_EH40_04.txt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/out/3RCD_EH40_04_out.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/logs/3RCD_EH40_04.log,/home/gwj/miniconda3/bin/vina
3POZ,EH40_05,1917364841,8,9,3,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel120_v0/ligands_pdbqt/EH40_05.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/data/egfr_her2_panel40_v0/receptors/3POZ_receptor.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/confs/3POZ_EH40_05.txt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/out/3POZ_EH40_05_out.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/logs/3POZ_EH40_05.log,/home/gwj/miniconda3/bin/vina
3RCD,EH40_05,-188742204,8,9,3,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel120_v0/ligands_pdbqt/EH40_05.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/data/egfr_her2_panel40_v0/receptors/3RCD_receptor.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/confs/3RCD_EH40_05.txt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/out/3RCD_EH40_05_out.pdbqt,/tmp/pr38_audit/Dual_Target_Docking/remediation_outputs/phase1_vina/logs/3RCD_EH40_05.log,/home/gwj/miniconda3/bin/vina
