pair,source,rule,source_complete,uniprot_A,uniprot_B,n_ligands_A,n_ligands_B,n_both_measured,theta_dual,theta_A_only,theta_B_only,strict_dual,strict_A_only,strict_B_only,strict_neither,gray,gray_frac,min_strict_hardneg,supports_strict_panel,supports_thin_panel
PIK3CA/MTOR,ChEMBL_cache,pChEMBL,True,P42336,P42345,7732,5209,2713,2002,266,236,1552,80,81,90,910,0.335,80,True,True
PIK3CA/MTOR,BindingDB,as_is,True,P42336,P42345,12695,5957,3673,2169,620,343,1610,389,151,389,1134,0.309,151,True,True
PIK3CA/MTOR,BindingDB,equal_only,True,P42336,P42345,10541,4829,2739,2027,251,279,1579,76,96,79,909,0.332,76,True,True
PIK3CA/MTOR,PubChem,as_is,True,P42336,P42345,13380,6260,3929,2249,686,359,1637,405,153,443,1291,0.329,153,True,True
PIK3CA/MTOR,PubChem,equal_only,True,P42336,P42345,10851,5103,2955,2100,307,288,1602,86,93,116,1058,0.358,86,True,True
ACHE/BCHE,ChEMBL_cache,pChEMBL,True,P22303,P06276,6197,3798,2537,986,483,225,687,189,78,518,1065,0.42,78,True,True
ACHE/BCHE,BindingDB,as_is,True,P22303,P06276,7489,4850,3610,1014,551,330,710,228,141,1275,1256,0.348,141,True,True
ACHE/BCHE,BindingDB,equal_only,True,P22303,P06276,6491,4037,2711,988,467,253,698,181,92,653,1087,0.401,92,True,True
ACHE/BCHE,PubChem,as_is,True,P22303,P06276,8015,5110,3885,1084,631,357,756,275,153,1348,1353,0.348,153,True,True
ACHE/BCHE,PubChem,equal_only,True,P22303,P06276,6984,4238,2916,1051,533,262,742,214,97,701,1162,0.398,97,True,True
PIK3CA/PIK3CB,ChEMBL_cache,pChEMBL,True,P42336,P42338,7732,2786,1990,988,299,213,602,56,67,189,1076,0.541,56,True,True
PIK3CA/PIK3CB,BindingDB,as_is,True,P42336,P42338,12695,5196,3858,1831,553,384,924,208,129,647,1950,0.505,129,True,True
PIK3CA/PIK3CB,BindingDB,equal_only,True,P42336,P42338,10541,3404,2545,1371,286,283,855,58,75,213,1344,0.528,58,True,True
PIK3CA/PIK3CB,PubChem,as_is,True,P42336,P42338,13380,5620,4525,2024,614,442,976,212,144,965,2228,0.492,144,True,True
PIK3CA/PIK3CB,PubChem,equal_only,True,P42336,P42338,10851,3725,2860,1510,335,290,908,61,74,297,1520,0.531,61,True,True
EGFR/HER2,ChEMBL_cache,pChEMBL,True,P00533,P04626,11198,2619,1751,1182,207,46,951,39,7,207,547,0.312,7,False,False
EGFR/HER2,BindingDB,as_is,True,P00533,P04626,16442,5100,3032,1957,249,166,1519,85,92,503,833,0.275,85,True,True
EGFR/HER2,BindingDB,equal_only,True,P00533,P04626,13328,4269,2269,1621,186,92,1336,34,31,241,627,0.276,31,False,True
EGFR/HER2,PubChem,as_is,True,P00533,P04626,17409,5208,3213,2110,260,168,1545,88,92,512,976,0.304,88,True,True
EGFR/HER2,PubChem,equal_only,True,P00533,P04626,13751,4081,2068,1402,204,90,1121,43,30,239,635,0.307,30,False,True
