molecule_chembl_id,class,pchembl_EGFR,pchembl_HER2,min_pchembl,theta
CHEMBL2325101,A_only,7.30,5.99,5.99,6.0
CHEMBL432428,A_only,6.19,5.99,5.99,6.0
CHEMBL327023,A_only,6.26,5.98,5.98,6.0
CHEMBL179074,A_only,6.29,5.98,5.98,6.0
CHEMBL305660,A_only,6.25,5.98,5.98,6.0
CHEMBL2324873,A_only,6.28,5.98,5.98,6.0
CHEMBL4114766,A_only,6.43,5.97,5.97,6.0
CHEMBL1958215,A_only,6.62,5.97,5.97,6.0
CHEMBL3114689,A_only,7.80,5.96,5.96,6.0
CHEMBL178096,A_only,6.68,5.96,5.96,6.0
CHEMBL4104950,A_only,7.66,5.96,5.96,6.0
CHEMBL3908711,A_only,6.34,5.96,5.96,6.0
CHEMBL2325100,A_only,7.22,5.95,5.95,6.0
CHEMBL367792,A_only,6.00,5.95,5.95,6.0
CHEMBL440935,A_only,6.12,5.95,5.95,6.0
CHEMBL210660,A_only,7.33,5.94,5.94,6.0
CHEMBL1476898,A_only,6.61,5.93,5.93,6.0
CHEMBL91925,A_only,7.14,5.93,5.93,6.0
CHEMBL175621,A_only,6.62,5.93,5.93,6.0
CHEMBL4077956,A_only,8.04,5.92,5.92,6.0
CHEMBL2324871,A_only,6.46,5.92,5.92,6.0
CHEMBL438805,A_only,6.02,5.92,5.92,6.0
CHEMBL117326,A_only,6.25,5.92,5.92,6.0
CHEMBL4288374,A_only,7.04,5.92,5.92,6.0
CHEMBL5944645,A_only,8.77,5.92,5.92,6.0
CHEMBL3828092,A_only,7.50,5.92,5.92,6.0
CHEMBL1908391,A_only,6.10,5.92,5.92,6.0
CHEMBL5771584,A_only,8.68,5.92,5.92,6.0
CHEMBL1928958,A_only,6.28,5.91,5.91,6.0
CHEMBL157128,A_only,6.82,5.91,5.91,6.0
CHEMBL591288,A_only,6.25,5.91,5.91,6.0
CHEMBL1990496,A_only,6.20,5.90,5.90,6.0
CHEMBL1994938,A_only,6.70,5.90,5.90,6.0
CHEMBL1970317,A_only,6.50,5.90,5.90,6.0
CHEMBL2000832,A_only,6.30,5.90,5.90,6.0
CHEMBL483158,A_only,6.70,5.90,5.90,6.0
CHEMBL1978099,A_only,6.20,5.90,5.90,6.0
CHEMBL1090353,A_only,6.18,5.89,5.89,6.0
CHEMBL3906330,A_only,6.52,5.89,5.89,6.0
CHEMBL3133821,A_only,6.57,5.89,5.89,6.0
CHEMBL4080720,A_only,9.30,5.89,5.89,6.0
CHEMBL2325098,A_only,6.15,5.89,5.89,6.0
CHEMBL1928957,A_only,6.09,5.89,5.89,6.0
CHEMBL5270336,A_only,6.19,5.88,5.88,6.0
CHEMBL362618,A_only,6.44,5.88,5.88,6.0
CHEMBL319244,A_only,6.00,5.88,5.88,6.0
CHEMBL1458880,A_only,6.31,5.88,5.88,6.0
CHEMBL3827349,A_only,7.55,5.87,5.87,6.0
CHEMBL4095253,A_only,6.19,5.87,5.87,6.0
CHEMBL210444,A_only,7.66,5.87,5.87,6.0
CHEMBL3633933,A_only,6.64,5.86,5.86,6.0
CHEMBL589560,A_only,6.17,5.85,5.85,6.0
CHEMBL1090352,A_only,6.06,5.85,5.85,6.0
CHEMBL196548,A_only,6.02,5.85,5.85,6.0
CHEMBL92731,A_only,7.05,5.84,5.84,6.0
CHEMBL2325099,A_only,6.92,5.84,5.84,6.0
CHEMBL2325097,A_only,6.96,5.84,5.84,6.0
CHEMBL175726,A_only,6.05,5.83,5.83,6.0
CHEMBL4278886,A_only,7.67,5.82,5.82,6.0
CHEMBL461113,A_only,6.82,5.82,5.82,6.0
CHEMBL5892301,A_only,8.26,5.82,5.82,6.0
CHEMBL1079742,A_only,8.70,5.82,5.82,6.0
CHEMBL6028345,A_only,8.39,5.82,5.82,6.0
CHEMBL1828862,A_only,6.41,5.82,5.82,6.0
CHEMBL94068,A_only,6.97,5.81,5.81,6.0
CHEMBL3647967,A_only,7.69,5.81,5.81,6.0
CHEMBL3357643,A_only,9.28,5.81,5.81,6.0
CHEMBL3940060,A_only,6.48,5.80,5.80,6.0
CHEMBL3357639,A_only,9.59,5.80,5.80,6.0
CHEMBL1988163,A_only,6.40,5.80,5.80,6.0
CHEMBL243088,A_only,6.70,5.80,5.80,6.0
CHEMBL462162,A_only,6.14,5.80,5.80,6.0
CHEMBL94109,A_only,7.17,5.80,5.80,6.0
CHEMBL281300,A_only,8.01,5.79,5.79,6.0
