name,rep_id,urat1_com_to_lesinurad,urat1_key_contacts,urat1_clashes,urat1_hbonds,urat1_acid_arg477,urat1_phe_cage,urat1_in_pocket,urat1_pose_score,nlrp3_com_to_rm5,nlrp3_key_contacts,nlrp3_clashes,nlrp3_hbonds,nlrp3_d_arg578,nlrp3_d_ala228,nlrp3_d_arg351,nlrp3_in_pocket,nlrp3_pose_score,dual_pose_score,both_in_pocket
DEUCRICTIBANT,REP_06841,0.6393554640378102,9,0,8,,5,True,28.53277344315463,0.34473789898989177,7,0,7,2.9878569242853663,3.1959036280839115,3.4441189003865587,True,33.86086368359922,31.196818563376922,True
GSK-3008348,REP_07907,0.9072634169816642,8,0,6,3.1889236428613295,5,True,33.02236025676067,3.121300531219653,5,0,5,3.104750392543662,2.9959876501748006,3.069040729609175,True,27.963710511700047,30.49303538423036,True
ZELENIRSTAT,REP_05621,1.0543313662377447,8,0,5,,5,True,28.034802360514707,2.3963121008725525,7,0,5,2.523845874850527,2.804840637184231,3.5330079252670714,True,32.257961866681,30.146382113597852,True
MLN-0415,REP_08167,1.1979345191906168,9,0,2,,5,True,26.26247857697126,1.418311986270353,6,0,7,3.00300749249814,3.0725100488037396,5.227911437658447,True,29.393995139015622,27.828236857993442,True
VECABRUTINIB,REP_06421,1.305489651262112,8,0,3,,5,True,26.933412418485467,2.1383160020256797,6,0,4,3.411620436097781,3.3018155611723614,5.69317468553355,True,27.345086027545936,27.139249223015703,True
PRALICIGUAT,REP_06295,0.8988716864227023,8,0,2,,5,True,26.62135397629276,1.6009305152189706,5,0,4,3.1324040288570782,3.0504001376868506,5.322753610679345,True,27.446844798742546,27.034099387517653,True
BI 653048,REP_07792,1.6229738278712964,8,0,4,,5,True,27.35243140655444,2.6467966704803265,5,0,5,3.5249218431051794,2.928046106194364,6.220398299144517,True,25.16589167750303,26.259161542028735,True
