table,row,column,displayed_value,raw_value,source_file,source_row,calculation,rounding_rule,status
TableS2a,9V8H,center_size_present,parsed,"{""center_x"": -5.454, ""size_x"": 20.0}",data/jcim_chembl_universe_v0/local_track_b_v0/boxes/9V8H_box.json,9V8H,box JSON,3dp,SOURCE_EXISTS
TableS2a,6LXA,center_size_present,parsed,"{""center_x"": 11.998, ""size_x"": 20.0}",data/jcim_chembl_universe_v0/local_track_b_v0/boxes/6LXA_box.json,6LXA,box JSON,3dp,SOURCE_EXISTS
TableS2a,5U3Q,center_size_present,parsed,"{""center_x"": 40.599, ""size_x"": 20.223}",data/jcim_chembl_universe_v0/local_track_b_v0/boxes/5U3Q_box.json,5U3Q,box JSON,3dp,SOURCE_EXISTS
TableS2b,4EY7,top1,0.339,0.339,results/canonical/cognate_rmsd.csv,4EY7,calcrrms_top1_A,3dp,ROUNDING_MATCH
TableS2b,4EY7,best,0.339,0.339,results/canonical/cognate_rmsd.csv,4EY7,calcrrms_best_A,3dp,ROUNDING_MATCH
TableS2b,4BDS,top1,4.794,4.794,results/canonical/cognate_rmsd.csv,4BDS,calcrrms_top1_A,3dp,ROUNDING_MATCH
TableS2b,4BDS,best,0.386,0.386,results/canonical/cognate_rmsd.csv,4BDS,calcrrms_best_A,3dp,ROUNDING_MATCH
TableS2b,3POZ,top1,1.019,1.019,results/canonical/cognate_rmsd.csv,3POZ,calcrrms_top1_A,3dp,ROUNDING_MATCH
TableS2b,3POZ,best,1.019,1.019,results/canonical/cognate_rmsd.csv,3POZ,calcrrms_best_A,3dp,ROUNDING_MATCH
TableS2b,3RCD,top1,1.947,1.947,results/canonical/cognate_rmsd.csv,3RCD,calcrrms_top1_A,3dp,ROUNDING_MATCH
TableS2b,3RCD,best,1.947,1.947,results/canonical/cognate_rmsd.csv,3RCD,calcrrms_best_A,3dp,ROUNDING_MATCH
TableS2b,4L23,top1,0.624,0.624,results/canonical/cognate_rmsd.csv,4L23,calcrrms_top1_A,3dp,ROUNDING_MATCH
TableS2b,4L23,best,0.624,0.624,results/canonical/cognate_rmsd.csv,4L23,calcrrms_best_A,3dp,ROUNDING_MATCH
TableS2b,4JT6,top1,7.118,7.118,results/canonical/cognate_rmsd.csv,4JT6,calcrrms_top1_A,3dp,ROUNDING_MATCH
