table,row,column,displayed_value,raw_value,source_file,source_row,calculation,rounding_rule,status
Table2,JAK1/JAK2,summary_min,0.588,0.5884,primary_directional_auroc.csv / primary_summary_min.csv,JAK1/JAK2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,JAK1/JAK2,smin_lo,0.448,0.4482,primary_directional_auroc.csv / primary_summary_min.csv,JAK1/JAK2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,JAK1/JAK2,smin_hi,0.716,0.7158,primary_directional_auroc.csv / primary_summary_min.csv,JAK1/JAK2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,JAK1/TYK2,n_scored,31 / 32 / 32,31 / 32 / 32,primary_summary_min.csv,JAK1/TYK2,n_dual/A/B,typeset,MATCH
Table2,JAK1/TYK2,D_vs_A,0.575,0.5751,primary_directional_auroc.csv / primary_summary_min.csv,JAK1/TYK2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,JAK1/TYK2,D_vs_A_lo,0.434,0.4335,primary_directional_auroc.csv / primary_summary_min.csv,JAK1/TYK2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,JAK1/TYK2,D_vs_A_hi,0.717,0.7167,primary_directional_auroc.csv / primary_summary_min.csv,JAK1/TYK2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,JAK1/TYK2,D_vs_B,0.365,0.3649,primary_directional_auroc.csv / primary_summary_min.csv,JAK1/TYK2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,JAK1/TYK2,D_vs_B_lo,0.233,0.2329,primary_directional_auroc.csv / primary_summary_min.csv,JAK1/TYK2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,JAK1/TYK2,D_vs_B_hi,0.508,0.5081,primary_directional_auroc.csv / primary_summary_min.csv,JAK1/TYK2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,JAK1/TYK2,summary_min,0.365,0.3649,primary_directional_auroc.csv / primary_summary_min.csv,JAK1/TYK2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,JAK1/TYK2,smin_lo,0.233,0.2329,primary_directional_auroc.csv / primary_summary_min.csv,JAK1/TYK2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,JAK1/TYK2,smin_hi,0.505,0.5051,primary_directional_auroc.csv / primary_summary_min.csv,JAK1/TYK2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PIK3CA/mTOR,n_scored,18 / 14 / 12,18 / 14 / 12,primary_summary_min.csv,PIK3CA/mTOR,n_dual/A/B,typeset,MATCH
Table2,PIK3CA/mTOR,D_vs_A,0.714,0.7143,primary_directional_auroc.csv / primary_summary_min.csv,PIK3CA/mTOR,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PIK3CA/mTOR,D_vs_A_lo,0.528,0.5278,primary_directional_auroc.csv / primary_summary_min.csv,PIK3CA/mTOR,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PIK3CA/mTOR,D_vs_A_hi,0.889,0.8889,primary_directional_auroc.csv / primary_summary_min.csv,PIK3CA/mTOR,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PIK3CA/mTOR,D_vs_B,0.692,0.6921,primary_directional_auroc.csv / primary_summary_min.csv,PIK3CA/mTOR,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PIK3CA/mTOR,D_vs_B_lo,0.491,0.4906,primary_directional_auroc.csv / primary_summary_min.csv,PIK3CA/mTOR,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PIK3CA/mTOR,D_vs_B_hi,0.868,0.8681,primary_directional_auroc.csv / primary_summary_min.csv,PIK3CA/mTOR,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PIK3CA/mTOR,summary_min,0.692,0.6921,primary_directional_auroc.csv / primary_summary_min.csv,PIK3CA/mTOR,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PIK3CA/mTOR,smin_lo,0.480,0.4801,primary_directional_auroc.csv / primary_summary_min.csv,PIK3CA/mTOR,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PIK3CA/mTOR,smin_hi,0.802,0.8016,primary_directional_auroc.csv / primary_summary_min.csv,PIK3CA/mTOR,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,AChE/BChE,n_scored,27 / 26 / 28,27 / 26 / 28,primary_summary_min.csv,AChE/BChE,n_dual/A/B,typeset,MATCH
Table2,AChE/BChE,D_vs_A,0.652,0.6524,primary_directional_auroc.csv / primary_summary_min.csv,AChE/BChE,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,AChE/BChE,D_vs_A_lo,0.492,0.4915,primary_directional_auroc.csv / primary_summary_min.csv,AChE/BChE,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,AChE/BChE,D_vs_A_hi,0.806,0.8063,primary_directional_auroc.csv / primary_summary_min.csv,AChE/BChE,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,AChE/BChE,D_vs_B,0.606,0.6058,primary_directional_auroc.csv / primary_summary_min.csv,AChE/BChE,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,AChE/BChE,D_vs_B_lo,0.443,0.4431,primary_directional_auroc.csv / primary_summary_min.csv,AChE/BChE,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,AChE/BChE,D_vs_B_hi,0.749,0.7487,primary_directional_auroc.csv / primary_summary_min.csv,AChE/BChE,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,AChE/BChE,summary_min,0.606,0.6058,primary_directional_auroc.csv / primary_summary_min.csv,AChE/BChE,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,AChE/BChE,smin_lo,0.439,0.4392,primary_directional_auroc.csv / primary_summary_min.csv,AChE/BChE,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,AChE/BChE,smin_hi,0.735,0.7354,primary_directional_auroc.csv / primary_summary_min.csv,AChE/BChE,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,F2/F10,n_scored,31 / 32 / 32,31 / 32 / 32,primary_summary_min.csv,F2/F10,n_dual/A/B,typeset,MATCH
Table2,F2/F10,D_vs_A,0.413,0.4133,primary_directional_auroc.csv / primary_summary_min.csv,F2/F10,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,F2/F10,D_vs_A_lo,0.271,0.2712,primary_directional_auroc.csv / primary_summary_min.csv,F2/F10,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,F2/F10,D_vs_A_hi,0.571,0.5706,primary_directional_auroc.csv / primary_summary_min.csv,F2/F10,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,F2/F10,D_vs_B,0.345,0.3448,primary_directional_auroc.csv / primary_summary_min.csv,F2/F10,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,F2/F10,D_vs_B_lo,0.218,0.2177,primary_directional_auroc.csv / primary_summary_min.csv,F2/F10,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,F2/F10,D_vs_B_hi,0.491,0.4909,primary_directional_auroc.csv / primary_summary_min.csv,F2/F10,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,F2/F10,summary_min,0.345,0.3448,primary_directional_auroc.csv / primary_summary_min.csv,F2/F10,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,F2/F10,smin_lo,0.216,0.2157,primary_directional_auroc.csv / primary_summary_min.csv,F2/F10,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,F2/F10,smin_hi,0.482,0.4819,primary_directional_auroc.csv / primary_summary_min.csv,F2/F10,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARG/PPARA,n_scored,32 / 31 / 32,32 / 31 / 32,primary_summary_min.csv,PPARG/PPARA,n_dual/A/B,typeset,MATCH
Table2,PPARG/PPARA,D_vs_A,0.649,0.6492,primary_directional_auroc.csv / primary_summary_min.csv,PPARG/PPARA,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARG/PPARA,D_vs_A_lo,0.512,0.5121,primary_directional_auroc.csv / primary_summary_min.csv,PPARG/PPARA,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARG/PPARA,D_vs_A_hi,0.781,0.7812,primary_directional_auroc.csv / primary_summary_min.csv,PPARG/PPARA,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARG/PPARA,D_vs_B,0.706,0.7061,primary_directional_auroc.csv / primary_summary_min.csv,PPARG/PPARA,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARG/PPARA,D_vs_B_lo,0.573,0.5732,primary_directional_auroc.csv / primary_summary_min.csv,PPARG/PPARA,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARG/PPARA,D_vs_B_hi,0.830,0.8301,primary_directional_auroc.csv / primary_summary_min.csv,PPARG/PPARA,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARG/PPARA,summary_min,0.649,0.6492,primary_directional_auroc.csv / primary_summary_min.csv,PPARG/PPARA,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARG/PPARA,smin_lo,0.511,0.5111,primary_directional_auroc.csv / primary_summary_min.csv,PPARG/PPARA,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARG/PPARA,smin_hi,0.746,0.7460,primary_directional_auroc.csv / primary_summary_min.csv,PPARG/PPARA,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARA/PPARD,n_scored,32 / 32 / 32,32 / 32 / 32,primary_summary_min.csv,PPARA/PPARD,n_dual/A/B,typeset,MATCH
Table2,PPARA/PPARD,D_vs_A,0.647,0.6465,primary_directional_auroc.csv / primary_summary_min.csv,PPARA/PPARD,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARA/PPARD,D_vs_A_lo,0.509,0.5088,primary_directional_auroc.csv / primary_summary_min.csv,PPARA/PPARD,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
