citing_file,referenced_path,exists,path_kind,verdict,role
docs/PR39_FINAL_SCIENTIFIC_FREEZE_CHECK.md,results/freeze_rebuild,0,missing,ok_absent,must_be_absent
docs/PR39_FINAL_SCIENTIFIC_FREEZE_CHECK.md,figures/jcim_article/plotted_values.json,0,missing,ok_absent,must_be_absent
docs/PR39_FINAL_SCIENTIFIC_FREEZE_CHECK.md,data/jcim_multiseed_v0/tables/scores_vina_mode1_EGFR_corrected_box_fiveseed.csv,1,file,ok,check
docs/PR39_FINAL_SCIENTIFIC_FREEZE_CHECK.md,scripts/analysis/rebuild_freeze.py,1,file,ok,check
docs/PR39_FINAL_SCIENTIFIC_FREEZE_CHECK.md,figures/jcim_article/scripts/update_figures_pr32.py,1,file,ok,check
docs/PR39_SCIENTIFIC_DATA_AUDIT.md,results/canonical/primary_directional_auroc.csv,1,file,ok,current
docs/PR39_SCIENTIFIC_DATA_AUDIT.md,results/canonical/top10_operating_points.csv,1,file,ok,current
docs/PR39_SCIENTIFIC_DATA_AUDIT.md,results/canonical/fixed_score_negative_class_delta.csv,1,file,ok,current
docs/PR39_SCIENTIFIC_DATA_AUDIT.md,results/canonical/ecfp4_incremental_information.csv,1,file,ok,current
docs/PR39_SCIENTIFIC_DATA_AUDIT.md,results/canonical/holdout_metrics.csv,1,file,ok,current
docs/PR39_SCIENTIFIC_DATA_AUDIT.md,results/canonical/receptor_substitution.csv,1,file,ok,current
docs/PR39_SCIENTIFIC_DATA_AUDIT.md,results/canonical/cognate_rmsd.csv,1,file,ok,current
docs/PR39_SCIENTIFIC_DATA_AUDIT.md,results/canonical/five_seed_summary_min.csv,1,file,ok,current
docs/PR39_SCIENTIFIC_DATA_AUDIT.md,docs/HISTORICAL_LEFTOVER_FILES.md,0,missing,ok_absent,must_be_absent
docs/PR39_SCIENTIFIC_DATA_AUDIT.md,results/freeze_rebuild,0,missing,ok_absent,must_be_absent
docs/PR39_SCIENTIFIC_DATA_AUDIT.md,figures/jcim_article/plotted_values.json,0,missing,ok_absent,must_be_absent
docs/PR39_SCIENTIFIC_DATA_AUDIT.md,data/jcim_chembl_universe_v0/tables/pair_eligibility_audit_s14_v1.csv,1,file,ok,check
docs/PR39_SCIENTIFIC_DATA_AUDIT.md,scripts/analysis/rebuild_freeze.py,1,file,ok,check
docs/PR39_SCIENTIFIC_DATA_AUDIT.md,figures/jcim_article/scripts/update_figures_pr32.py,1,file,ok,check
data/jcim_chembl_universe_v0/local_track_b_v0/README.md,results/canonical/primary_summary_min.csv,1,file,ok,current
data/jcim_chembl_universe_v0/local_track_b_v0/README.md,results/canonical/primary_directional_auroc.csv,1,file,ok,current
data/jcim_chembl_universe_v0/local_track_b_v0/README.md,results/canonical/computational_robustness.csv,1,file,ok,current
data/jcim_chembl_universe_v0/local_track_b_v0/README.md,results/canonical/five_seed_summary_min.csv,1,file,ok,current
data/jcim_chembl_universe_v0/local_track_b_v0/README.md,results/canonical/current_score_master.csv,1,file,ok,current
data/jcim_chembl_universe_v0/local_track_b_v0/README.md,data/jcim_chembl_universe_v0/tables/track_b_local_run_v1.yaml,1,file,ok,check
