file,column,classification,detail
computational_robustness.csv,schema_or_nrow,EXPECTED_CI_CHANGE,old_n=8 new_n=8
descriptor_baselines.csv,schema_or_nrow,EXPECTED_DESCRIPTOR_CHANGE,old_n=8 new_n=8
descriptor_nested_oof_predictions.csv,*,EXPECTED_DESCRIPTOR_CHANGE,new canonical file
descriptor_nested_scaffold_cv.csv,schema_or_nrow,EXPECTED_DESCRIPTOR_CHANGE,old_n=40 new_n=80
