source_file,cited_path,exists,historical_marker_nearby,status
README.md,results/canonical/current_score_master.csv,1,0,ok
README.md,data/processed/current_score_master.csv,1,0,ok
README.md,results/canonical/,1,0,ok
README.md,results/canonical/detectable_effect_simulation.csv,1,0,ok
README.md,docs/MANUSCRIPT_JCIM_EN.md,1,0,ok
README.md,docs/MANUSCRIPT_JCIM_ZH.md,1,0,ok
README.md,docs/SUPPORTING_INFORMATION_JCIM_EN_V1.md,1,0,ok
README.md,docs/SUPPORTING_INFORMATION_DRAFT_ZH_JCIM_V1.md,1,0,ok
README.md,figures/jcim_article/,1,0,ok
README.md,scripts/analysis/bootstrap_metrics.py,1,0,ok
README.md,requirements-analysis.txt,1,0,ok
data/jcim_chembl_universe_v0/README.md,scripts/analysis/analysis_config.py,1,0,ok
data/jcim_chembl_universe_v0/README.md,data/jcim_chembl_universe_v0/tables/pair_eligibility_audit_s14_v1.csv,1,0,ok
data/jcim_chembl_universe_v0/README.md,docs/TRACK_B_FINAL_EXECUTION_STATUS.md,1,1,ok
data/jcim_chembl_universe_v0/README.md,data/jcim_chembl_universe_v0/scripts/prep_track_b_ligands_v1.py,1,0,ok
data/jcim_chembl_universe_v0/README.md,docs/LABEL_PROVENANCE.md,1,0,ok
data/jcim_chembl_universe_v0/local_track_b_v0/README.md,data/jcim_chembl_universe_v0/tables/track_b_local_run_v1.yaml,1,0,ok
data/jcim_chembl_universe_v0/local_track_b_v0/README.md,results/canonical/current_score_master.csv,1,0,ok
data/jcim_chembl_universe_v0/local_track_b_v0/README.md,results/canonical/primary_directional_auroc.csv,1,0,ok
data/jcim_chembl_universe_v0/local_track_b_v0/README.md,results/canonical/primary_summary_min.csv,1,0,ok
data/jcim_chembl_universe_v0/local_track_b_v0/README.md,results/canonical/five_seed_summary_min.csv,1,1,ok
data/jcim_chembl_universe_v0/local_track_b_v0/README.md,results/canonical/computational_robustness.csv,1,1,ok
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,1,1,ok
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,docs/FIGURE_PANEL_LOCK_V3.md,0,1,historical_or_unavailable
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,docs/FIGURE_TABLE_PLACEMENT_REPORT_ZH.md,0,1,historical_or_unavailable
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,figures/jcim_article/CAPTIONS.md,1,1,ok
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,figures/jcim_article/MANUSCRIPT_FIGURE_CAPTIONS.md,1,1,ok
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,figures/jcim_article/scripts/update_figures_pr32.py,1,0,ok
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,figures/jcim_article/plotted_values_postfix.json,1,1,ok
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,results/canonical/,1,1,ok
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,data/jcim_*,1,1,ok
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,results/canonical/fixed_score_negative_class_delta.csv,1,0,ok
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,results/canonical/primary_directional_auroc.csv,1,0,ok
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,results/canonical/primary_summary_min.csv,1,0,ok
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,results/canonical/two_pocket_mean_ranking.csv,1,0,ok
