manuscript,table,pair,metric,canonical,typeset,status
EN,Table 2,EGFR/HER2,n_scored,28 / 37 / 31,28 / 37 / 31,MATCH
EN,Table 2,EGFR/HER2,D_vs_A,"0.663 [0.521, 0.792]","0.663 [0.521, 0.792]",MATCH
EN,Table 2,EGFR/HER2,D_vs_B,"0.334 [0.197, 0.471]","0.334 [0.197, 0.471]",MATCH
EN,Table 2,EGFR/HER2,summary_min,"0.334 [0.197, 0.471]","0.334 [0.197, 0.471]",MATCH
EN,Table 3,EGFR/HER2,D_vs_neither,"0.759 [0.551, 0.926]","0.759 [0.551, 0.926]",MATCH
EN,Table 3,EGFR/HER2,n_neither,12,12,MATCH
EN,Table 3,EGFR/HER2,top10,1 / 4 / 6 / 0,1 / 4 / 6 / 0,MATCH
EN,Table 3,EGFR/HER2,EF,0.351,0.351,MATCH
EN,Table 2,JAK1/JAK2,n_scored,32 / 32 / 32,32 / 32 / 32,MATCH
EN,Table 2,JAK1/JAK2,D_vs_A,"0.588 [0.448, 0.723]","0.588 [0.448, 0.723]",MATCH
EN,Table 2,JAK1/JAK2,D_vs_B,"0.728 [0.602, 0.842]","0.728 [0.602, 0.842]",MATCH
EN,Table 2,JAK1/JAK2,summary_min,"0.588 [0.448, 0.716]","0.588 [0.448, 0.716]",MATCH
EN,Table 3,JAK1/JAK2,D_vs_neither,"0.730 [0.558, 0.882]","0.730 [0.558, 0.882]",MATCH
EN,Table 3,JAK1/JAK2,n_neither,14,14,MATCH
EN,Table 3,JAK1/JAK2,top10,6 / 5 / 0 / 0,6 / 5 / 0 / 0,MATCH
EN,Table 3,JAK1/JAK2,EF,1.875,1.875,MATCH
EN,Table 2,JAK1/TYK2,n_scored,31 / 32 / 32,31 / 32 / 32,MATCH
EN,Table 2,JAK1/TYK2,D_vs_A,"0.575 [0.434, 0.717]","0.575 [0.434, 0.717]",MATCH
EN,Table 2,JAK1/TYK2,D_vs_B,"0.365 [0.233, 0.508]","0.365 [0.233, 0.508]",MATCH
EN,Table 2,JAK1/TYK2,summary_min,"0.365 [0.233, 0.505]","0.365 [0.233, 0.505]",MATCH
EN,Table 3,JAK1/TYK2,D_vs_neither,"0.770 [0.613, 0.906]","0.770 [0.613, 0.906]",MATCH
EN,Table 3,JAK1/TYK2,n_neither,14,14,MATCH
EN,Table 3,JAK1/TYK2,top10,1 / 3 / 7 / 0,1 / 3 / 7 / 0,MATCH
EN,Table 3,JAK1/TYK2,EF,0.320,0.320,MATCH
EN,Table 2,PIK3CA/mTOR,n_scored,18 / 14 / 12,18 / 14 / 12,MATCH
EN,Table 2,PIK3CA/mTOR,D_vs_A,"0.714 [0.528, 0.889]","0.714 [0.528, 0.889]",MATCH
EN,Table 2,PIK3CA/mTOR,D_vs_B,"0.692 [0.491, 0.868]","0.692 [0.491, 0.868]",MATCH
EN,Table 2,PIK3CA/mTOR,summary_min,"0.692 [0.480, 0.802]","0.692 [0.480, 0.802]",MATCH
EN,Table 3,PIK3CA/mTOR,D_vs_neither,"0.514 [0.222, 0.806]","0.514 [0.222, 0.806]",MATCH
EN,Table 3,PIK3CA/mTOR,n_neither,4,4,MATCH
EN,Table 3,PIK3CA/mTOR,top10,4 / 1 / 0 / 0,4 / 1 / 0 / 0,MATCH
EN,Table 3,PIK3CA/mTOR,EF,2.133,2.133,MATCH
EN,Table 2,AChE/BChE,n_scored,27 / 26 / 28,27 / 26 / 28,MATCH
