pair,metric,kind,independent,canonical,abs_delta,status
JAK1/TYK2,ef_dual_10pct,point,0.3196480938,0.3196,0.0000480938,MATCH
JAK1/TYK2,top_k,point,11.0000000000,11,0.0000000000,MATCH
JAK1/TYK2,top_dual,point,1.0000000000,1,0.0000000000,MATCH
JAK1/TYK2,and_dual,point,16.0000000000,16,0.0000000000,MATCH
JAK1/TYK2,matched_minus_mismatched,point,-0.0645161290,-0.0645,0.0000161290,MATCH
JAK1/TYK2,mm_ci_lo,ci,-0.1562500000,-0.1562,0.0000500000,MATCH
JAK1/TYK2,mm_ci_hi,ci,0.0322832661,0.0323,0.0000167339,MATCH
JAK1/TYK2,fixed_delta_pocketA,point,0.4438364055,0.4438,0.0000364055,MATCH
JAK1/TYK2,fixed_delta_pocketA_ci_lo,ci,0.2604838710,0.2605,0.0000161290,MATCH
JAK1/TYK2,fixed_delta_pocketA_ci_hi,ci,0.6298999136,0.6299,0.0000000864,MATCH
JAK1/TYK2,fixed_delta_pocketB,point,0.1299683180,0.1300,0.0000316820,MATCH
JAK1/TYK2,n_dual,point,31.0000000000,31,0.0000000000,MATCH
JAK1/TYK2,n_A_only,point,32.0000000000,32,0.0000000000,MATCH
JAK1/TYK2,n_B_only,point,32.0000000000,32,0.0000000000,MATCH
PIK3CA/mTOR,AUROC_D_vs_A_pocketB,point,0.7142857143,0.7143,0.0000142857,MATCH
PIK3CA/mTOR,AUROC_D_vs_B_pocketA,point,0.6921296296,0.6921,0.0000296296,MATCH
PIK3CA/mTOR,AUROC_D_vs_A_ci_lo,ci,0.5277777778,0.5278,0.0000222222,MATCH
PIK3CA/mTOR,AUROC_D_vs_A_ci_hi,ci,0.8888888889,0.8889,0.0000111111,MATCH
PIK3CA/mTOR,AUROC_D_vs_B_ci_lo,ci,0.4906250000,0.4906,0.0000250000,MATCH
PIK3CA/mTOR,AUROC_D_vs_B_ci_hi,ci,0.8680555556,0.8681,0.0000444444,MATCH
PIK3CA/mTOR,summary_min,point,0.6921296296,0.6921,0.0000296296,MATCH
PIK3CA/mTOR,summary_min_ci_lo,ci,0.4801339286,0.4801,0.0000339286,MATCH
PIK3CA/mTOR,summary_min_ci_hi,ci,0.8015873016,0.8016,0.0000126984,MATCH
PIK3CA/mTOR,d_vs_neither_mean,point,0.5138888889,0.5139,0.0000111111,MATCH
PIK3CA/mTOR,ef_dual_10pct,point,2.1333333333,2.1333,0.0000333333,MATCH
PIK3CA/mTOR,top_k,point,5.0000000000,5,0.0000000000,MATCH
PIK3CA/mTOR,top_dual,point,4.0000000000,4,0.0000000000,MATCH
PIK3CA/mTOR,and_dual,point,9.0000000000,9,0.0000000000,MATCH
