pair,statistic,independent,canonical,abs_diff,status
EGFR/HER2,oof_D_vs_A,0.64189189,0.6419,0.00000811,PASS
EGFR/HER2,oof_D_vs_B,0.63248848,0.6325,0.00001152,PASS
EGFR/HER2,summary_min,0.63248848,0.6325,0.00001152,PASS
EGFR/HER2,summary_min_ci_lo,0.46657546,0.4666,0.00002454,PASS
EGFR/HER2,summary_min_ci_hi,0.69256757,0.6926,0.00003243,PASS
JAK1/JAK2,oof_D_vs_A,0.43798828,0.4380,0.00001172,PASS
JAK1/JAK2,oof_D_vs_B,0.71972656,0.7197,0.00002656,PASS
JAK1/JAK2,summary_min,0.43798828,0.4380,0.00001172,PASS
JAK1/JAK2,summary_min_ci_lo,0.29392090,0.2939,0.00002090,PASS
JAK1/JAK2,summary_min_ci_hi,0.59132080,0.5913,0.00002080,PASS
JAK1/TYK2,oof_D_vs_A,0.45866935,0.4587,0.00003065,PASS
JAK1/TYK2,oof_D_vs_B,0.48235887,0.4824,0.00004113,PASS
JAK1/TYK2,summary_min,0.45866935,0.4587,0.00003065,PASS
JAK1/TYK2,summary_min_ci_lo,0.30190272,0.3019,0.00000272,PASS
JAK1/TYK2,summary_min_ci_hi,0.53933972,0.5393,0.00003972,PASS
PIK3CA/mTOR,oof_D_vs_A,0.70833333,0.7083,0.00003333,PASS
PIK3CA/mTOR,oof_D_vs_B,0.38888889,0.3889,0.00001111,PASS
PIK3CA/mTOR,summary_min,0.38888889,0.3889,0.00001111,PASS
PIK3CA/mTOR,summary_min_ci_lo,0.19432870,0.1943,0.00002870,PASS
PIK3CA/mTOR,summary_min_ci_hi,0.59270833,0.5927,0.00000833,PASS
AChE/BChE,oof_D_vs_A,0.64957265,0.6496,0.00002735,PASS
AChE/BChE,oof_D_vs_B,0.77116402,0.7712,0.00003598,PASS
AChE/BChE,summary_min,0.64957265,0.6496,0.00002735,PASS
AChE/BChE,summary_min_ci_lo,0.49715100,0.4972,0.00004900,PASS
AChE/BChE,summary_min_ci_hi,0.79636752,0.7964,0.00003248,PASS
F2/F10,oof_D_vs_A,0.35383065,0.3538,0.00003065,PASS
F2/F10,oof_D_vs_B,0.58719758,0.5872,0.00000242,PASS
F2/F10,summary_min,0.35383065,0.3538,0.00003065,PASS
F2/F10,summary_min_ci_lo,0.22779738,0.2278,0.00000262,PASS
F2/F10,summary_min_ci_hi,0.49245212,0.4925,0.00004788,PASS
PPARG/PPARA,oof_D_vs_A,0.69304435,0.6930,0.00004435,PASS
PPARG/PPARA,oof_D_vs_B,0.35791016,0.3579,0.00001016,PASS
PPARG/PPARA,summary_min,0.35791016,0.3579,0.00001016,PASS
PPARG/PPARA,summary_min_ci_lo,0.22656250,0.2266,0.00003750,PASS
PPARG/PPARA,summary_min_ci_hi,0.49902344,0.4990,0.00002344,PASS
PPARA/PPARD,oof_D_vs_A,0.44384766,0.4438,0.00004766,PASS
PPARA/PPARD,oof_D_vs_B,0.51562500,0.5156,0.00002500,PASS
PPARA/PPARD,summary_min,0.44384766,0.4438,0.00004766,PASS
PPARA/PPARD,summary_min_ci_lo,0.30078125,0.3008,0.00001875,PASS
PPARA/PPARD,summary_min_ci_hi,0.54102783,0.5410,0.00002783,PASS
