pair,n_intersection,n_dual,n_A_only,n_B_only,n_neither,n_primary_activity_eligible_complete_case,n_dropped_vs_primary,seed,summary_min,auroc_D_vs_A_pocketB,auroc_D_vs_B_pocketA,current_per_seed_summary_min,current_per_seed_n,delta,qualitative_change,source_kind,note
EGFR/HER2,108,28,37,31,12,108,0,20260727,0.3341,0.6631,0.3341,0.3341,108,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
EGFR/HER2,108,28,37,31,12,108,0,20260811,0.3491,0.6699,0.3491,0.3491,108,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
EGFR/HER2,108,28,37,31,12,108,0,20260812,0.326,0.668,0.326,0.326,108,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
EGFR/HER2,108,28,37,31,12,108,0,20260813,0.3168,0.668,0.3168,0.3168,108,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
EGFR/HER2,108,28,37,31,12,108,0,20260814,0.3295,0.6631,0.3295,0.3295,108,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
JAK1/JAK2,110,32,32,32,14,110,0,20260727,0.5884,0.5884,0.7275,0.5884,110,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
JAK1/JAK2,110,32,32,32,14,110,0,20260811,0.5918,0.5918,0.75,0.5918,110,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
JAK1/JAK2,110,32,32,32,14,110,0,20260812,0.5742,0.5742,0.7407,0.5742,110,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
JAK1/JAK2,110,32,32,32,14,110,0,20260813,0.5742,0.5742,0.7549,0.5742,110,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
JAK1/JAK2,110,32,32,32,14,110,0,20260814,0.5879,0.5879,0.752,0.5879,110,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
JAK1/TYK2,109,31,32,32,14,109,0,20260727,0.3649,0.5751,0.3649,0.3649,109,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
JAK1/TYK2,109,31,32,32,14,109,0,20260811,0.3785,0.5907,0.3785,0.3785,109,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
JAK1/TYK2,109,31,32,32,14,109,0,20260812,0.381,0.5776,0.381,0.381,109,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
JAK1/TYK2,109,31,32,32,14,109,0,20260813,0.377,0.5832,0.377,0.377,109,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
JAK1/TYK2,109,31,32,32,14,109,0,20260814,0.377,0.5887,0.377,0.377,109,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PIK3CA/mTOR,48,18,14,12,4,48,0,20260727,0.6921,0.7143,0.6921,0.6921,48,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PIK3CA/mTOR,48,18,14,12,4,48,0,20260811,0.713,0.746,0.713,0.713,48,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PIK3CA/mTOR,48,18,14,12,4,48,0,20260812,0.7262,0.7262,0.7778,0.7262,48,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PIK3CA/mTOR,48,18,14,12,4,48,0,20260813,0.6759,0.7381,0.6759,0.6759,48,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PIK3CA/mTOR,48,18,14,12,4,48,0,20260814,0.7037,0.744,0.7037,0.7037,48,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
AChE/BChE,88,25,22,27,14,95,7,20260727,0.5964,0.5964,0.6163,0.6058,94,-0.0094,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
AChE/BChE,88,25,22,27,14,95,7,20260811,0.5827,0.5827,0.6252,0.5988,89,-0.0161,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
AChE/BChE,88,25,22,27,14,95,7,20260812,0.5645,0.5645,0.6104,0.5645,88,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
AChE/BChE,88,25,22,27,14,95,7,20260813,0.5909,0.5909,0.6104,0.6017,89,-0.0108,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
