figure,panel,pair,metric,displayed_value,raw_value,source_file,source_row,matched_source_value,status
Figure 2,C,JAK1/JAK2,n_neither,14,14.0,results/canonical/class_counts.csv,JAK1/JAK2,14,MATCH
Figure 2,A,JAK1/TYK2,fixed_delta_pocketA,0.444,0.4438,results/canonical/fixed_score_negative_class_delta.csv,JAK1/TYK2,0.4438,MATCH
Figure 2,A,JAK1/TYK2,fixed_delta_pocketB,0.130,0.13,results/canonical/fixed_score_negative_class_delta.csv,JAK1/TYK2,0.1300,MATCH
Figure 2,B,JAK1/TYK2,AUROC_D_vs_A_pocketB,0.575,0.5751,results/canonical/primary_directional_auroc.csv,JAK1/TYK2,0.5751,MATCH
Figure 2,B,JAK1/TYK2,AUROC_D_vs_B_pocketA,0.365,0.3649,results/canonical/primary_directional_auroc.csv,JAK1/TYK2,0.3649,MATCH
Figure 2,C,JAK1/TYK2,summary_min,0.365,0.3649,results/canonical/primary_summary_min.csv,JAK1/TYK2,0.3649,MATCH
Figure 2,C,JAK1/TYK2,D_vs_neither_vina_mean,0.770,0.7696,results/canonical/two_pocket_mean_ranking.csv,JAK1/TYK2,0.7696,MATCH
Figure 2,C,JAK1/TYK2,n_neither,14,14.0,results/canonical/class_counts.csv,JAK1/TYK2,14,MATCH
Figure 2,A,PIK3CA/mTOR,fixed_delta_pocketA,-0.220,-0.2199,results/canonical/fixed_score_negative_class_delta.csv,PIK3CA/mTOR,-0.2199,MATCH
Figure 2,A,PIK3CA/mTOR,fixed_delta_pocketB,-0.131,-0.131,results/canonical/fixed_score_negative_class_delta.csv,PIK3CA/mTOR,-0.1310,MATCH
Figure 2,B,PIK3CA/mTOR,AUROC_D_vs_A_pocketB,0.714,0.7143,results/canonical/primary_directional_auroc.csv,PIK3CA/mTOR,0.7143,MATCH
Figure 2,B,PIK3CA/mTOR,AUROC_D_vs_B_pocketA,0.692,0.6921,results/canonical/primary_directional_auroc.csv,PIK3CA/mTOR,0.6921,MATCH
Figure 2,C,PIK3CA/mTOR,summary_min,0.692,0.6921,results/canonical/primary_summary_min.csv,PIK3CA/mTOR,0.6921,MATCH
Figure 2,C,PIK3CA/mTOR,D_vs_neither_vina_mean,0.514,0.5139,results/canonical/two_pocket_mean_ranking.csv,PIK3CA/mTOR,0.5139,MATCH
Figure 2,C,PIK3CA/mTOR,n_neither,4,4.0,results/canonical/class_counts.csv,PIK3CA/mTOR,4,MATCH
Figure 2,A,AChE/BChE,fixed_delta_pocketA,0.000,0.0,results/canonical/fixed_score_negative_class_delta.csv,AChE/BChE,0.0000,MATCH
Figure 2,A,AChE/BChE,fixed_delta_pocketB,0.065,0.0645,results/canonical/fixed_score_negative_class_delta.csv,AChE/BChE,0.0645,MATCH
Figure 2,B,AChE/BChE,AUROC_D_vs_A_pocketB,0.652,0.6524,results/canonical/primary_directional_auroc.csv,AChE/BChE,0.6524,MATCH
Figure 2,B,AChE/BChE,AUROC_D_vs_B_pocketA,0.606,0.6058,results/canonical/primary_directional_auroc.csv,AChE/BChE,0.6058,MATCH
Figure 2,C,AChE/BChE,summary_min,0.606,0.6058,results/canonical/primary_summary_min.csv,AChE/BChE,0.6058,MATCH
Figure 2,C,AChE/BChE,D_vs_neither_vina_mean,0.659,0.6587,results/canonical/two_pocket_mean_ranking.csv,AChE/BChE,0.6587,MATCH
Figure 2,C,AChE/BChE,n_neither,14,14.0,results/canonical/class_counts.csv,AChE/BChE,14,MATCH
Figure 2,A,F2/F10,fixed_delta_pocketA,0.163,0.1633,results/canonical/fixed_score_negative_class_delta.csv,F2/F10,0.1633,MATCH
Figure 2,A,F2/F10,fixed_delta_pocketB,0.115,0.1149,results/canonical/fixed_score_negative_class_delta.csv,F2/F10,0.1149,MATCH
Figure 2,B,F2/F10,AUROC_D_vs_A_pocketB,0.413,0.4133,results/canonical/primary_directional_auroc.csv,F2/F10,0.4133,MATCH
Figure 2,B,F2/F10,AUROC_D_vs_B_pocketA,0.345,0.3448,results/canonical/primary_directional_auroc.csv,F2/F10,0.3448,MATCH
Figure 2,C,F2/F10,summary_min,0.345,0.3448,results/canonical/primary_summary_min.csv,F2/F10,0.3448,MATCH
Figure 2,C,F2/F10,D_vs_neither_vina_mean,0.519,0.5188,results/canonical/two_pocket_mean_ranking.csv,F2/F10,0.5188,MATCH
Figure 2,C,F2/F10,n_neither,12,12.0,results/canonical/class_counts.csv,F2/F10,12,MATCH
Figure 2,A,PPARG/PPARA,fixed_delta_pocketA,0.053,0.0529,results/canonical/fixed_score_negative_class_delta.csv,PPARG/PPARA,0.0529,MATCH
Figure 2,A,PPARG/PPARA,fixed_delta_pocketB,-0.005,-0.0052,results/canonical/fixed_score_negative_class_delta.csv,PPARG/PPARA,-0.0052,MATCH
Figure 2,B,PPARG/PPARA,AUROC_D_vs_A_pocketB,0.649,0.6492,results/canonical/primary_directional_auroc.csv,PPARG/PPARA,0.6492,MATCH
Figure 2,B,PPARG/PPARA,AUROC_D_vs_B_pocketA,0.706,0.7061,results/canonical/primary_directional_auroc.csv,PPARG/PPARA,0.7061,MATCH
Figure 2,C,PPARG/PPARA,summary_min,0.649,0.6492,results/canonical/primary_summary_min.csv,PPARG/PPARA,0.6492,MATCH
Figure 2,C,PPARG/PPARA,D_vs_neither_vina_mean,0.685,0.6853,results/canonical/two_pocket_mean_ranking.csv,PPARG/PPARA,0.6853,MATCH
Figure 2,C,PPARG/PPARA,n_neither,14,14.0,results/canonical/class_counts.csv,PPARG/PPARA,14,MATCH
Figure 2,A,PPARA/PPARD,fixed_delta_pocketA,0.038,0.0381,results/canonical/fixed_score_negative_class_delta.csv,PPARA/PPARD,0.0381,MATCH
Figure 2,A,PPARA/PPARD,fixed_delta_pocketB,0.019,0.0187,results/canonical/fixed_score_negative_class_delta.csv,PPARA/PPARD,0.0187,MATCH
Figure 2,B,PPARA/PPARD,AUROC_D_vs_A_pocketB,0.646,0.6465,results/canonical/primary_directional_auroc.csv,PPARA/PPARD,0.6465,MATCH
Figure 2,B,PPARA/PPARD,AUROC_D_vs_B_pocketA,0.446,0.4463,results/canonical/primary_directional_auroc.csv,PPARA/PPARD,0.4463,MATCH
Figure 2,C,PPARA/PPARD,summary_min,0.446,0.4463,results/canonical/primary_summary_min.csv,PPARA/PPARD,0.4463,MATCH
Figure 2,C,PPARA/PPARD,D_vs_neither_vina_mean,0.565,0.5647,results/canonical/two_pocket_mean_ranking.csv,PPARA/PPARD,0.5647,MATCH
Figure 2,C,PPARA/PPARD,n_neither,14,14.0,results/canonical/class_counts.csv,PPARA/PPARD,14,MATCH
Figure 2,D,EGFR/HER2,top_dual,1,1.0,results/canonical/top10_operating_points.csv,EGFR/HER2,1,MATCH
Figure 2,D,EGFR/HER2,top_A_only,4,4.0,results/canonical/top10_operating_points.csv,EGFR/HER2,4,MATCH
Figure 2,D,EGFR/HER2,top_B_only,6,6.0,results/canonical/top10_operating_points.csv,EGFR/HER2,6,MATCH
Figure 2,D,EGFR/HER2,top_neither,0,0.0,results/canonical/top10_operating_points.csv,EGFR/HER2,0,MATCH
Figure 2,D,EGFR/HER2,top_k,11,11.0,results/canonical/top10_operating_points.csv,EGFR/HER2,11,MATCH
Figure 2,D,JAK1/JAK2,top_dual,6,6.0,results/canonical/top10_operating_points.csv,JAK1/JAK2,6,MATCH
Figure 2,D,JAK1/JAK2,top_A_only,5,5.0,results/canonical/top10_operating_points.csv,JAK1/JAK2,5,MATCH
Figure 2,D,JAK1/JAK2,top_B_only,0,0.0,results/canonical/top10_operating_points.csv,JAK1/JAK2,0,MATCH
Figure 2,D,JAK1/JAK2,top_neither,0,0.0,results/canonical/top10_operating_points.csv,JAK1/JAK2,0,MATCH
Figure 2,D,JAK1/JAK2,top_k,11,11.0,results/canonical/top10_operating_points.csv,JAK1/JAK2,11,MATCH
Figure 2,D,JAK1/TYK2,top_dual,1,1.0,results/canonical/top10_operating_points.csv,JAK1/TYK2,1,MATCH
Figure 2,D,JAK1/TYK2,top_A_only,3,3.0,results/canonical/top10_operating_points.csv,JAK1/TYK2,3,MATCH
Figure 2,D,JAK1/TYK2,top_B_only,7,7.0,results/canonical/top10_operating_points.csv,JAK1/TYK2,7,MATCH
Figure 2,D,JAK1/TYK2,top_neither,0,0.0,results/canonical/top10_operating_points.csv,JAK1/TYK2,0,MATCH
Figure 2,D,JAK1/TYK2,top_k,11,11.0,results/canonical/top10_operating_points.csv,JAK1/TYK2,11,MATCH
Figure 2,D,PIK3CA/mTOR,top_dual,4,4.0,results/canonical/top10_operating_points.csv,PIK3CA/mTOR,4,MATCH
Figure 2,D,PIK3CA/mTOR,top_A_only,1,1.0,results/canonical/top10_operating_points.csv,PIK3CA/mTOR,1,MATCH
Figure 2,D,PIK3CA/mTOR,top_B_only,0,0.0,results/canonical/top10_operating_points.csv,PIK3CA/mTOR,0,MATCH
Figure 2,D,PIK3CA/mTOR,top_neither,0,0.0,results/canonical/top10_operating_points.csv,PIK3CA/mTOR,0,MATCH
Figure 2,D,PIK3CA/mTOR,top_k,5,5.0,results/canonical/top10_operating_points.csv,PIK3CA/mTOR,5,MATCH
Figure 2,D,AChE/BChE,top_dual,5,5.0,results/canonical/top10_operating_points.csv,AChE/BChE,5,MATCH
Figure 2,D,AChE/BChE,top_A_only,3,3.0,results/canonical/top10_operating_points.csv,AChE/BChE,3,MATCH
Figure 2,D,AChE/BChE,top_B_only,1,1.0,results/canonical/top10_operating_points.csv,AChE/BChE,1,MATCH
Figure 2,D,AChE/BChE,top_neither,1,1.0,results/canonical/top10_operating_points.csv,AChE/BChE,1,MATCH
Figure 2,D,AChE/BChE,top_k,10,10.0,results/canonical/top10_operating_points.csv,AChE/BChE,10,MATCH
Figure 2,D,F2/F10,top_dual,4,4.0,results/canonical/top10_operating_points.csv,F2/F10,4,MATCH
Figure 2,D,F2/F10,top_A_only,1,1.0,results/canonical/top10_operating_points.csv,F2/F10,1,MATCH
Figure 2,D,F2/F10,top_B_only,6,6.0,results/canonical/top10_operating_points.csv,F2/F10,6,MATCH
Figure 2,D,F2/F10,top_neither,0,0.0,results/canonical/top10_operating_points.csv,F2/F10,0,MATCH
Figure 2,D,F2/F10,top_k,11,11.0,results/canonical/top10_operating_points.csv,F2/F10,11,MATCH
Figure 2,D,PPARG/PPARA,top_dual,7,7.0,results/canonical/top10_operating_points.csv,PPARG/PPARA,7,MATCH
Figure 2,D,PPARG/PPARA,top_A_only,3,3.0,results/canonical/top10_operating_points.csv,PPARG/PPARA,3,MATCH
