target,ligand,status,n_modes,reason
ACHE,AB_003,exists,9,
BCHE,AB_003,exists,9,
ACHE,AB_008,exists,9,
BCHE,AB_032,exists,9,
ACHE,AB_032,exists,9,
ACHE,AB_018,exists,9,
BCHE,AB_008,exists,9,
BCHE,AB_018,exists,9,
BCHE,AB_086,exists,9,
ACHE,AB_086,exists,9,
BCHE,AB_100,exists,9,
ACHE,AB_100,exists,9,
ACHE,AB_030,exists,7,
ACHE,AB_045,exists,9,
BCHE,AB_030,exists,9,
BCHE,AB_045,exists,9,
ACHE,AB_049,exists,9,
BCHE,AB_049,exists,9,
BCHE,AB_051,exists,9,
ACHE,AB_051,exists,9,
ACHE,AB_012,exists,9,
BCHE,AB_076,exists,9,
ACHE,AB_076,exists,9,
BCHE,AB_012,exists,9,
ACHE,AB_013,exists,9,
BCHE,AB_013,exists,9,
BCHE,AB_061,exists,9,
ACHE,AB_061,exists,9,
BCHE,AB_020,exists,9,
ACHE,AB_020,exists,9,
ACHE,AB_021,exists,9,
BCHE,AB_021,exists,9,
ACHE,AB_023,exists,9,
BCHE,AB_023,exists,9,
ACHE,AB_063,exists,9,
BCHE,AB_063,exists,9,
ACHE,AB_066,exists,9,
ACHE,AB_088,exists,9,
BCHE,AB_066,exists,9,
BCHE,AB_088,exists,9,
BCHE,AB_024,exists,9,
ACHE,AB_029,exists,9,
BCHE,AB_029,exists,9,
ACHE,AB_024,exists,9,
ACHE,AB_035,exists,9,
BCHE,AB_035,exists,9,
ACHE,AB_037,exists,9,
BCHE,AB_037,exists,9,
ACHE,AB_042,exists,9,
BCHE,AB_042,exists,9,
ACHE,AB_043,exists,9,
BCHE,AB_043,exists,9,
BCHE,AB_048,exists,9,
ACHE,AB_048,exists,6,
ACHE,AB_052,exists,9,
BCHE,AB_052,exists,9,
ACHE,AB_081,success,9,
BCHE,AB_081,success,9,
ACHE,AB_087,success,7,
BCHE,AB_087,success,9,
ACHE,AB_026,success,9,
ACHE,AB_031,success,9,
BCHE,AB_031,success,9,
BCHE,AB_026,success,9,
ACHE,AB_033,success,9,
ACHE,AB_041,success,9,
BCHE,AB_041,success,9,
ACHE,AB_028,success,9,
BCHE,AB_028,success,3,
ACHE,AB_044,success,9,
BCHE,AB_033,success,9,
ACHE,AB_047,success,9,
BCHE,AB_044,success,9,
ACHE,AB_072,success,9,
BCHE,AB_047,success,9,
ACHE,AB_079,success,9,
BCHE,AB_072,success,9,
ACHE,AB_080,success,9,
BCHE,AB_079,success,9,
BCHE,AB_080,success,9,
ACHE,AB_089,success,9,
ACHE,AB_090,success,9,
BCHE,AB_090,success,9,
BCHE,AB_089,success,8,
ACHE,AB_062,success,9,
ACHE,AB_010,success,9,
ACHE,AB_015,success,9,
ACHE,AB_069,success,9,
BCHE,AB_010,success,8,
BCHE,AB_015,success,9,
BCHE,AB_062,success,9,
BCHE,AB_069,success,9,
ACHE,AB_005,exists,9,
BCHE,AB_005,exists,9,
ACHE,AB_096,success,9,
BCHE,AB_096,success,9,
ACHE,AB_016,success,9,
ACHE,AB_050,success,9,
ACHE,AB_098,success,9,
BCHE,AB_098,success,9,
BCHE,AB_016,success,9,
BCHE,AB_050,success,9,
ACHE,AB_077,success,9,
ACHE,AB_058,success,9,
BCHE,AB_058,success,9,
BCHE,AB_077,success,9,
ACHE,AB_059,success,9,
ACHE,AB_085,success,9,
ACHE,AB_084,success,9,
BCHE,AB_059,success,9,
BCHE,AB_085,success,9,
ACHE,AB_091,success,9,
BCHE,AB_084,success,9,
BCHE,AB_091,success,9,
ACHE,AB_004,exists,7,
BCHE,AB_004,exists,9,
ACHE,AB_094,success,9,
ACHE,AB_093,success,9,
BCHE,AB_094,success,9,
BCHE,AB_093,success,9,
ACHE,AB_065,success,9,
ACHE,AB_017,success,9,
BCHE,AB_065,success,9,
BCHE,AB_017,success,9,
ACHE,AB_067,success,9,
ACHE,AB_074,success,9,
BCHE,AB_074,success,9,
BCHE,AB_067,success,9,
ACHE,AB_078,success,9,
ACHE,AB_095,success,9,
ACHE,AB_099,success,9,
BCHE,AB_078,success,9,
BCHE,AB_095,success,9,
BCHE,AB_099,success,9,
ACHE,AB_027,success,9,
ACHE,AB_068,success,9,
BCHE,AB_027,success,9,
BCHE,AB_068,success,9,
ACHE,AB_082,success,9,
BCHE,AB_082,success,9,
ACHE,AB_083,success,9,
BCHE,AB_083,success,9,
ACHE,AB_014,success,9,
ACHE,AB_011,success,9,
BCHE,AB_014,success,9,
BCHE,AB_011,success,9,
ACHE,AB_038,success,9,
ACHE,AB_060,success,9,
BCHE,AB_038,success,9,
ACHE,AB_070,success,9,
ACHE,AB_009,exists,9,
BCHE,AB_060,success,9,
BCHE,AB_070,success,9,
ACHE,AB_075,success,9,
BCHE,AB_075,success,9,
ACHE,AB_025,success,9,
ACHE,AB_002,exists,9,
BCHE,AB_002,exists,9,
ACHE,AB_006,exists,9,
BCHE,AB_006,exists,9,
BCHE,AB_009,success,9,
ACHE,AB_034,success,9,
BCHE,AB_025,success,9,
BCHE,AB_034,success,9,
ACHE,AB_036,success,9,
ACHE,AB_022,success,9,
BCHE,AB_036,success,9,
BCHE,AB_022,success,9,
ACHE,AB_039,success,9,
BCHE,AB_039,success,9,
ACHE,AB_007,exists,9,
BCHE,AB_007,exists,9,
ACHE,AB_092,success,9,
BCHE,AB_092,success,9,
ACHE,AB_057,success,9,
ACHE,AB_019,success,9,
ACHE,AB_073,success,9,
BCHE,AB_057,success,9,
BCHE,AB_019,success,9,
BCHE,AB_073,success,9,
ACHE,AB_064,success,9,
BCHE,AB_064,success,9,
ACHE,AB_071,success,9,
BCHE,AB_071,success,9,
ACHE,AB_040,success,9,
ACHE,AB_046,success,9,
ACHE,AB_097,success,9,
BCHE,AB_040,success,9,
ACHE,AB_054,fail,0,skip_torsdof=29_ge_25
BCHE,AB_054,fail,0,skip_torsdof=29_ge_25
ACHE,AB_056,fail,0,skip_torsdof=29_ge_25
BCHE,AB_056,fail,0,skip_torsdof=29_ge_25
ACHE,AB_001,fail,0,skip_torsdof=31_ge_25
BCHE,AB_001,fail,0,skip_torsdof=31_ge_25
ACHE,AB_053,fail,0,skip_torsdof=31_ge_25
BCHE,AB_053,fail,0,skip_torsdof=31_ge_25
BCHE,AB_097,fail,0,timeout_600s_torsdof=18_E=8
BCHE,AB_046,success,9,
ACHE,AB_055,success,9,
BCHE,AB_055,success,9,
