ligand,gnina_cnn_ACHE,gnina_aff_ACHE,gnina_cnn_BCHE,gnina_aff_BCHE
AB_002,0.5408454537,8.5209350586,0.4531404376,8.4493370056
AB_003,0.6210270524,5.7778716087,0.4808607697,5.8077259064
AB_004,0.2628403902,7.6471867561,0.2737579346,7.8202614784
AB_005,0.2869314551,7.1437644958,0.7809686661,7.675239563
AB_006,0.7576894164,7.8201904297,0.5831249356,7.7197670937
AB_007,0.3164541721,7.315120697,0.1719632,6.907225132
AB_008,0.9382705688,6.2317194939,0.7969833612,6.2154250145
AB_009,0.3924945891,7.7340736389,0.3822372556,7.0908904076
AB_010,0.2267367393,7.2178368568,0.1769875139,6.0689754486
AB_011,0.2222846895,6.9013199806,0.3886272311,7.9297676086
AB_012,0.729161799,6.4199790955,0.7698507905,6.2369217873
AB_013,0.7407779694,6.7526550293,0.4434059858,6.0074572563
AB_014,0.4696185291,7.7792944908,0.1883319467,7.2327246666
AB_015,0.565420866,8.2642087936,0.8752471209,8.2146482468
AB_016,0.1158996895,6.5070757866,0.7575775981,7.8052535057
AB_017,0.3287650943,6.7039475441,0.9379582405,8.4013404846
AB_018,0.4275693893,5.9316482544,0.8206056952,6.4167308807
AB_019,0.2557001412,7.0617141724,0.6674522758,8.6408920288
AB_020,0.354152143,5.9363484383,0.565208137,6.2237048149
AB_021,0.1658832431,6.5201568604,0.6565197706,7.198343277
AB_022,0.2638957202,7.3275322914,0.600913763,8.1722230911
AB_023,0.452537626,7.0214157104,0.609393239,6.864798069
AB_024,0.1773854643,5.3111195564,0.7989614606,6.5434479713
AB_025,0.1510172039,5.7509818077,0.1865300685,6.8609867096
AB_026,0.8841359615,8.1817092896,0.511418283,7.6081280708
AB_027,0.3536531031,7.389064312,0.4208875299,7.2416710854
AB_028,0.66463238,8.5464782715,0.3628659248,7.498898983
AB_029,0.2332619131,6.241007328,0.4511795044,6.4250626564
AB_030,0.8149284124,7.6573271751,0.9055504203,7.6104869843
AB_031,0.9248306751,8.1498594284,0.4167961776,6.4920463562
AB_032,0.7260843515,7.3214011192,0.3487765193,5.2760043144
AB_033,0.9721446633,7.3611969948,0.4007860422,6.6193327904
AB_034,0.6523840427,7.8477797508,0.4933508635,7.3680291176
AB_035,0.9095125794,7.8209357262,0.6699423194,7.2231369019
AB_036,0.5667610168,7.8855700493,0.182585597,6.2946562767
AB_037,0.450628221,6.9482078552,0.4639336169,6.2693791389
AB_038,0.2816544473,7.4786381721,0.4172046185,7.494951725
AB_039,0.3167533875,7.4426474571,0.1163217351,5.9939827919
AB_040,0.2045844495,7.5609612465,0.6636577249,8.9238967896
AB_041,0.1338947117,4.0182709694,0.2044444382,3.8427722454
AB_042,0.9793003798,7.7615590096,0.9136368632,6.7480158806
AB_043,0.9630286098,7.5927567482,0.6244801879,6.4407801628
AB_044,0.6602657437,7.6732401848,0.3932666779,7.2956604958
AB_045,0.4364675879,5.7495560646,0.5552771688,5.9858984947
AB_046,0.2045844495,7.5609612465,0.6636577249,8.9238967896
AB_047,0.9188794494,7.191388607,0.7373664975,7.3477935791
AB_048,0.9861375093,8.0835647583,0.5989602208,6.7012844086
AB_049,0.4866772294,5.9274554253,0.8417972326,6.2113499641
AB_050,0.8997778893,7.4579291344,0.7381227016,6.8152256012
AB_051,0.8444980979,7.1436362267,0.9293692708,7.4500317574
AB_052,0.5139035583,5.613073349,0.6044611931,6.0621676445
AB_055,0.2197566926,7.2606506348,0.5808939338,7.7612204552
AB_057,0.5412853956,8.630613327,0.4995365441,8.3393936157
AB_058,0.3476882279,7.2823505402,0.9257390499,7.8643193245
AB_059,0.2133530378,6.5634922981,0.3906018436,6.3265032768
AB_060,0.4420976937,7.2432999611,0.5323994756,7.339577198
AB_061,0.8560371399,7.3995194435,0.2860274911,6.0706176758
AB_062,0.7034772038,7.5814070702,0.7803076506,7.3907322884
AB_063,0.2139267325,6.2664246559,0.7862713933,8.0441732407
AB_064,0.3710970283,7.3499603271,0.4199776053,7.3042235374
AB_065,0.9637342095,7.3907589912,0.7562860847,6.9351258278
AB_066,0.4823396504,6.6899628639,0.5339348316,6.8043994904
AB_067,0.1879510134,6.1080117226,0.386777699,6.5158596039
AB_068,0.6932618618,7.900080204,0.2016477436,7.011575222
AB_069,0.6403835416,7.5034065247,0.337895751,6.1194796562
AB_070,0.4686969221,7.8151078224,0.83056283,7.7082614899
AB_071,0.4575417936,8.1806335449,0.5489432216,8.6728773117
AB_072,0.4769920111,6.9994125366,0.8026993871,7.4501328468
AB_073,0.4364631772,7.5864663124,0.150875926,6.677526474
AB_074,0.446038872,6.9689731598,0.5708762407,6.8400273323
AB_075,0.4131619036,6.8710360527,0.7473695278,7.6875290871
AB_076,0.3642050326,6.9039788246,0.9614453912,7.7350883484
AB_077,0.514036417,6.0379734039,0.9063485265,7.0256524086
AB_078,0.1698900759,5.8780150414,0.3593133986,6.4099116325
AB_079,0.1588073969,6.6200633049,0.8826978803,7.5918059349
AB_080,0.8773581982,7.14793396,0.2569650114,5.9051804543
AB_081,0.8240119815,7.0972771645,0.1536718309,5.6711006165
AB_082,0.2899039388,7.093767643,0.4100971818,6.8582339287
AB_083,0.3043540716,7.6511936188,0.7608259916,8.2286310196
AB_084,0.2629770339,6.9695091248,0.4896364808,7.4592494965
AB_085,0.3308858871,6.3102817535,0.44554317,5.6679129601
AB_086,0.560288012,6.951315403,0.8932881951,7.4742240906
AB_087,0.1694022566,6.7893333435,0.6631587148,7.3594398499
AB_088,0.2309778035,5.4311561584,0.6701146364,6.299554348
AB_089,0.8183974624,7.5489830971,0.4004456103,5.8476867676
AB_090,0.9126163721,7.3183302879,0.2968050838,5.3165149689
AB_091,0.5389244556,7.0333733559,0.3524918258,6.4082183838
AB_092,0.6499919891,7.2287940979,0.5368795395,6.8518881798
AB_093,0.1295420825,6.518846035,0.809587121,7.4855880737
AB_094,0.9094572067,7.2568993568,0.4983891547,6.1932258606
AB_095,0.5764253139,7.1292567253,0.7125023007,7.3470606804
AB_096,0.4184320867,6.5452466011,0.3162164092,5.2961902618
AB_097,0.3299292922,8.1867551804,,
AB_098,0.6493096948,7.7455515862,0.3098984361,6.5468673706
AB_099,0.7782356143,7.2188220024,0.4121704698,6.6476249695
AB_100,0.4362801015,5.8563308716,0.3335396349,5.2756199837
