ligand,target,vina_mode,vina_score
AB_002,ACHE,1,-11.841
AB_002,ACHE,2,-11.807
AB_002,ACHE,3,-11.577
AB_002,ACHE,4,-11.484
AB_002,ACHE,5,-11.464
AB_002,ACHE,6,-11.292
AB_002,ACHE,7,-11.153
AB_002,ACHE,8,-11.074
AB_002,ACHE,9,-11.062
AB_002,BCHE,1,-10.501
AB_002,BCHE,2,-10.085
AB_002,BCHE,3,-9.991
AB_002,BCHE,4,-9.878
AB_002,BCHE,5,-9.53
AB_002,BCHE,6,-9.382
AB_002,BCHE,7,-9.274
AB_002,BCHE,8,-9.252
AB_002,BCHE,9,-9.179
AB_003,ACHE,1,-8.863
AB_003,ACHE,2,-8.706
AB_003,ACHE,3,-8.667
AB_003,ACHE,4,-8.63
AB_003,ACHE,5,-8.533
AB_003,ACHE,6,-8.516
AB_003,ACHE,7,-8.215
AB_003,ACHE,8,-8.2
AB_003,ACHE,9,-7.976
AB_003,BCHE,1,-7.984
AB_003,BCHE,2,-7.884
AB_003,BCHE,3,-7.779
AB_003,BCHE,4,-7.717
AB_003,BCHE,5,-7.691
AB_003,BCHE,6,-7.675
AB_003,BCHE,7,-7.648
AB_003,BCHE,8,-7.321
AB_003,BCHE,9,-7.293
AB_004,ACHE,1,-13.025
AB_004,ACHE,2,-12.51
AB_004,ACHE,3,-11.444
AB_004,ACHE,4,-11.255
AB_004,ACHE,5,-10.548
AB_004,ACHE,6,-10.345
AB_004,ACHE,7,-10.138
AB_004,BCHE,1,-11.1
AB_004,BCHE,2,-10.982
AB_004,BCHE,3,-10.877
AB_004,BCHE,4,-10.796
AB_004,BCHE,5,-10.785
AB_004,BCHE,6,-10.701
AB_004,BCHE,7,-10.582
AB_004,BCHE,8,-10.566
AB_004,BCHE,9,-10.53
AB_005,ACHE,1,-12.595
AB_005,ACHE,2,-12.49
AB_005,ACHE,3,-12.171
AB_005,ACHE,4,-12.167
AB_005,ACHE,5,-11.709
AB_005,ACHE,6,-11.386
AB_005,ACHE,7,-10.832
AB_005,ACHE,8,-10.734
AB_005,ACHE,9,-10.453
AB_005,BCHE,1,-10.593
AB_005,BCHE,2,-10.293
AB_005,BCHE,3,-10.271
AB_005,BCHE,4,-10.237
AB_005,BCHE,5,-10.075
AB_005,BCHE,6,-10.018
AB_005,BCHE,7,-9.82
AB_005,BCHE,8,-9.686
AB_005,BCHE,9,-9.63
AB_006,ACHE,1,-11.127
AB_006,ACHE,2,-10.918
AB_006,ACHE,3,-10.72
AB_006,ACHE,4,-10.31
AB_006,ACHE,5,-10.299
AB_006,ACHE,6,-9.956
AB_006,ACHE,7,-9.895
AB_006,ACHE,8,-9.859
AB_006,ACHE,9,-9.796
AB_006,BCHE,1,-10.122
AB_006,BCHE,2,-9.706
AB_006,BCHE,3,-9.259
AB_006,BCHE,4,-9.124
