"Molecule ChEMBL ID","Molecule Name","Molecule Max Phase","Molecular Weight","#RO5 Violations","AlogP","Compound Key","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","pChEMBL Value","Data Validity Comment","Comment","Uo Units","Ligand Efficiency BEI","Ligand Efficiency LE","Ligand Efficiency LLE","Ligand Efficiency SEI","Potential Duplicate","Assay ChEMBL ID","Assay Description","Assay Type","BAO Format ID","BAO Label","Assay Organism","Assay Tissue ChEMBL ID","Assay Tissue Name","Assay Cell Type","Assay Subcellular Fraction","Assay Parameters","Assay Variant Accession","Assay Variant Mutation","Target ChEMBL ID","Target Name","Target Organism","Target Type","Document ChEMBL ID","Source ID","Source Description","Document Journal","Document Year","Cell ChEMBL ID","Properties","Action Type","Standard Text Value","Value"
"CHEMBL5619047","","None","407.29","0","4.79","27e","C/C(=C\Cc1cccc2c1OC(c1cc(Br)cs1)CC2=O)C(=O)O","IC50","'='","980.0","nM","6.01","","","UO_0000065","14.75","0.34","1.22","9.45","0","CHEMBL5615906","Inhibition of human URAT1 transfected in HEK293 cells by measuring 14C-uric acid uptake preincubated for 30 mins followed by 14--uric acid addition and measured after 15 mins by liquid scintillation counter analysis","B","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL5614401","1","Scientific Literature","Eur J Med Chem","2024","None","TIME = 0.75 hr","INHIBITOR","","0.98"
"CHEMBL5619241","","None","378.45","1","5.18","27g","C/C(=C\Cc1cccc2c1OC(c1csc3ccccc13)CC2=O)C(=O)O","IC50","'='","950.0","nM","6.02","","","UO_0000065","15.91","0.30","0.84","9.47","0","CHEMBL5615906","Inhibition of human URAT1 transfected in HEK293 cells by measuring 14C-uric acid uptake preincubated for 30 mins followed by 14--uric acid addition and measured after 15 mins by liquid scintillation counter analysis","B","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL5614401","1","Scientific Literature","Eur J Med Chem","2024","None","TIME = 0.75 hr","INHIBITOR","","0.95"
"CHEMBL5618175","","None","324.38","0","4.31","Isobavachin","CC(C)=CCc1c(O)ccc2c1OC(c1ccc(O)cc1)CC2=O","IC50","'='","240.0","nM","6.62","","","UO_0000065","20.41","0.38","2.31","9.92","0","CHEMBL5615906","Inhibition of human URAT1 transfected in HEK293 cells by measuring 14C-uric acid uptake preincubated for 30 mins followed by 14--uric acid addition and measured after 15 mins by liquid scintillation counter analysis","B","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL5614401","1","Scientific Literature","Eur J Med Chem","2024","None","TIME = 0.75 hr","INHIBITOR","","0.24"
"CHEMBL2105720","LESINURAD","4.0","404.29","0","4.24","Lesinurad","O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12","IC50","'='","7180.0","nM","5.14","","","UO_0000065","12.72","0.29","0.90","7.56","1","CHEMBL5615906","Inhibition of human URAT1 transfected in HEK293 cells by measuring 14C-uric acid uptake preincubated for 30 mins followed by 14--uric acid addition and measured after 15 mins by liquid scintillation counter analysis","B","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL5614401","1","Scientific Literature","Eur J Med Chem","2024","None","TIME = 0.75 hr","INHIBITOR","","7.18"
"CHEMBL5563962","","None","321.33","0","4.25","II7","Cc1cccc(Oc2cncc(-c3ccc(C(=O)O)c(O)c3)c2)c1","IC50","'='","86200.0","nM","4.06","","","UO_0000065","12.65","0.23","-0.19","5.10","0","CHEMBL5515757","Inhibition of human URAT1 expressed in HEK293T cells using 6-carboxylic fluorescein substrate by fluorescence assay","B","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293T","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL5512661","1","Scientific Literature","Eur J Med Chem","2024","None","","INHIBITOR","","86.2"
"CHEMBL6022138","","None","338.37","0","4.55","BDBM290446","N#Cc1ccc(-c2cncc3ccc(CC(=O)O)cc23)c2ccccc12","IC50","'='","327.0","nM","6.49","","554418","UO_0000065","19.17","0.34","1.94","8.77","0","CHEMBL5731461","hURAT1 Inhibition Assay: Human embryonic kidney cells (HEK293) was incubated in DMEM tissue culture medium, at 37° C., under 5% CO2 and 95% air atmosphere. TransIT-293 transfection agent (MIRUS BIO, Cat. No. MIR2706) and model URAT1 were used to construct transfected HEK293 cells. Transfected HEK293/hURAT1 cells were used to the test for 14C-uric acid transport activity. HEK293/hURAT1 cells were seeded in a 96-well plate (BD, Cat. No. 356461) fully coating with poly-D-lysine at a density of 6×104 cells per well. Cells were incubated at 37° C. for at least 12 hrs in the calorstat, and then washed with pre-heated washing buffer (125 mM sodium gluconate, 10 mM HEPES pH=7.4) at an amount of 200 μL per well to wash out the culture medium. The uric acid [8-14C] (ARC, Cat. No. ARC0513-250UCI) containing or not containing the compound was added to 50 μL HBSS buffer which was free of chloric ion each well (HBSS buffer: 125 mM sodium gluconate, 4.8 mM potassium gluconate, 1.3 mM calcium gluconate, 1.2 mM potassium dihydrogen phosphate, 1.2 mM magnesium sulfate, 5.6 mM glucose, 25 mM HEPES pH=7.4) to make the specific concentration of the uric acid 1 μCi per well. The incubating solution was removed after 10 mins incubation, followed by adding 100 μL cold washing buffer, after washing with this buffer for 3 times, the buffer was completely removed from the well. 50 μL Lysis buffer (0.1 mM NaOH) was added to each well, and transferred to a 96-well plate (PERKIN ELMER, Cat. No. 6005040) containing scintillation fluid after 5 mins, and counted by MicroBeta Trilux (PerkinElmer) to give IC50 value eventually.","B","BAO_0000019","assay format","Homo sapiens","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL5725778","37","BindingDB Patent Bioactivity Data","","2018","None","","","","327.0"
"CHEMBL5988445","","None","318.33","0","3.63","BDBM290456","C[C@@H](Oc1ccc2cncc(-c3ccc(C#N)cc3)c2c1)C(=O)O","IC50","'='","5524.0","nM","5.26","","554426","UO_0000065","16.52","0.30","1.63","6.32","0","CHEMBL5731461","hURAT1 Inhibition Assay: Human embryonic kidney cells (HEK293) was incubated in DMEM tissue culture medium, at 37° C., under 5% CO2 and 95% air atmosphere. TransIT-293 transfection agent (MIRUS BIO, Cat. No. MIR2706) and model URAT1 were used to construct transfected HEK293 cells. Transfected HEK293/hURAT1 cells were used to the test for 14C-uric acid transport activity. HEK293/hURAT1 cells were seeded in a 96-well plate (BD, Cat. No. 356461) fully coating with poly-D-lysine at a density of 6×104 cells per well. Cells were incubated at 37° C. for at least 12 hrs in the calorstat, and then washed with pre-heated washing buffer (125 mM sodium gluconate, 10 mM HEPES pH=7.4) at an amount of 200 μL per well to wash out the culture medium. The uric acid [8-14C] (ARC, Cat. No. ARC0513-250UCI) containing or not containing the compound was added to 50 μL HBSS buffer which was free of chloric ion each well (HBSS buffer: 125 mM sodium gluconate, 4.8 mM potassium gluconate, 1.3 mM calcium gluconate, 1.2 mM potassium dihydrogen phosphate, 1.2 mM magnesium sulfate, 5.6 mM glucose, 25 mM HEPES pH=7.4) to make the specific concentration of the uric acid 1 μCi per well. The incubating solution was removed after 10 mins incubation, followed by adding 100 μL cold washing buffer, after washing with this buffer for 3 times, the buffer was completely removed from the well. 50 μL Lysis buffer (0.1 mM NaOH) was added to each well, and transferred to a 96-well plate (PERKIN ELMER, Cat. No. 6005040) containing scintillation fluid after 5 mins, and counted by MicroBeta Trilux (PerkinElmer) to give IC50 value eventually.","B","BAO_0000019","assay format","Homo sapiens","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL5725778","37","BindingDB Patent Bioactivity Data","","2018","None","","","","5524.0"
"CHEMBL5812692","","None","416.48","1","6.02","BDBM290471","CC(C)(Sc1ccc2cncc(-c3ccc(C#N)c4ccc(F)cc34)c2c1)C(=O)O","IC50","'='","71.0","nM","7.15","","554438","UO_0000065","17.16","0.33","1.13","9.66","0","CHEMBL5731461","hURAT1 Inhibition Assay: Human embryonic kidney cells (HEK293) was incubated in DMEM tissue culture medium, at 37° C., under 5% CO2 and 95% air atmosphere. TransIT-293 transfection agent (MIRUS BIO, Cat. No. MIR2706) and model URAT1 were used to construct transfected HEK293 cells. Transfected HEK293/hURAT1 cells were used to the test for 14C-uric acid transport activity. HEK293/hURAT1 cells were seeded in a 96-well plate (BD, Cat. No. 356461) fully coating with poly-D-lysine at a density of 6×104 cells per well. Cells were incubated at 37° C. for at least 12 hrs in the calorstat, and then washed with pre-heated washing buffer (125 mM sodium gluconate, 10 mM HEPES pH=7.4) at an amount of 200 μL per well to wash out the culture medium. The uric acid [8-14C] (ARC, Cat. No. ARC0513-250UCI) containing or not containing the compound was added to 50 μL HBSS buffer which was free of chloric ion each well (HBSS buffer: 125 mM sodium gluconate, 4.8 mM potassium gluconate, 1.3 mM calcium gluconate, 1.2 mM potassium dihydrogen phosphate, 1.2 mM magnesium sulfate, 5.6 mM glucose, 25 mM HEPES pH=7.4) to make the specific concentration of the uric acid 1 μCi per well. The incubating solution was removed after 10 mins incubation, followed by adding 100 μL cold washing buffer, after washing with this buffer for 3 times, the buffer was completely removed from the well. 50 μL Lysis buffer (0.1 mM NaOH) was added to each well, and transferred to a 96-well plate (PERKIN ELMER, Cat. No. 6005040) containing scintillation fluid after 5 mins, and counted by MicroBeta Trilux (PerkinElmer) to give IC50 value eventually.","B","BAO_0000019","assay format","Homo sapiens","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL5725778","37","BindingDB Patent Bioactivity Data","","2018","None","","","","71.0"
"CHEMBL3747573","","None","403.43","1","6.02","BDBM50134675","O=C(O)C1(Sc2ccnc3ccc(-c4ccccc4C(F)(F)F)cc23)CCC1","IC50","'='","115.0","nM","6.94","","641028","UO_0000065","17.20","0.34","0.92","13.83","1","CHEMBL5732322","In Vitro Assay: In vitro URAT1 assay can be used to identify compounds having potential activity for decreasing serum uric acid. In a suitable test, the vectors that encode human URAT1 (URAT1 cDNA: Guangzhou Copoeia EX-T4563-M02) were used to transfect cells (human embryonic kidney cells, HEK293: Cell Bank of the Chinese Academy of Sciences, GNHu18). The transfected cells HEK293/hURAT1 cells were obtained, then their uptake ability of radiolabeled uric acid was determined. The activity of the compounds as URAT1 inhibitors can be evaluated by the ability of the compounds to block the uptake of uric acid in the transfected cells.The HEK293/hURAT1 cells in Eagle's minimal essential medium (EMEM) were inoculated in a 48-well plate that was coated with poly-D-lysine (Becton Dickinson, Catalog No. 356509), with an inoculation density of 105 cells/well, and incubated overnight. A reaction solution containing 14C uric acid (American Radioactive Compound, Catalog No. ARC 0513A) with a final concentration of 11.57 μM was prepared by the use or non-use of the test compounds in Hanks balanced salt solution (HBSS). The Hanks balanced salt solution (HBSS) contained 125 mM sodium gluconate, 4.8 mM potassium gluconate, 1.2 mM potassium dihydrogen phosphate, 1.2 mM magnesium sulfate, 1.3 mM calcium gluconate, 5.6 mM glucose and 25 mM HEPES (pH 7.3). After the medium was washed with the wash buffer (125 mM sodium gluconate, 10 mM HEPES, pH 7.3) for one time, the reaction solution prepared from the above step was added to each well and incubated at room temperature for 12 minutes. Then the reaction solution was removed, the cells were washed twice with the wash buffer and lysed with 0.2 M NaOH for 5 minutes. The cell lysate was transferred to a 96-well culture plate with a scintillation fluid (PerkinElmer, Catalog No. 1450-401), and counting of radioactivity was carried out on a Microbeta counter (PerkinElmer).","B","BAO_0000219","cell-based format","Homo sapiens","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL5726230","37","BindingDB Patent Bioactivity Data","","2017","None","","","","115.0"
"CHEMBL5856878","","None","382.87","1","5.38","BDBM290485","CC(C)(Sc1ccc2cncc(-c3ccc(C#N)c(Cl)c3)c2c1)C(=O)O","IC50","'='","55.0","nM","7.26","","554452","UO_0000065","18.96","0.38","1.88","9.81","0","CHEMBL5731461","hURAT1 Inhibition Assay: Human embryonic kidney cells (HEK293) was incubated in DMEM tissue culture medium, at 37° C., under 5% CO2 and 95% air atmosphere. TransIT-293 transfection agent (MIRUS BIO, Cat. No. MIR2706) and model URAT1 were used to construct transfected HEK293 cells. Transfected HEK293/hURAT1 cells were used to the test for 14C-uric acid transport activity. HEK293/hURAT1 cells were seeded in a 96-well plate (BD, Cat. No. 356461) fully coating with poly-D-lysine at a density of 6×104 cells per well. Cells were incubated at 37° C. for at least 12 hrs in the calorstat, and then washed with pre-heated washing buffer (125 mM sodium gluconate, 10 mM HEPES pH=7.4) at an amount of 200 μL per well to wash out the culture medium. The uric acid [8-14C] (ARC, Cat. No. ARC0513-250UCI) containing or not containing the compound was added to 50 μL HBSS buffer which was free of chloric ion each well (HBSS buffer: 125 mM sodium gluconate, 4.8 mM potassium gluconate, 1.3 mM calcium gluconate, 1.2 mM potassium dihydrogen phosphate, 1.2 mM magnesium sulfate, 5.6 mM glucose, 25 mM HEPES pH=7.4) to make the specific concentration of the uric acid 1 μCi per well. The incubating solution was removed after 10 mins incubation, followed by adding 100 μL cold washing buffer, after washing with this buffer for 3 times, the buffer was completely removed from the well. 50 μL Lysis buffer (0.1 mM NaOH) was added to each well, and transferred to a 96-well plate (PERKIN ELMER, Cat. No. 6005040) containing scintillation fluid after 5 mins, and counted by MicroBeta Trilux (PerkinElmer) to give IC50 value eventually.","B","BAO_0000019","assay format","Homo sapiens","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL5725778","37","BindingDB Patent Bioactivity Data","","2018","None","","","","55.0"
"CHEMBL5881831","","None","381.26","0","3.83","BDBM290492","CC(NC(=O)Cc1c(Cl)cccc1Cl)c1ccc(CCC(=O)O)cn1","IC50","'='","289.0","nM","6.54","","554458","UO_0000065","17.15","0.36","2.71","8.25","0","CHEMBL5731461","hURAT1 Inhibition Assay: Human embryonic kidney cells (HEK293) was incubated in DMEM tissue culture medium, at 37° C., under 5% CO2 and 95% air atmosphere. TransIT-293 transfection agent (MIRUS BIO, Cat. No. MIR2706) and model URAT1 were used to construct transfected HEK293 cells. Transfected HEK293/hURAT1 cells were used to the test for 14C-uric acid transport activity. HEK293/hURAT1 cells were seeded in a 96-well plate (BD, Cat. No. 356461) fully coating with poly-D-lysine at a density of 6×104 cells per well. Cells were incubated at 37° C. for at least 12 hrs in the calorstat, and then washed with pre-heated washing buffer (125 mM sodium gluconate, 10 mM HEPES pH=7.4) at an amount of 200 μL per well to wash out the culture medium. The uric acid [8-14C] (ARC, Cat. No. ARC0513-250UCI) containing or not containing the compound was added to 50 μL HBSS buffer which was free of chloric ion each well (HBSS buffer: 125 mM sodium gluconate, 4.8 mM potassium gluconate, 1.3 mM calcium gluconate, 1.2 mM potassium dihydrogen phosphate, 1.2 mM magnesium sulfate, 5.6 mM glucose, 25 mM HEPES pH=7.4) to make the specific concentration of the uric acid 1 μCi per well. The incubating solution was removed after 10 mins incubation, followed by adding 100 μL cold washing buffer, after washing with this buffer for 3 times, the buffer was completely removed from the well. 50 μL Lysis buffer (0.1 mM NaOH) was added to each well, and transferred to a 96-well plate (PERKIN ELMER, Cat. No. 6005040) containing scintillation fluid after 5 mins, and counted by MicroBeta Trilux (PerkinElmer) to give IC50 value eventually.","B","BAO_0000019","assay format","Homo sapiens","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL5725778","37","BindingDB Patent Bioactivity Data","","2018","None","","","","289.0"
