smiles_raw,glide_score_xp,pose_status,compound_name,dock_title,source_file,canonical_smiles,inchikey_block1
N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2cc(C(F)(F)F)oc2c1,-12.0788,Done,A641,A641,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2cc(C(F)(F)F)oc2c1,JVPSTXSVISCDBI
C[C@H]1[C@H](c2ccc(O)c(O)c2)c2cc(O)c(O)cc2C[C@H]1C,-11.9137,Done,A764,A764,9DKB_glide-dock_XP_8000_343e.csv,C[C@H]1[C@H](c2ccc(O)c(O)c2)c2cc(O)c(O)cc2C[C@H]1C,MUBLYIKZGKHTMF
Cn1c(C(F)(F)F)cc2c(-c3ccc(C(=O)[O-])c(O)c3)cc(C#N)cc21,-11.8804,Done,A634,A634,9DKB_glide-dock_XP_8000_343e.csv,Cn1c(C(F)(F)F)cc2c(-c3ccc(C(=O)[O-])c(O)c3)cc(C#N)cc21,OUFFVASKHWVJMU
N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2ccoc2c1,-11.8706,Done,A699,A699,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2ccoc2c1,RKGVLGLUAHVJET
CCCc1ccc(Cn2c(Br)nnc2CCC(=O)[O-])c2ccccc12,-11.8507,Done,A266,A266,9DKB_glide-dock_XP_8000_343e.csv,CCCc1ccc(Cn2c(Br)nnc2CCC(=O)[O-])c2ccccc12,YQGOEJNHJTYJJM
CN(c1cnccc1SCCCC(=O)[O-])c1ccc(C#N)c2ccccc12,-11.8303,Done,A444,A444,9DKB_glide-dock_XP_8000_343e.csv,CN(c1cnccc1SCCCC(=O)[O-])c1ccc(C#N)c2ccccc12,MRLYKZVIZRMWAJ
O=C(c1cc(=O)[nH]c(=O)[n-]1)N1CCCN(c2ccc(F)cc2)CC1,-11.754,Done,D6008,D6008,9DKB_glide-dock_XP_8000_343e.csv,O=C(c1cc(=O)[nH]c(=O)[n-]1)N1CCCN(c2ccc(F)cc2)CC1,NZAGOLZVWRJADW
O=C([O-])[C@@H]1CCN(C(=O)c2csc3ccccc23)C2(CC2)C1,-11.7035,Done,D1106,D1106,9DKB_glide-dock_XP_8000_343e.csv,O=C([O-])[C@@H]1CCN(C(=O)c2csc3ccccc23)C2(CC2)C1,FJYXEPTWDLXWPC
O=C([O-])c1ccc(-c2cc(C(F)(F)F)cc3ccoc23)cc1O,-11.7022,Done,A399,A399,9DKB_glide-dock_XP_8000_343e.csv,O=C([O-])c1ccc(-c2cc(C(F)(F)F)cc3ccoc23)cc1O,MDPUTMAHZLBSLP
O=C([O-])CCCSc1nc(Nc2ccc(C3CC3)c3ccccc23)c2sccc2n1,-11.6849,Done,A320,A320,9DKB_glide-dock_XP_8000_343e.csv,O=C([O-])CCCSc1nc(Nc2ccc(C3CC3)c3ccccc23)c2sccc2n1,QCYFDOOWTYKXND
N#Cc1cccc(-c2ccc(C(=O)[O-])c(O)c2)c1,-11.6493,Done,A12,A12,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1cccc(-c2ccc(C(=O)[O-])c(O)c2)c1,RHFLIDBMUZLMSP
