decoy_id,canonical_smiles,max_tc_nlrp3_positive,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,source_row,decoy_source
C5W4D_030,O=C(Nc1cccc(NC(=O)C2(S(=O)(=O)c3ccccc3)CCCC2)c1)c1ccco1,0.18181818181818182,438.5050000000002,4.257100000000004,105.48,2,5,6,759,property_matched
C5W4D_031,COc1cc2c(cc1NC(=S)Nc1ccc3c(C)cc(=O)oc3c1)oc1ccccc12,0.12643678160919541,430.4850000000002,5.818320000000004,76.64,2,5,3,780,property_matched
C5W4D_032,CCC(=O)N1CCCc2ccc(NC(=O)Nc3ccc4c(c3)OCO4)cc21,0.2289156626506024,367.4050000000002,3.7485000000000017,79.9,2,4,3,4059,property_matched
C5W4D_033,O=C(Nc1ccc(NC(=O)N2CCOC3CCCCC32)cc1)c1ccco1,0.14102564102564102,369.42100000000005,3.707200000000003,83.81,2,4,3,4369,property_matched
C5W4D_034,O=C(CCNC(=O)c1ccc(Cl)cc1)Nn1cnc2scc(-c3ccco3)c2c1=O,0.14285714285714285,442.8840000000002,3.2616000000000014,106.23000000000002,2,6,6,141,property_matched
C5W4D_035,CN(C)c1cc(NC(=O)Nc2ccc3c(c2)CCN3C(=O)c2cccnc2)cc(C(F)(F)F)c1,0.16666666666666666,469.4670000000001,5.013300000000004,77.57000000000001,2,4,4,3683,property_matched
C5W4D_036,N=C(NC1=NC2=Nc3ccc(Br)cc3C2=N1)N(c1ccccc1)c1ccccc1,0.09473684210526316,443.3080000000001,5.014070000000003,76.2,2,4,2,4090,property_matched
C5W4D_037,CC(=O)Nc1ccc(CC(=O)Nc2nc(-c3ccc4c(c3)CCCC4)cs2)cc1,0.20652173913043478,405.5230000000002,4.828500000000004,71.09,2,4,5,2843,property_matched
C5W4D_038,O=C(Nc1cccc(S(=O)(=O)NCc2ccco2)c1)c1cc(-c2cccnc2)on1,0.1839080459770115,424.4380000000001,3.0604000000000013,127.33,2,7,7,3118,property_matched
C5W4D_039,Cc1ccc(CSc2nc3c(c(=O)[nH]2)C(C(C)C)C2=C(CC(C)(C)CC2=O)N3)c(C)c1,0.09803921568627451,437.6090000000003,5.487340000000004,74.85,2,5,4,3704,property_matched
C5W4D_040,CCOC(=O)c1[nH]c2ccc(Cl)cc2c1NC(=O)C1(c2ccc(C)cc2)CC1,0.15476190476190477,396.8740000000002,4.976720000000003,71.19,2,3,5,198,property_matched
