subset,ligand_id,seed,status,sdf
decoys,C5W4D_001,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_001_out.sdf
decoys,C5W4D_002,42,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_002_out.sdf
decoys,C5W4D_002,43,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_002_out.sdf
decoys,C5W4D_002,44,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_002_out.sdf
decoys,C5W4D_001,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_001_out.sdf
decoys,C5W4D_003,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_003_out.sdf
decoys,C5W4D_003,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_003_out.sdf
decoys,C5W4D_003,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_003_out.sdf
decoys,C5W4D_004,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_004_out.sdf
decoys,C5W4D_004,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_004_out.sdf
decoys,C5W4D_004,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_004_out.sdf
decoys,C5W4D_005,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_005_out.sdf
decoys,C5W4D_005,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_005_out.sdf
decoys,C5W4D_005,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_005_out.sdf
decoys,C5W4D_006,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_006_out.sdf
decoys,C5W4D_006,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_006_out.sdf
decoys,C5W4D_006,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_006_out.sdf
decoys,C5W4D_007,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_007_out.sdf
decoys,C5W4D_007,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_007_out.sdf
decoys,C5W4D_008,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_008_out.sdf
decoys,C5W4D_007,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_007_out.sdf
decoys,C5W4D_008,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_008_out.sdf
decoys,C5W4D_008,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_008_out.sdf
decoys,C5W4D_009,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_009_out.sdf
decoys,C5W4D_009,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_009_out.sdf
decoys,C5W4D_009,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_009_out.sdf
decoys,C5W4D_010,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_010_out.sdf
decoys,C5W4D_010,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_010_out.sdf
decoys,C5W4D_010,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_010_out.sdf
decoys,C5W4D_011,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_011_out.sdf
decoys,C5W4D_011,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_011_out.sdf
decoys,C5W4D_012,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_012_out.sdf
decoys,C5W4D_011,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_011_out.sdf
decoys,C5W4D_012,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_012_out.sdf
decoys,C5W4D_012,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_012_out.sdf
decoys,C5W4D_013,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_013_out.sdf
decoys,C5W4D_013,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_013_out.sdf
decoys,C5W4D_013,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_013_out.sdf
decoys,C5W4D_014,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_014_out.sdf
decoys,C5W4D_014,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_014_out.sdf
decoys,C5W4D_014,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_014_out.sdf
decoys,C5W4D_015,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_015_out.sdf
decoys,C5W4D_015,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_015_out.sdf
decoys,C5W4D_015,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_015_out.sdf
decoys,C5W4D_016,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_016_out.sdf
decoys,C5W4D_016,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_016_out.sdf
decoys,C5W4D_016,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_016_out.sdf
decoys,C5W4D_017,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_017_out.sdf
decoys,C5W4D_017,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_017_out.sdf
decoys,C5W4D_018,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_018_out.sdf
decoys,C5W4D_017,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_017_out.sdf
decoys,C5W4D_018,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_018_out.sdf
decoys,C5W4D_018,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_018_out.sdf
decoys,C5W4D_019,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_019_out.sdf
decoys,C5W4D_019,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_019_out.sdf
decoys,C5W4D_019,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_019_out.sdf
decoys,C5W4D_020,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_020_out.sdf
decoys,C5W4D_020,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_020_out.sdf
decoys,C5W4D_020,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_020_out.sdf
decoys,C5W4D_021,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_021_out.sdf
decoys,C5W4D_021,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_021_out.sdf
decoys,C5W4D_022,42,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_022_out.sdf
decoys,C5W4D_022,43,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_022_out.sdf
decoys,C5W4D_022,44,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_022_out.sdf
decoys,C5W4D_021,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_021_out.sdf
decoys,C5W4D_023,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_023_out.sdf
decoys,C5W4D_023,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_023_out.sdf
decoys,C5W4D_023,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_023_out.sdf
decoys,C5W4D_024,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_024_out.sdf
decoys,C5W4D_024,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_024_out.sdf
decoys,C5W4D_025,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_025_out.sdf
decoys,C5W4D_024,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_024_out.sdf
decoys,C5W4D_025,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_025_out.sdf
decoys,C5W4D_026,42,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_026_out.sdf
decoys,C5W4D_026,43,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_026_out.sdf
decoys,C5W4D_026,44,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_026_out.sdf
decoys,C5W4D_027,42,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_027_out.sdf
decoys,C5W4D_027,43,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_027_out.sdf
decoys,C5W4D_027,44,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_027_out.sdf
decoys,C5W4D_025,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_025_out.sdf
decoys,C5W4D_028,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_028_out.sdf
decoys,C5W4D_028,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_028_out.sdf
decoys,C5W4D_029,42,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_029_out.sdf
decoys,C5W4D_029,43,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_029_out.sdf
decoys,C5W4D_029,44,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_029_out.sdf
decoys,C5W4D_028,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_028_out.sdf
decoys,C5W4D_030,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_030_out.sdf
decoys,C5W4D_030,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_030_out.sdf
decoys,C5W4D_030,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_030_out.sdf
decoys,C5W4D_031,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_031_out.sdf
decoys,C5W4D_031,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_031_out.sdf
decoys,C5W4D_031,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_031_out.sdf
decoys,C5W4D_032,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_032_out.sdf
decoys,C5W4D_032,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_032_out.sdf
decoys,C5W4D_032,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_032_out.sdf
decoys,C5W4D_033,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_033_out.sdf
decoys,C5W4D_033,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_033_out.sdf
decoys,C5W4D_033,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_033_out.sdf
decoys,C5W4D_034,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_034_out.sdf
decoys,C5W4D_034,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_034_out.sdf
