target,exhaustiveness,seed,rmsd_mode1,rmsd_best_of_9,best_of_9_mode,pass_mode1_lt2,pass_best_of_9_lt2,rmsd_rtm_best,rtm_best_mode
3POZ,8,20260727,9.483,0.955,5,False,True,,
3RCD,8,20260727,1.941,1.941,1,True,True,,
3POZ,16,20260727,9.444,1.004,6,False,True,,
3RCD,16,20260727,1.848,1.848,1,True,True,,
3POZ,32,20260727,9.525,1.038,6,False,True,,
3RCD,32,20260727,1.848,1.267,3,True,True,,
