experiment,target,ligand_id,exhaustiveness,seed,mode,vina_score,pose_path
A,3POZ,EH40_01,8,20260727,1,-10.692,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_01/mode_01.pdbqt
A,3POZ,EH40_01,8,20260727,2,-10.208,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_01/mode_02.pdbqt
A,3POZ,EH40_01,8,20260727,3,-10.187,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_01/mode_03.pdbqt
A,3POZ,EH40_01,8,20260727,4,-10.12,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_01/mode_04.pdbqt
A,3POZ,EH40_01,8,20260727,5,-10.049,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_01/mode_05.pdbqt
A,3POZ,EH40_01,8,20260727,6,-9.868,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_01/mode_06.pdbqt
A,3POZ,EH40_01,8,20260727,7,-9.845,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_01/mode_07.pdbqt
A,3POZ,EH40_01,8,20260727,8,-9.587,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_01/mode_08.pdbqt
A,3POZ,EH40_01,8,20260727,9,-9.444,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_01/mode_09.pdbqt
A,3POZ,EH40_02,8,20260727,1,-10.674,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_02/mode_01.pdbqt
A,3POZ,EH40_02,8,20260727,2,-10.36,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_02/mode_02.pdbqt
A,3POZ,EH40_02,8,20260727,3,-10.265,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_02/mode_03.pdbqt
A,3POZ,EH40_02,8,20260727,4,-10.186,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_02/mode_04.pdbqt
A,3POZ,EH40_02,8,20260727,5,-10.162,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_02/mode_05.pdbqt
A,3POZ,EH40_02,8,20260727,6,-10.027,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_02/mode_06.pdbqt
A,3POZ,EH40_02,8,20260727,7,-9.983,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_02/mode_07.pdbqt
A,3POZ,EH40_02,8,20260727,8,-9.976,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_02/mode_08.pdbqt
A,3POZ,EH40_02,8,20260727,9,-9.648,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_02/mode_09.pdbqt
A,3POZ,EH40_05,8,20260727,1,-10.125,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_05/mode_01.pdbqt
A,3POZ,EH40_05,8,20260727,2,-9.668,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_05/mode_02.pdbqt
A,3POZ,EH40_05,8,20260727,3,-9.507,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_05/mode_03.pdbqt
