ligand_id,3POZ_affinity,3RCD_affinity,vina_mean_mode1_hb_asrun,vina_mode1_rank_asrun_subset8,vina_mode1_rank_fixedseed_E8_subset8
EH40_04,-11.968,-11.632,11.8,1,2
EH40_18,-11.17,-12.292,11.731,2,1
EH40_23,-11.292,-10.764,11.027999999999999,3,3
EH40_02,-10.799,-10.571,10.684999999999999,4,4
EH40_09,-11.011,-9.963,10.486999999999998,5,6
EH40_01,-10.605,-9.745,10.175,6,5
EH40_03,-10.133,-10.215,10.174,7,7
EH40_05,-10.098,-9.98,10.039000000000001,8,8
