ligand,gnina_cnn_4L23,gnina_aff_4L23,gnina_cnn_4JT6,gnina_aff_4JT6
PM48_34,0.8435883522,8.1891679764,0.4818203747,7.4895186424
PM48_35,0.799452126,7.5549283028,0.9110450745,7.7485585213
PM48_36,0.4781777263,7.1981506348,0.679153204,7.7931113243
PM48_37,0.0397394076,5.1161646843,0.0189900622,4.7600932121
PM48_38,0.914253056,7.9524617195,0.9514246583,8.2744932175
PM48_39,0.1137549803,5.6071381569,0.1352520287,5.9413261414
PM48_40,0.1873476505,6.29926157,0.6878516674,7.1163787842
PM48_41,0.4693492651,7.1459746361,0.1057445481,5.6764378548
PM48_42,0.2425189018,6.6813464165,0.3073055446,6.2939891815
PM48_43,0.327662766,6.9382591248,0.9517967105,8.3572912216
PM48_44,0.2376830876,6.5059027672,0.5296139717,7.1718425751
PM48_45,0.6303679943,6.2545790672,0.680452466,6.4763755798
PM48_46,0.20024845,6.4888510704,0.2308239043,6.4582080841
PM48_47,0.5195754766,6.4525542259,0.862677753,7.0175070763
PM48_48,0.3816023469,6.5759329796,0.450930655,6.6423678398
