ligand,target,vina_best,status
PM48_46,4L23,-8.583,ok
PM48_46,4JT6,-9.174,ok
PM48_47,4L23,-7.99,ok
PM48_47,4JT6,-8.408,ok
PM48_48,4L23,-8.535,ok
PM48_48,4JT6,-8.14,ok
PM110_049,4L23,-8.511,ok
PM110_049,4JT6,-8.8,ok
PM110_050,4L23,-10.12,ok
PM110_050,4JT6,-10.15,ok
PM110_051,4L23,-7.912,ok
PM110_051,4JT6,-8.947,ok
PM110_052,4L23,-9.633,ok
PM110_052,4JT6,-9.975,ok
PM110_053,4L23,-9.649,ok
PM110_053,4JT6,-9.845,ok
PM110_054,4L23,-10.43,ok
PM110_054,4JT6,-10.17,ok
PM110_055,4L23,-7.301,ok
PM110_055,4JT6,-8.15,ok
PM110_056,4L23,-8.159,ok
PM110_056,4JT6,-10.75,ok
PM110_057,4L23,-7.969,ok
PM110_057,4JT6,-8.632,ok
PM110_058,4L23,-9.536,ok
PM110_058,4JT6,-8.415,ok
PM110_059,4L23,-7.844,ok
PM110_059,4JT6,-9.436,ok
PM110_060,4L23,-8.551,ok
PM110_060,4JT6,-9.07,ok
PM110_061,4L23,-8.701,ok
PM110_061,4JT6,-8.136,ok
PM110_062,4L23,-8.439,ok
PM110_062,4JT6,-8.053,ok
PM110_063,4L23,-8.755,ok
PM110_063,4JT6,-7.886,ok
PM110_064,4L23,-9.232,ok
PM110_064,4JT6,-9.188,ok
PM110_065,4L23,-8.844,ok
PM110_065,4JT6,-8.731,ok
PM110_066,4L23,-7.058,ok
PM110_066,4JT6,-7.227,ok
PM110_067,4L23,-8.91,ok
PM110_067,4JT6,-9.111,ok
PM110_068,4L23,-8.806,ok
PM110_068,4JT6,-9.342,ok
PM110_069,4L23,-6.862,ok
PM110_069,4JT6,-6.735,ok
PM110_070,4L23,-7.486,ok
PM110_070,4JT6,-7.128,ok
PM110_071,4L23,-8.662,ok
PM110_071,4JT6,-9.398,ok
PM110_072,4L23,-8.816,ok
PM110_072,4JT6,-8.691,ok
PM110_073,4L23,-9.019,ok
PM110_073,4JT6,-8.845,ok
PM110_074,4L23,-8.629,ok
PM110_074,4JT6,-8.679,ok
PM110_075,4L23,-8.454,ok
PM110_075,4JT6,-8.662,ok
PM110_076,4L23,-6.966,ok
PM110_076,4JT6,-7.61,ok
PM110_077,4L23,-8.894,ok
PM110_077,4JT6,-8.809,ok
PM110_078,4L23,-7.593,ok
PM110_078,4JT6,-8.797,ok
PM110_079,4L23,-7.86,ok
PM110_079,4JT6,-10.28,ok
PM110_080,4L23,-9.984,ok
PM110_080,4JT6,-10.56,ok
PM110_081,4L23,-7.697,ok
PM110_081,4JT6,-8.581,ok
PM110_082,4L23,-8.125,ok
PM110_082,4JT6,-8.121,ok
PM110_083,4L23,-9.191,ok
PM110_083,4JT6,-10.16,ok
PM110_084,4L23,-7.352,ok
PM110_084,4JT6,-8.525,ok
PM110_085,4L23,-8.004,ok
PM110_085,4JT6,-8.141,ok
PM110_086,4L23,-7.88,ok
PM110_086,4JT6,-8.16,ok
PM110_087,4L23,-6.697,ok
PM110_087,4JT6,-6.916,ok
PM110_088,4L23,-8.765,ok
PM110_088,4JT6,-8.813,ok
PM110_089,4L23,-7.779,ok
PM110_089,4JT6,-7.915,ok
PM110_090,4L23,-8.694,ok
PM110_090,4JT6,-8.233,ok
PM110_091,4L23,-8.785,ok
PM110_091,4JT6,-8.857,ok
PM110_092,4L23,-9.118,ok
PM110_092,4JT6,-9.809,ok
PM110_093,4L23,-8.583,ok
PM110_093,4JT6,-9.16,ok
PM110_094,4L23,-8.552,ok
PM110_094,4JT6,-9.418,ok
PM110_095,4L23,-8.22,ok
PM110_095,4JT6,-8.722,ok
PM110_096,4L23,-7.366,ok
PM110_096,4JT6,-8.86,ok
PM110_097,4L23,-8.702,ok
PM110_097,4JT6,-9.19,ok
PM110_098,4L23,-7.927,ok
PM110_098,4JT6,-8.676,ok
PM110_099,4L23,-9.35,ok
PM110_099,4JT6,-8.589,ok
PM110_100,4L23,-7.127,ok
PM110_100,4JT6,-6.536,ok
PM110_101,4L23,-8.301,ok
PM110_101,4JT6,-7.822,ok
PM110_102,4L23,-8.531,ok
PM110_102,4JT6,-8.967,ok
