pdb,resolution_A,protein,ligand,dfg,role,url
8ELC,2.0,JNK2,YL2056/Y56,DFG-in,primary AF3 calibration / Glide receptor,https://www.rcsb.org/structure/8ELC
7N8T,1.6,JNK2,AMP,DFG-in,activation loop reference,
3E7O,2.14,JNK2,35F,DFG-in,non-covalent cross-check only,
3NPC,2.0,JNK2,BIRB796,DFG-out,exclude from covalent AF3 ranking,
3V6S,2.97,JNK3,JNK-IN-7,DFG-in,covalent overlay reference,
4WHZ,1.8,JNK3,26k,DFG-in,reversible selectivity reference,
