repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3,glide_score_xp,docking_status,pdb_id,nlrp3_glide_score_xp,nlrp3_docking_status,nlrp3_pdb_id,s_u_percentile,s_n_ml_percentile,s_n_dock_percentile,s_n_percentile,pareto_front
REP_06881,CHEMBL5095165,SELONABANT,CC(C)(C)NC(=O)N1CC(O[C@H](c2ccc(Cl)cc2)c2ccccc2C(F)(F)F)C1,BNLYOVHLLDBOFZ-LJQANCHMSA-N,440.89,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.8934403,83.84421204471691,True,,c1ccc(C(OC2CNC2)c2ccccc2)cc1,1345,-9.74425593060307,docked,9DKB,-0.345390105342808,docked,7ALV,83.9421088904204,15.71330117160579,3.652653342522394,15.71330117160579,False
REP_06852,CHEMBL5095072,MINZASOLMIN,CCCC[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cnc(N2CCN(C)CC2)s1,GDFWCSZNQVAQGR-GOSISDBHSA-N,425.6,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.69200605,82.57002043514845,True,,O=C(NCCc1c[nH]c2ccccc12)c1cnc(N2CCNCC2)s1,1451,-9.73194807224918,docked,9DKB,-1.07005842133299,docked,7ALV,83.87319090282563,8.890420399724327,5.720192970365268,8.890420399724327,False
REP_00315,CHEMBL499915,CARBENOXOLONE,CC1(C)[C@@H](OC(=O)CCC(=O)O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,OBZHEBDUNPOCJG-WBXJDKIVSA-N,570.77,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL,0.9166666,85.41892054333454,True,,O=C1C=C2C3CCCCC3CCC2C2CCC3CCCCC3C12,1212,-9.72841402017332,docked,9DKB,-5.78572749233917,docked,7ALV,83.80427291523087,24.017918676774638,79.53135768435561,79.53135768435561,False
REP_06930,CHEMBL5095506,CRICTIBANT,Cc1cc(-c2ncnn2C)c2cccc(OCc3c(Cl)cc(F)cc3[C@H](C)NC(=O)COC(F)F)c2n1,ZTCLCSCHTACERP-AWEZNQCLSA-N,533.94,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(COc2cccc3c(-c4ncn[nH]4)ccnc23)cc1,833,-9.72307792227127,docked,9DKB,-4.33286170658427,docked,7ALV,83.73535492763611,50.137835975189525,45.623707787732606,50.137835975189525,False
REP_08209,CHEMBL5316167,ARQ-736 FREE ACID,Cn1ccc(S(=O)(=O)N2CCC[C@@H](Nc3nccc(-c4c(-c5cccc(OCOP(=O)(O)O)c5)nc5occn45)n3)C2)n1,GBXJAPBXPROFPY-GOSISDBHSA-N,630.58,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=S(=O)(c1cc[nH]n1)N1CCCC(Nc2nccc(-c3c(-c4ccccc4)nc4occn34)n2)C1,508,-9.71068869289477,docked,9DKB,-9.28349400086934,docked,7ALV,83.66643694004135,50.137835975189525,99.24190213645761,99.24190213645761,False
REP_05567,CHEMBL3260771,BGC-20-1531,COc1ccc(-c2ccc(OCc3cc(C(=O)[N-]S(=O)(=O)c4ccccc4C)oc3C)cc2)nc1,IXDVRRPNWPOPGV-UHFFFAOYSA-M,491.55,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.89369,83.85623272027888,True,,O=C([N-]S(=O)(=O)c1ccccc1)c1cc(COc2ccc(-c3ccccn3)cc2)co1,1344,-9.69344315635594,docked,9DKB,-6.66844062408612,docked,7ALV,83.59751895244659,15.782219159200551,91.592005513439,91.592005513439,False
REP_01614,CHEMBL1272307,SB-649868,Cc1nc(C(=O)N2CCCC[C@H]2CNC(=O)c2cccc3occc23)c(-c2ccc(F)cc2)s1,ZJXIUGNEAIHSBI-IBGZPJMESA-N,477.56,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(NCC1CCCCN1C(=O)c1ncsc1-c1ccccc1)c1cccc2occc12,663,-9.69122491965735,docked,9DKB,-5.48881515512041,docked,7ALV,83.52860096485183,50.137835975189525,72.84631288766367,72.84631288766367,False
REP_07701,CHEMBL2180604,TAK-593,Cc1cc(C(=O)Nc2cc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)ccc2C)n(C)n1,DZFZXPPHBWCXPQ-UHFFFAOYSA-N,445.48,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.95485795,96.68229354489722,True,,O=C(Nc1cccc(Oc2ccc3nc(NC(=O)C4CC4)cn3n2)c1)c1ccn[nH]1,277,-9.68338055350301,docked,9DKB,-4.26938020022623,docked,7ALV,83.45968297725706,82.56374913852515,44.17643004824259,82.56374913852515,False
REP_08073,CHEMBL4741924,IPN-60090,CNC(=O)c1cn(C[C@H](F)CCc2ccc(NC(=O)Cc3cc(OC4CC(F)(F)C4)cc(C)n3)nn2)nn1,GEHZIZWHNLQFAS-OAHLLOKOSA-N,532.53,1.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C(Cc1cc(OC2CCC2)ccn1)Nc1ccc(CCCCn2ccnn2)nn1,273,-9.68022225364994,docked,9DKB,-5.69398998564633,docked,7ALV,83.3907649896623,91.38525155065473,77.60165403170227,91.38525155065473,False
REP_00288,CHEMBL408,TROGLITAZONE,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,GXPHKUHSUJUWKP-UHFFFAOYSA-N,441.55,4.0,,False,True,True,primary_atc_phase,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C1NC(=O)C(Cc2ccc(OCC3CCc4ccccc4O3)cc2)S1,939,-9.68004449554711,docked,9DKB,-4.05920854909285,docked,7ALV,83.32184700206754,50.137835975189525,39.007580978635424,50.137835975189525,False
