pair,ligand,molecule_chembl_id,historical_class,historical_pA,historical_pB,n_act_A,n_act_B,max_A,median_A,max_B,median_B,class_max,class_median,activity_eligible,activity_status,class_flip_vs_historical,pA_changed,pB_changed
AChE/BChE,AB_001,CHEMBL3099499,dual,8.3,7.21,0,0,8.3,,7.21,,dual,,1,panel_pchembl_no_audit_rows,0,0,0
AChE/BChE,AB_002,CHEMBL4464883,dual,8.0,6.8,1,1,8.0,8.0,6.8,6.8,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_003,CHEMBL309667,dual,7.96,8.62,1,1,7.96,7.96,8.62,8.62,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_004,CHEMBL3216777,dual,8.88,6.88,1,1,8.88,8.88,6.88,6.88,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_005,CHEMBL3326699,dual,7.35,7.53,1,1,7.35,7.35,7.53,7.53,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_006,CHEMBL557405,dual,8.17,7.6,1,1,8.17,8.17,7.6,7.6,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_007,CHEMBL374981,dual,8.29,8.86,1,1,8.29,8.29,8.86,8.86,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_008,CHEMBL189906,dual,7.52,7.23,1,1,7.52,7.52,7.23,7.23,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_009,CHEMBL6151573,dual,6.8,7.15,1,1,6.8,6.8,7.15,7.15,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_010,CHEMBL4749805,dual,6.84,6.81,1,1,6.84,6.84,6.81,6.81,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_011,CHEMBL4781117,dual,6.51,6.67,1,1,6.51,6.51,6.67,6.67,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_012,CHEMBL4212275,dual,7.33,7.91,1,1,7.33,7.33,7.91,7.91,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_013,CHEMBL80221,dual,6.79,7.66,1,1,6.79,6.79,7.66,7.66,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_014,CHEMBL4866930,dual,8.74,7.5,1,1,8.74,8.74,7.5,7.5,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_015,CHEMBL2064464,dual,9.5,7.2,3,1,9.5,9.42,7.2,7.2,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_016,CHEMBL273051,dual,7.45,7.82,1,1,7.45,7.45,7.82,7.82,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_017,CHEMBL3753850,dual,7.61,7.99,1,1,7.61,7.61,7.99,7.99,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_018,CHEMBL659,dual,7.21,7.29,42,30,7.21,5.855,7.29,4.984999999999999,dual,neither,1,both_arms_present,0,0,0
AChE/BChE,AB_019,CHEMBL3642049,dual,8.34,9.6,1,1,8.34,8.34,9.6,9.6,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_020,CHEMBL334395,dual,6.52,7.0,1,1,6.52,6.52,7.0,7.0,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_021,CHEMBL4535585,dual,7.0,7.13,1,1,7.0,7.0,7.13,7.13,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_022,CHEMBL2019044,dual,9.0,8.82,1,1,9.0,9.0,8.82,8.82,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_023,CHEMBL4207101,dual,8.12,8.63,3,1,8.12,8.01,8.63,8.63,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_024,CHEMBL5276955,dual,7.96,7.26,1,1,7.96,7.96,7.26,7.26,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_025,CHEMBL6150640,dual,6.85,7.44,1,1,6.85,6.85,7.44,7.44,dual,dual,1,both_arms_present,0,0,0
