pair,ligand,molecule_chembl_id,target_chembl_id,document_chembl_id,assay_chembl_id,pchembl_value,standard_type,assay_type,reason
EGFR/HER2,EH120_066,CHEMBL288441,CHEMBL1824,CHEMBL1134270,CHEMBL674539,5.58,IC50,F,machine_human_exclude
EGFR/HER2,EH120_059,CHEMBL305194,CHEMBL1824,CHEMBL1134862,CHEMBL615491,4.31,IC50,F,source_adjudication
EGFR/HER2,EH40_05,CHEMBL483321,CHEMBL1824,CHEMBL5445981,CHEMBL5445982,7.5,IC50,B,machine_human_exclude
AChE/BChE,AB_087,CHEMBL344593,CHEMBL1914,CHEMBL1145898,CHEMBL651728,5.39,IC50,B,machine_human_exclude
AChE/BChE,AB_087,CHEMBL344593,CHEMBL1914,CHEMBL1145898,CHEMBL654391,5.47,Ki,B,machine_human_exclude
PIK3CA/mTOR,PM48_05,CHEMBL521851,CHEMBL2842,CHEMBL4373732,CHEMBL4376361,8.52,IC50,B,source_adjudication
PIK3CA/mTOR,PM48_22,CHEMBL2396661,CHEMBL2842,CHEMBL4765307,CHEMBL4769547,5.83,IC50,A,source_adjudication
PIK3CA/mTOR,PM48_04,CHEMBL1879463,CHEMBL2842,CHEMBL5500428,CHEMBL5505639,8.37,IC50,B,source_adjudication
PIK3CA/mTOR,PM48_04,CHEMBL1879463,CHEMBL4005,CHEMBL5500428,CHEMBL5505638,8.85,IC50,B,source_adjudication
PIK3CA/mTOR,PM48_05,CHEMBL521851,CHEMBL4005,CHEMBL4373732,CHEMBL4376366,7.48,IC50,B,source_adjudication
PIK3CA/mTOR,PM48_05,CHEMBL521851,CHEMBL4005,CHEMBL5214883,CHEMBL5215112,10.0,IC50,B,source_adjudication
