repurposing_id,name,chembl_id,canonical_smiles,mw,rot_bonds,tpsa,max_phase,ligand_prep_status,si_reason
REP_06261,BRANAPLAM,CHEMBL4290141,CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,393.49,4,95.95,2.0,prepared,not_in_dual_success_merge+dock_logs_unavailable
REP_07719,SAR-405838,CHEMBL2381408,CC(C)(C)C[C@@H]1N[C@@H](C(=O)N[C@H]2CC[C@H](O)CC2)[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12,562.51,4,90.46000000000001,1.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_06989,BAY1067197,CHEMBL5314392,C[C@H](N)C(=O)N[C@@H](C)C(=O)OCCOc1ccc(-c2c(C#N)c(SCc3csc(-c4ccc(Cl)cc4)n3)nc(N3CCCC3)c2C#N)cc1,716.29,13,167.25,2.0,prepared,not_in_dual_success_merge+mw_gt_550+rotb_gt_10+dock_logs_unavailable
REP_07738,CIAFTALAN,CHEMBL262101,c1ccc2c(c1)-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1ccccc41)-c1ccccc1-3)c1ccccc21,514.55,0,108.92,1.0,prepared,not_in_dual_success_merge+dock_logs_unavailable
REP_07318,LECUFEXOR,CHEMBL6068057,O=C(O)c1cc(C#Cc2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)cc2Cl)cc2nc(C3CC3)oc12,619.89,7,98.59,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_00642,BEMOTRIZINOL,CHEMBL2104956,CCCCC(CC)COc1ccc(-c2nc(-c3ccc(OC)cc3)nc(-c3ccc(OCC(CC)CCCC)cc3O)n2)c(O)c1,627.83,18,106.82000000000001,3.0,prepared,not_in_dual_success_merge+mw_gt_550+rotb_gt_10+dock_logs_unavailable
REP_08189,ENT-03,CHEMBL5314916,CC(CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@@H](NCCCNCCCCNCCCN)CC[C@]4(C)[C@H]3CC[C@]12C)C(=O)O,618.99,19,119.64,1.0,prepared,not_in_dual_success_merge+mw_gt_550+rotb_gt_10+dock_logs_unavailable
REP_01141,PHOSPHATIDYLCHOLINE,CHEMBL503481,CCCCCCCCCCCCCCSCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CSCCCCCCCCCCCCCC,798.19,40,111.19,3.0,embed_fail,ligand_prep_fail:embed_fail
REP_05481,DELEOBUVIR SODIUM,CHEMBL3137315,Cn1c(C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Br)cn5)n(C)c4c3)CCC2)nc2ccc(/C=C/C(=O)[O-])cc21,652.57,7,117.76000000000002,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_02135,ETIOPURPURIN,CHEMBL173930,CCOC(=O)C1=Cc2c3nc(cc4nc(cc5[nH]c(cc6[nH]c2c(C)c6CC)c(C)c5CC)C(C)=C4CC)C(C)C13CC,576.79,6,83.66,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
