job,title,status,n_poses,best_r_i_glide_gscore,best_r_i_docking_score,best_r_i_glide_emodel,best_r_i_glide_energy,top3mean_r_i_glide_gscore,compound_id,group,anchor,compound_name
000000,JNK-IN-8,Done,9,-10.067,-9.71733,-109.792,-68.1208,-9.743663333333332,ACT003,active,JNK-IN-8,JNK-IN-8
000001,56d,Done,9,-7.21808,-7.21808,-84.1686,-63.217,-6.87483,ACT004,active,56d,56d
000002,YL5084,Done,9,-7.55457,-7.2049,-88.8212,-60.9382,-7.455819999999999,ACT001,active,YL5084,YL5084
000003,DEC_56d_001,Done,8,-7.09933,-7.09933,-68.036,-50.0028,-6.673533333333334,DEC_56d_001,decoy,56d,DEC_56d_001
000004,DEC_56d_002,Done,10,-6.41522,-6.41522,-62.9222,-47.1198,-6.2209433333333335,DEC_56d_002,decoy,56d,DEC_56d_002
000005,DEC_56d_003,Done,10,-6.42755,-6.42755,-61.2109,-52.1355,-5.657653333333333,DEC_56d_003,decoy,56d,DEC_56d_003
000006,DEC_56d_004,Done,9,-6.48805,-6.48805,-71.4409,-52.7177,-6.370583333333333,DEC_56d_004,decoy,56d,DEC_56d_004
000007,DEC_56d_005,Done,10,-5.2394,-5.2394,-64.8651,-50.8841,-5.179056666666667,DEC_56d_005,decoy,56d,DEC_56d_005
000008,DEC_56d_006,Done,10,-6.86219,-6.86219,-70.3569,-53.1538,-6.51624,DEC_56d_006,decoy,56d,DEC_56d_006
000009,DEC_56d_007,Done,9,-8.203,-8.203,-77.2117,-54.1087,-7.817733333333333,DEC_56d_007,decoy,56d,DEC_56d_007
000010,DEC_56d_008,Done,8,-8.14009,-8.14009,-73.1981,-50.1251,-7.070736666666666,DEC_56d_008,decoy,56d,DEC_56d_008
000011,DEC_56d_009,Done,7,-7.48743,-7.48743,-77.9334,-60.886,-7.337796666666667,DEC_56d_009,decoy,56d,DEC_56d_009
000012,DEC_56d_010,Done,8,-5.47385,-5.47385,-52.4621,-44.0205,-5.2524999999999995,DEC_56d_010,decoy,56d,DEC_56d_010
000013,DEC_56d_011,Done,10,-6.71469,-6.71469,-68.6203,-52.3359,-6.577206666666666,DEC_56d_011,decoy,56d,DEC_56d_011
000014,DEC_56d_012,Done,7,-5.64867,-5.18989,-54.8429,-39.624,-5.531960000000001,DEC_56d_012,decoy,56d,DEC_56d_012
