job,title,status,n_poses,best_r_i_glide_gscore,best_r_i_docking_score,best_r_i_glide_emodel,best_r_i_glide_energy,top3mean_r_i_glide_gscore,compound_id,group,anchor,compound_name
000141,DEC_YL5084_039,Done,10,-8.74046,-8.74046,-79.0289,-54.4998,-8.275056666666666,DEC_YL5084_039,decoy,YL5084,DEC_YL5084_039
000064,DEC_JNKIN8_012,Done,10,-8.64997,-8.64997,-88.4558,-63.194,-6.7506699999999995,DEC_JNKIN8_012,decoy,JNK-IN-8,DEC_JNKIN8_012
000016,DEC_56d_014,Done,9,-8.29752,-8.29752,-78.8913,-55.0732,-7.639996666666666,DEC_56d_014,decoy,56d,DEC_56d_014
000009,DEC_56d_007,Done,9,-8.203,-8.203,-77.2117,-54.1087,-7.817733333333333,DEC_56d_007,decoy,56d,DEC_56d_007
000010,DEC_56d_008,Done,8,-8.14009,-8.14009,-73.1981,-50.1251,-7.070736666666666,DEC_56d_008,decoy,56d,DEC_56d_008
000083,DEC_JNKIN8_031,Done,10,-7.89875,-7.89875,-70.4296,-52.0702,-7.485473333333334,DEC_JNKIN8_031,decoy,JNK-IN-8,DEC_JNKIN8_031
000017,DEC_56d_015,Done,7,-7.81424,-7.77893,-69.0704,-50.8134,-7.13805,DEC_56d_015,decoy,56d,DEC_56d_015
000022,DEC_56d_020,Done,9,-7.59756,-7.59756,-71.6653,-50.2129,-7.560536666666667,DEC_56d_020,decoy,56d,DEC_56d_020
000018,DEC_56d_016,Done,9,-7.5536,-7.5536,-73.3038,-51.4222,-7.353613333333333,DEC_56d_016,decoy,56d,DEC_56d_016
000028,DEC_56d_026,Done,8,-7.53835,-7.53835,-69.9617,-52.2677,-6.537016666666666,DEC_56d_026,decoy,56d,DEC_56d_026
000030,DEC_56d_028,Done,10,-7.50293,-7.50293,-66.3288,-50.6598,-7.166899999999999,DEC_56d_028,decoy,56d,DEC_56d_028
000011,DEC_56d_009,Done,7,-7.48743,-7.48743,-77.9334,-60.886,-7.337796666666667,DEC_56d_009,decoy,56d,DEC_56d_009
000034,DEC_56d_032,Done,9,-7.41201,-7.41201,-70.5908,-50.2362,-7.314420000000001,DEC_56d_032,decoy,56d,DEC_56d_032
000088,DEC_JNKIN8_036,Done,10,-7.37695,-7.37695,-77.794,-55.6311,-7.311979999999999,DEC_JNKIN8_036,decoy,JNK-IN-8,DEC_JNKIN8_036
