job,title,status,n_poses,best_r_i_glide_gscore,best_r_i_docking_score,best_r_i_glide_emodel,best_r_i_glide_energy,top3mean_r_i_glide_gscore,compound_id,group,anchor,compound_name,gscore_rank,mpae_token,iptm,mpae_rank,glide_rank
000000,JNK-IN-8,Done,9,-10.067,-9.71733,-109.792,-68.1208,-9.743663333333332,ACT003,active,JNK-IN-8,JNK-IN-8,1,0.8,0.96,1.0,1.0
000141,DEC_YL5084_039,Done,10,-8.74046,-8.74046,-79.0289,-54.4998,-8.275056666666666,DEC_YL5084_039,decoy,YL5084,DEC_YL5084_039,2,2.0,0.83,25.0,2.0
000064,DEC_JNKIN8_012,Done,10,-8.64997,-8.64997,-88.4558,-63.194,-6.7506699999999995,DEC_JNKIN8_012,decoy,JNK-IN-8,DEC_JNKIN8_012,3,2.0,0.76,25.0,3.0
000146,YL2056,Done,10,-8.63668,-8.28702,-101.053,-68.387,-8.26836,ACT002,active,YL5084,YL2056,4,0.9,0.88,2.0,4.0
000016,DEC_56d_014,Done,9,-8.29752,-8.29752,-78.8913,-55.0732,-7.639996666666666,DEC_56d_014,decoy,56d,DEC_56d_014,5,1.6,0.89,12.0,5.0
000009,DEC_56d_007,Done,9,-8.203,-8.203,-77.2117,-54.1087,-7.817733333333333,DEC_56d_007,decoy,56d,DEC_56d_007,6,2.3,0.61,86.0,6.0
000010,DEC_56d_008,Done,8,-8.14009,-8.14009,-73.1981,-50.1251,-7.070736666666666,DEC_56d_008,decoy,56d,DEC_56d_008,7,2.3,0.62,86.0,7.0
000083,DEC_JNKIN8_031,Done,10,-7.89875,-7.89875,-70.4296,-52.0702,-7.485473333333334,DEC_JNKIN8_031,decoy,JNK-IN-8,DEC_JNKIN8_031,8,1.6,0.89,12.0,8.0
000017,DEC_56d_015,Done,7,-7.81424,-7.77893,-69.0704,-50.8134,-7.13805,DEC_56d_015,decoy,56d,DEC_56d_015,9,2.2,0.7,47.0,9.0
000022,DEC_56d_020,Done,9,-7.59756,-7.59756,-71.6653,-50.2129,-7.560536666666667,DEC_56d_020,decoy,56d,DEC_56d_020,10,2.2,0.61,47.0,10.0
000002,YL5084,Done,9,-7.55457,-7.2049,-88.8212,-60.9382,-7.455819999999999,ACT001,active,YL5084,YL5084,11,0.9,0.91,2.0,11.0
000018,DEC_56d_016,Done,9,-7.5536,-7.5536,-73.3038,-51.4222,-7.353613333333333,DEC_56d_016,decoy,56d,DEC_56d_016,12,2.3,0.56,86.0,12.0
000028,DEC_56d_026,Done,8,-7.53835,-7.53835,-69.9617,-52.2677,-6.537016666666666,DEC_56d_026,decoy,56d,DEC_56d_026,13,2.4,0.75,131.0,13.0
000030,DEC_56d_028,Done,10,-7.50293,-7.50293,-66.3288,-50.6598,-7.166899999999999,DEC_56d_028,decoy,56d,DEC_56d_028,14,2.1,0.84,34.0,14.0
000011,DEC_56d_009,Done,7,-7.48743,-7.48743,-77.9334,-60.886,-7.337796666666667,DEC_56d_009,decoy,56d,DEC_56d_009,15,2.3,0.65,86.0,15.0
000034,DEC_56d_032,Done,9,-7.41201,-7.41201,-70.5908,-50.2362,-7.314420000000001,DEC_56d_032,decoy,56d,DEC_56d_032,16,1.3,0.94,5.0,16.0
000088,DEC_JNKIN8_036,Done,10,-7.37695,-7.37695,-77.794,-55.6311,-7.311979999999999,DEC_JNKIN8_036,decoy,JNK-IN-8,DEC_JNKIN8_036,17,2.3,0.68,86.0,17.0
000001,56d,Done,9,-7.21808,-7.21808,-84.1686,-63.217,-6.87483,ACT004,active,56d,56d,18,0.9,0.97,2.0,18.0
000136,DEC_YL5084_034,Done,9,-7.20447,-7.14788,-73.7525,-58.4574,-6.888886666666667,DEC_YL5084_034,decoy,YL5084,DEC_YL5084_034,19,1.8,0.86,19.0,19.0
000121,DEC_YL5084_019,Done,10,-7.17127,-7.11142,-66.6097,-49.6509,-6.89881,DEC_YL5084_019,decoy,YL5084,DEC_YL5084_019,20,2.4,0.57,131.0,20.0
000055,DEC_JNKIN8_003,Done,10,-7.17101,-7.17101,-79.9476,-59.2361,-6.684079999999999,DEC_JNKIN8_003,decoy,JNK-IN-8,DEC_JNKIN8_003,21,1.7,0.9,15.0,21.0
000134,DEC_YL5084_032,Done,8,-7.15593,-7.15593,-69.9835,-52.2774,-5.96798,DEC_YL5084_032,decoy,YL5084,DEC_YL5084_032,22,2.3,0.71,86.0,22.0
000082,DEC_JNKIN8_030,Done,7,-7.15182,-7.15182,-68.223,-53.2721,-6.382363333333333,DEC_JNKIN8_030,decoy,JNK-IN-8,DEC_JNKIN8_030,23,1.5,0.9,7.0,23.0
000033,DEC_56d_031,Done,10,-7.14363,-7.14363,-66.2779,-48.9633,-6.905819999999999,DEC_56d_031,decoy,56d,DEC_56d_031,24,1.7,0.86,15.0,24.0
000126,DEC_YL5084_024,Done,9,-7.10113,-7.10113,-76.0052,-56.0516,-6.499186666666667,DEC_YL5084_024,decoy,YL5084,DEC_YL5084_024,25,2.0,0.8,25.0,25.0
000003,DEC_56d_001,Done,8,-7.09933,-7.09933,-68.036,-50.0028,-6.673533333333334,DEC_56d_001,decoy,56d,DEC_56d_001,26,2.4,0.63,131.0,26.0
000077,DEC_JNKIN8_025,Done,10,-7.05188,-7.05188,-71.9414,-54.8803,-6.952089999999999,DEC_JNKIN8_025,decoy,JNK-IN-8,DEC_JNKIN8_025,27,2.3,0.74,86.0,27.0
000049,DEC_56d_047,Done,10,-6.9914,-6.9914,-67.3676,-57.4557,-6.125753333333333,DEC_56d_047,decoy,56d,DEC_56d_047,28,2.3,0.63,86.0,28.0
000068,DEC_JNKIN8_016,Done,10,-6.98917,-6.98917,-69.8246,-51.2744,-6.595653333333334,DEC_JNKIN8_016,decoy,JNK-IN-8,DEC_JNKIN8_016,29,2.3,0.78,86.0,29.0
000041,DEC_56d_039,Done,9,-6.9583,-6.9583,-73.2035,-53.7382,-6.668183333333334,DEC_56d_039,decoy,56d,DEC_56d_039,30,2.4,0.65,131.0,30.0
000044,DEC_56d_042,Done,10,-6.93705,-6.93705,-68.5935,-51.7994,-6.7811200000000005,DEC_56d_042,decoy,56d,DEC_56d_042,31,2.0,0.82,25.0,31.0
000032,DEC_56d_030,Done,9,-6.91116,-6.91116,-68.8981,-54.3824,-6.754073333333333,DEC_56d_030,decoy,56d,DEC_56d_030,32,2.2,0.7,47.0,32.0
000109,DEC_YL5084_007,Done,10,-6.90605,-6.90605,-74.814,-55.591,-6.699120000000001,DEC_YL5084_007,decoy,YL5084,DEC_YL5084_007,33,2.2,0.79,47.0,33.0
000122,DEC_YL5084_020,Done,9,-6.90496,-6.90496,-74.9607,-55.9909,-6.373670000000001,DEC_YL5084_020,decoy,YL5084,DEC_YL5084_020,34,1.6,0.87,12.0,34.0
000133,DEC_YL5084_031,Done,10,-6.89097,-6.89097,-64.6995,-49.6311,-6.673963333333333,DEC_YL5084_031,decoy,YL5084,DEC_YL5084_031,35,2.2,0.59,47.0,35.0
000008,DEC_56d_006,Done,10,-6.86219,-6.86219,-70.3569,-53.1538,-6.51624,DEC_56d_006,decoy,56d,DEC_56d_006,36,2.4,0.67,131.0,36.0
000071,DEC_JNKIN8_019,Done,9,-6.7628,-6.7628,-66.0047,-48.2469,-6.640776666666667,DEC_JNKIN8_019,decoy,JNK-IN-8,DEC_JNKIN8_019,37,2.0,0.85,25.0,37.0
000095,DEC_JNKIN8_043,Done,10,-6.76231,-6.76231,-67.7693,-52.8563,-5.919533333333334,DEC_JNKIN8_043,decoy,JNK-IN-8,DEC_JNKIN8_043,38,2.1,0.8,34.0,38.0
000046,DEC_56d_044,Done,10,-6.75896,-6.75896,-65.2445,-48.3506,-6.561036666666666,DEC_56d_044,decoy,56d,DEC_56d_044,39,1.3,0.88,5.0,39.0
000048,DEC_56d_046,Done,9,-6.73928,-6.73928,-68.3991,-50.4895,-6.497306666666667,DEC_56d_046,decoy,56d,DEC_56d_046,40,1.5,0.85,7.0,40.0
000020,DEC_56d_018,Done,10,-6.72316,-6.72316,-64.9688,-50.2147,-6.424703333333333,DEC_56d_018,decoy,56d,DEC_56d_018,41,1.5,0.91,7.0,41.0
000013,DEC_56d_011,Done,10,-6.71469,-6.71469,-68.6203,-52.3359,-6.577206666666666,DEC_56d_011,decoy,56d,DEC_56d_011,42,2.3,0.7,86.0,42.0
000081,DEC_JNKIN8_029,Done,8,-6.71388,-6.71388,-65.6263,-50.259,-6.561023333333334,DEC_JNKIN8_029,decoy,JNK-IN-8,DEC_JNKIN8_029,43,2.2,0.61,47.0,43.0
000042,DEC_56d_040,Done,10,-6.66923,-6.66923,-67.115,-51.3823,-5.937793333333333,DEC_56d_040,decoy,56d,DEC_56d_040,44,2.2,0.64,47.0,44.0
000063,DEC_JNKIN8_011,Done,10,-6.6469,-6.6469,-73.5693,-55.4251,-6.19022,DEC_JNKIN8_011,decoy,JNK-IN-8,DEC_JNKIN8_011,45,2.0,0.69,25.0,45.0
000127,DEC_YL5084_025,Done,10,-6.54082,-6.54082,-67.8486,-51.3196,-6.333096666666667,DEC_YL5084_025,decoy,YL5084,DEC_YL5084_025,46,2.4,0.62,131.0,46.0
000118,DEC_YL5084_016,Done,9,-6.53029,-6.53029,-69.6316,-52.7191,-6.345086666666666,DEC_YL5084_016,decoy,YL5084,DEC_YL5084_016,47,2.2,0.68,47.0,47.0
000128,DEC_YL5084_026,Done,10,-6.51175,-6.51175,-69.8262,-52.5,-6.3652066666666665,DEC_YL5084_026,decoy,YL5084,DEC_YL5084_026,48,2.2,0.76,47.0,48.0
000006,DEC_56d_004,Done,9,-6.48805,-6.48805,-71.4409,-52.7177,-6.370583333333333,DEC_56d_004,decoy,56d,DEC_56d_004,49,1.9,0.82,22.0,49.0
000102,DEC_JNKIN8_050,Done,10,-6.45986,-6.38948,-63.4639,-46.013,-5.928816666666666,DEC_JNKIN8_050,decoy,JNK-IN-8,DEC_JNKIN8_050,50,2.2,0.63,47.0,50.0
000138,DEC_YL5084_036,Done,10,-6.43111,-6.43111,-64.7588,-49.5871,-6.1016699999999995,DEC_YL5084_036,decoy,YL5084,DEC_YL5084_036,51,2.2,0.68,47.0,51.0
000005,DEC_56d_003,Done,10,-6.42755,-6.42755,-61.2109,-52.1355,-5.657653333333333,DEC_56d_003,decoy,56d,DEC_56d_003,52,2.1,0.79,34.0,52.0
000004,DEC_56d_002,Done,10,-6.41522,-6.41522,-62.9222,-47.1198,-6.2209433333333335,DEC_56d_002,decoy,56d,DEC_56d_002,53,2.4,0.62,131.0,53.0
000132,DEC_YL5084_030,Done,9,-6.39091,-6.39091,-62.554,-48.2585,-6.1452333333333335,DEC_YL5084_030,decoy,YL5084,DEC_YL5084_030,54,2.3,0.7,86.0,54.0
000019,DEC_56d_017,Done,6,-6.37579,-6.37579,-63.385,-47.3809,-5.63231,DEC_56d_017,decoy,56d,DEC_56d_017,55,2.3,0.64,86.0,55.0
000035,DEC_56d_033,Done,10,-6.35214,-6.35214,-60.5783,-45.7212,-6.142083333333333,DEC_56d_033,decoy,56d,DEC_56d_033,56,2.3,0.81,86.0,56.0
000080,DEC_JNKIN8_028,Done,10,-6.34185,-6.34185,-72.0294,-56.2358,-5.525243333333333,DEC_JNKIN8_028,decoy,JNK-IN-8,DEC_JNKIN8_028,57,1.7,0.9,15.0,57.0
000129,DEC_YL5084_027,Done,10,-6.31989,-5.94567,-66.5324,-51.5972,-5.975766666666666,DEC_YL5084_027,decoy,YL5084,DEC_YL5084_027,58,1.5,0.85,7.0,58.0
000036,DEC_56d_034,Done,9,-6.29835,-6.29835,-62.5899,-46.0686,-5.9003000000000005,DEC_56d_034,decoy,56d,DEC_56d_034,59,2.2,0.67,47.0,59.0
000057,DEC_JNKIN8_005,Done,10,-6.27154,-6.23876,-67.5096,-51.4585,-5.9950866666666665,DEC_JNKIN8_005,decoy,JNK-IN-8,DEC_JNKIN8_005,60,2.1,0.72,34.0,60.0
000066,DEC_JNKIN8_014,Done,10,-6.23165,-6.23165,-61.5541,-48.2285,-5.863993333333333,DEC_JNKIN8_014,decoy,JNK-IN-8,DEC_JNKIN8_014,61,2.3,0.57,86.0,61.0
000093,DEC_JNKIN8_041,Done,10,-6.22129,-6.22129,-64.0992,-49.7401,-6.024426666666666,DEC_JNKIN8_041,decoy,JNK-IN-8,DEC_JNKIN8_041,62,2.2,0.66,47.0,62.0
000039,DEC_56d_037,Done,10,-6.20145,-6.20145,-61.2973,-45.3342,-5.942809999999999,DEC_56d_037,decoy,56d,DEC_56d_037,63,2.3,0.77,86.0,63.0
000050,DEC_56d_048,Done,10,-6.19899,-6.19899,-58.6089,-45.2203,-5.844226666666667,DEC_56d_048,decoy,56d,DEC_56d_048,64,2.0,0.86,25.0,64.0
000143,DEC_YL5084_041,Done,10,-6.18854,-6.18854,-56.9363,-46.0656,-5.73731,DEC_YL5084_041,decoy,YL5084,DEC_YL5084_041,65,2.2,0.83,47.0,65.0
000021,DEC_56d_019,Done,10,-6.17828,-6.17828,-55.8112,-43.9923,-5.8067633333333335,DEC_56d_019,decoy,56d,DEC_56d_019,66,2.1,0.58,34.0,66.0
000096,DEC_JNKIN8_044,Done,8,-6.15973,-6.15973,-61.2375,-48.0594,-6.048073333333334,DEC_JNKIN8_044,decoy,JNK-IN-8,DEC_JNKIN8_044,67,2.4,0.66,131.0,67.0
000040,DEC_56d_038,Done,10,-6.15698,-6.15698,-54.1837,-43.1568,-5.941579999999999,DEC_56d_038,decoy,56d,DEC_56d_038,68,2.2,0.61,47.0,68.0
000025,DEC_56d_023,Done,10,-6.14955,-6.14955,-58.6074,-46.0551,-6.05171,DEC_56d_023,decoy,56d,DEC_56d_023,69,2.3,0.78,86.0,69.0
000070,DEC_JNKIN8_018,Done,10,-6.14714,-6.14714,-55.4389,-45.3183,-5.24708,DEC_JNKIN8_018,decoy,JNK-IN-8,DEC_JNKIN8_018,70,2.3,0.58,86.0,70.0
000031,DEC_56d_029,Done,9,-6.14191,-6.14191,-63.4788,-48.1841,-6.094803333333334,DEC_56d_029,decoy,56d,DEC_56d_029,71,1.9,0.83,22.0,71.0
000065,DEC_JNKIN8_013,Done,10,-6.08421,-6.08421,-71.1291,-54.3165,-5.941813333333333,DEC_JNKIN8_013,decoy,JNK-IN-8,DEC_JNKIN8_013,72,2.1,0.73,34.0,72.0
000092,DEC_JNKIN8_040,Done,10,-6.08044,-6.08044,-61.2356,-48.392,-5.70673,DEC_JNKIN8_040,decoy,JNK-IN-8,DEC_JNKIN8_040,73,2.3,0.61,86.0,73.0
000060,DEC_JNKIN8_008,Done,10,-6.05941,-6.05941,-54.5323,-45.5315,-5.25376,DEC_JNKIN8_008,decoy,JNK-IN-8,DEC_JNKIN8_008,74,2.1,0.63,34.0,74.0
000045,DEC_56d_043,Done,8,-6.05865,-6.05865,-54.9409,-43.0462,-5.86962,DEC_56d_043,decoy,56d,DEC_56d_043,75,2.1,0.64,34.0,75.0
000026,DEC_56d_024,Done,10,-6.03764,-6.03764,-60.4372,-45.1636,-5.969406666666667,DEC_56d_024,decoy,56d,DEC_56d_024,76,2.2,0.59,47.0,76.0
000015,DEC_56d_013,Done,9,-6.02039,-6.02039,-58.9116,-44.269,-5.853103333333333,DEC_56d_013,decoy,56d,DEC_56d_013,77,1.8,0.82,19.0,77.0
000024,DEC_56d_022,Done,10,-5.99825,-5.99825,-57.4686,-45.2114,-5.624303333333334,DEC_56d_022,decoy,56d,DEC_56d_022,78,2.3,0.65,86.0,78.0
000023,DEC_56d_021,Done,10,-5.92961,-5.92961,-56.3313,-46.6678,-5.727586666666667,DEC_56d_021,decoy,56d,DEC_56d_021,79,1.9,0.8,22.0,79.0
000073,DEC_JNKIN8_021,Done,10,-5.89473,-5.89473,-64.1998,-53.184,-5.840803333333334,DEC_JNKIN8_021,decoy,JNK-IN-8,DEC_JNKIN8_021,80,2.2,0.68,47.0,80.0
000054,DEC_JNKIN8_002,Done,10,-5.87867,-5.87867,-72.102,-54.5943,-5.823273333333333,DEC_JNKIN8_002,decoy,JNK-IN-8,DEC_JNKIN8_002,81,1.7,0.81,15.0,81.0
000047,DEC_56d_045,Done,10,-5.86915,-5.86915,-51.1653,-41.0656,-5.3969933333333335,DEC_56d_045,decoy,56d,DEC_56d_045,82,2.2,0.57,47.0,82.0
000144,DEC_YL5084_042,Done,9,-5.79072,-5.79072,-64.152,-54.4011,-5.356426666666667,DEC_YL5084_042,decoy,YL5084,DEC_YL5084_042,83,2.5,0.54,144.0,83.0
000052,DEC_56d_050,Done,9,-5.78364,-5.78364,-58.2829,-48.9785,-5.184463333333333,DEC_56d_050,decoy,56d,DEC_56d_050,84,2.4,0.85,131.0,84.0
000062,DEC_JNKIN8_010,Done,10,-5.69826,-5.53424,-51.3395,-42.1725,-5.050716666666666,DEC_JNKIN8_010,decoy,JNK-IN-8,DEC_JNKIN8_010,85,2.2,0.67,47.0,85.0
000014,DEC_56d_012,Done,7,-5.64867,-5.18989,-54.8429,-39.624,-5.531960000000001,DEC_56d_012,decoy,56d,DEC_56d_012,86,2.2,0.76,47.0,86.0
000101,DEC_JNKIN8_049,Done,9,-5.64497,-5.5672,-58.1825,-49.8263,-5.475960000000001,DEC_JNKIN8_049,decoy,JNK-IN-8,DEC_JNKIN8_049,87,1.5,0.89,7.0,87.0
000075,DEC_JNKIN8_023,Done,10,-5.64148,-5.64148,-55.287,-45.4138,-4.736056666666667,DEC_JNKIN8_023,decoy,JNK-IN-8,DEC_JNKIN8_023,88,2.3,0.64,86.0,88.0
000072,DEC_JNKIN8_020,Done,9,-5.60612,-5.60612,-52.3762,-43.2264,-5.185366666666666,DEC_JNKIN8_020,decoy,JNK-IN-8,DEC_JNKIN8_020,89,2.2,0.68,47.0,89.0
000027,DEC_56d_025,Done,10,-5.60056,-5.5406,-49.1634,-41.2706,-5.420753333333334,DEC_56d_025,decoy,56d,DEC_56d_025,90,2.3,0.63,86.0,90.0
000056,DEC_JNKIN8_004,Done,9,-5.59923,-5.50482,-53.8664,-44.041,-5.363513333333334,DEC_JNKIN8_004,decoy,JNK-IN-8,DEC_JNKIN8_004,91,2.3,0.61,86.0,91.0
000076,DEC_JNKIN8_024,Done,9,-5.57658,-5.38352,-49.7478,-43.0847,-5.25106,DEC_JNKIN8_024,decoy,JNK-IN-8,DEC_JNKIN8_024,92,2.2,0.64,47.0,92.0
000104,DEC_YL5084_002,Done,8,-5.49481,-5.43868,-61.5639,-49.6114,-4.7979866666666675,DEC_YL5084_002,decoy,YL5084,DEC_YL5084_002,93,2.3,0.62,86.0,93.0
