glide,af3,spearman,spearman_p,kendall
r_i_glide_gscore,mpae_token,0.27398319803171256,0.0008906598240137963,0.20595790028314756
r_i_glide_gscore,protein_ligand_pae_min,0.27882331332070354,0.0007141537015035107,0.20085285168630107
r_i_glide_gscore,iptm,0.40454400357364334,4.933429760687396e-07,0.2734440089661625
r_i_glide_gscore,ligand_chain_iptm,0.40454400357364334,4.933429760687396e-07,0.2734440089661625
r_i_glide_gscore,ligand_chain_ptm,0.2306285304398913,0.005418925647408182,0.1564638359990227
r_i_glide_gscore,protein_chain_ptm,0.5357451130579068,4.541978274942494e-12,0.39802458096476406
r_i_glide_gscore,ptm,0.5625167324742748,2.1798166428327346e-13,0.4174182925171685
r_i_glide_gscore,ranking_score,0.4339505221006068,5.521047301673239e-08,0.2968530565692232
r_i_glide_gscore,best_sample_ranking_score,0.42799212281970905,8.752256240615814e-08,0.2867132867132867
r_i_docking_score,mpae_token,0.26657696503128425,0.001239233030118043,0.19971675178971884
r_i_docking_score,protein_ligand_pae_min,0.2717588458459469,0.0009844958578971983,0.19575307224895355
r_i_docking_score,iptm,0.3973493918546774,8.172251717426402e-07,0.26889649471726756
r_i_docking_score,ligand_chain_iptm,0.3973493918546774,8.172251717426402e-07,0.26889649471726756
r_i_docking_score,ligand_chain_ptm,0.21907594533712244,0.0083365446740242,0.14986536112622045
r_i_docking_score,protein_chain_ptm,0.5277608885080816,1.0679039719732531e-11,0.3936959863504398
r_i_docking_score,ptm,0.5539289064015979,5.94716697153781e-13,0.41296042725727644
r_i_docking_score,ranking_score,0.4270202840269141,9.427431536964555e-08,0.2924758667270496
r_i_docking_score,best_sample_ranking_score,0.4209669640704124,1.4898726814574023e-07,0.2824397824397824
r_i_glide_emodel,mpae_token,0.283511094104925,0.0005744200588432988,0.20638832431717713
r_i_glide_emodel,protein_ligand_pae_min,0.2913077592564574,0.0003965442813943875,0.20144128777522577
r_i_glide_emodel,iptm,0.4282081599043135,8.608588958119375e-08,0.28510937160463223
r_i_glide_emodel,ligand_chain_iptm,0.4282081599043135,8.608588958119375e-08,0.28510937160463223
r_i_glide_emodel,ligand_chain_ptm,0.2892297387729842,0.0004381637643669628,0.1956547776677875
r_i_glide_emodel,protein_chain_ptm,0.5441789819126689,1.796065131714488e-12,0.40317766979134045
r_i_glide_emodel,ptm,0.5655091540122871,1.5260477291068233e-13,0.4153919901263085
r_i_glide_emodel,ranking_score,0.4514040074672503,1.3592140663412477e-08,0.3034188413324835
r_i_glide_emodel,best_sample_ranking_score,0.44725504380676795,1.9103203140621767e-08,0.2940947940947941
r_i_glide_energy,mpae_token,0.26656253194915647,0.0012400197748212967,0.1898169990070388
r_i_glide_energy,protein_ligand_pae_min,0.28292247358849776,0.0005904641708157758,0.18869183918185703
r_i_glide_energy,iptm,0.4171385979138912,1.9808674706844513e-07,0.27838695923670054
r_i_glide_energy,ligand_chain_iptm,0.4171385979138912,1.9808674706844513e-07,0.27838695923670054
r_i_glide_energy,ligand_chain_ptm,0.35483544489383645,1.278385956533567e-05,0.2508420220584971
r_i_glide_energy,protein_chain_ptm,0.48874107979362635,5.134309353032021e-10,0.3570059939052156
r_i_glide_energy,ptm,0.5146823798241622,4.132080134653956e-11,0.3706107072883016
r_i_glide_energy,ranking_score,0.43366654547509365,5.6447626672962724e-08,0.29267482990169386
r_i_glide_energy,best_sample_ranking_score,0.4320874527771079,6.382665058170947e-08,0.28554778554778554
