ligand_id,keep_urat1_acid,acid_arg477_min_A,u_CNNscore,u_CNNaffinity,keep_nlrp3_pose_old,n_CNNscore,n_CNNaffinity,keep_dual_acid_geometry,keep_nlrp3_pose,keep_nlrp3_structural,pocket_overlap_frac,ifp_jaccard_vs_np3146,n_key_contacts,key_recovery_frac,keep_dual_acid_structural
REP_00015,True,7.013838677928081,0.724704325,5.38639307,True,0.690231144,5.98173714,True,True,True,0.9545454545454546,0.6842105263157895,5.0,0.7142857142857143,True
REP_00077,False,,,,True,0.627842307,6.08088875,False,True,True,1.0,0.8421052631578947,6.0,0.8571428571428571,False
REP_00092,True,3.207454754162559,0.684752882,7.03175497,False,0.186060265,5.71004629,False,False,False,0.6363636363636364,0.631578947368421,5.0,0.7142857142857143,False
REP_00142,True,3.2066808384995134,0.681932032,5.92614412,False,0.375598669,6.13656855,False,False,False,0.7037037037037037,0.75,6.0,0.8571428571428571,False
REP_00153,True,2.942876483986366,0.917413056,7.39491415,False,0.478417575,5.76395845,False,False,False,0.72,0.5263157894736842,4.0,0.5714285714285714,False
REP_00207,True,3.05964148226552,0.746032953,6.17443323,True,0.949249804,6.67244959,True,True,True,1.0,0.9473684210526315,7.0,1.0,True
REP_00300,False,,,,True,0.825113773,5.49748945,False,True,True,1.0,0.65,5.0,0.7142857142857143,False
REP_00308,False,,,,False,0.37619704,6.30870676,False,False,False,0.7272727272727273,0.6842105263157895,5.0,0.7142857142857143,False
REP_00325,True,3.976276650335084,0.701196015,5.10735941,True,0.818224669,5.45087385,True,True,True,1.0,0.65,5.0,0.7142857142857143,True
REP_00476,True,6.310865313092956,0.540299416,6.25158548,False,0.241039708,5.25083876,False,False,False,0.896551724137931,0.6842105263157895,5.0,0.7142857142857143,False
REP_00572,False,,,,True,0.823574364,5.58209229,False,True,True,1.0,0.6,5.0,0.7142857142857143,False
REP_00600,True,5.383834042761707,0.553785026,7.00828171,False,0.227266163,6.0410676,False,False,False,0.7307692307692307,0.65,5.0,0.7142857142857143,False
REP_00697,True,3.324754727795713,0.547997355,6.16700506,True,0.733993649,5.46341705,True,True,True,0.7037037037037037,0.631578947368421,5.0,0.7142857142857143,True
REP_00698,True,5.532577518661632,0.336705178,6.1665535,False,0.286206275,5.6468749,False,False,False,0.6896551724137931,0.6842105263157895,5.0,0.7142857142857143,False
REP_00729,True,5.728721410576712,0.615068734,6.07052231,True,0.761761487,5.05885553,True,True,False,0.9333333333333333,0.5789473684210527,4.0,0.5714285714285714,False
REP_00745,True,7.313026459681376,0.591533601,6.97674227,False,0.372449875,6.51099825,False,False,False,0.696969696969697,0.8,6.0,0.8571428571428571,False
REP_00833,True,3.199097997873765,0.606085718,7.23644447,False,0.450386405,6.5264039,False,False,False,0.41379310344827586,0.25,2.0,0.2857142857142857,False
REP_00853,True,7.172277392850883,0.557412207,6.35138941,False,0.452507138,6.03022385,False,False,False,0.8,0.6842105263157895,5.0,0.7142857142857143,False
REP_00857,True,5.092720098336449,0.358918875,7.25783491,False,0.25214985,6.51555824,False,False,False,0.6571428571428571,0.7,6.0,0.8571428571428571,False
REP_00940,True,3.107483065118775,0.891138196,7.36068106,True,0.698028922,6.35219812,True,True,True,0.6785714285714286,0.6842105263157895,5.0,0.7142857142857143,True
REP_00944,True,5.202974726058164,0.475381464,7.06095362,True,0.792704403,6.62146616,True,True,True,0.8181818181818182,0.7,5.0,0.7142857142857143,True
REP_00950,True,6.406445660426697,0.715016484,6.75330973,False,0.354460746,6.51439619,False,False,False,0.9,0.7894736842105263,6.0,0.8571428571428571,False
REP_00992,True,6.540052675628841,0.626734316,6.85972023,True,0.936053932,7.07758713,True,True,True,0.9655172413793104,0.8421052631578947,6.0,0.8571428571428571,True
REP_01122,True,6.696528130307521,0.310568243,6.82639551,False,0.064203769,5.59705877,False,False,False,0.918918918918919,0.85,7.0,1.0,False
