compound_id,role,IC50_JNK1_uM,IC50_JNK2_uM,IC50_JNK3_uM,pIC50_JNK1,SI_J2_over_J1,SI_J3_over_J1,primary_any_active_le_10uM,secondary_jnk1_preference_SI_ge_3
690,new,,,,,,,False,False
2157,new,,,,,,,False,False
E1,control,,,,,,,False,False
CC-90001,control,,,,,,,False,False
